timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.09,-5.11,7.92,-10.99,56.88,-218.08
10,2.82,-6.21,6.57,6.16,52.37,-211.12
20,2.72,-8.67,6.02,20.81,37.17,-197.45
30,1.90,-9.89,5.61,32.35,23.50,-184.81
40,1.47,-10.85,5.60,45.17,14.47,-171.33
50,1.23,-11.39,5.28,59.20,-11.05,-142.15
60,0.66,-12.91,3.48,89.84,-7.63,-130.80
70,0.26,-13.69,2.41,94.54,-11.84,-120.79
80,-0.05,-14.26,1.67,91.67,-12.51,-109.80
90,-0.31,-14.68,1.20,83.74,-9.28,-96.92
100,-0.49,-14.90,0.80,72.57,-4.58,-82.15
110,-0.76,-14.73,0.22,47.12,4.64,-49.07
120,-0.84,-14.48,-0.02,35.34,5.86,-32.47
130,-0.79,-14.21,-0.42,28.20,4.82,-18.43
140,-0.64,-13.79,-0.66,22.03,2.62,-5.92
150,-0.32,-13.10,-0.58,15.69,-2.20,6.35
160,-0.06,-12.48,-1.21,11.72,-19.10,29.11
170,0.05,-11.17,-1.42,7.81,-27.10,38.51
180,0.05,-10.44,-1.51,-1.95,-33.75,47.67
190,0.53,-9.41,-1.04,-15.32,-39.92,57.98
200,0.24,-9.39,-0.93,-27.22,-48.10,70.31
210,0.39,-8.29,-1.13,-35.46,-66.22,82.21
220,-0.48,-7.33,-1.79,-55.91,-71.23,89.66
230,-0.52,-6.46,-0.59,-64.82,-73.18,98.57
240,-0.26,-6.19,-0.89,-75.26,-78.80,107.36
250,-0.33,-5.43,-0.24,-88.75,-89.54,118.53
260,-0.34,-4.58,0.63,-102.91,-102.78,148.25
270,-0.57,-2.45,2.15,-127.01,-134.52,169.62
280,-0.59,-1.24,3.06,-138.61,-149.90,189.27
290,-0.41,-0.02,4.08,-146.00,-161.50,206.24
300,-0.41,1.35,4.87,-147.95,-169.80,219.12
310,-0.44,2.89,5.77,-145.81,-176.45,228.76
320,-1.01,4.03,6.68,-142.33,-189.76,248.66
330,-0.62,4.33,7.11,-144.10,-196.90,259.70
340,-0.97,5.61,7.99,-154.85,-207.34,271.30
350,-0.32,7.02,9.82,-168.95,-214.17,281.37
360,0.81,9.06,12.66,-178.83,-220.52,284.36
370,2.39,11.23,16.02,-156.13,-225.28,258.48
380,6.86,13.10,19.24,-113.10,-207.40,227.60
390,8.40,12.97,19.26,-69.58,-184.45,173.28
400,8.11,12.29,18.33,-31.01,-164.92,103.03
410,6.50,11.54,16.82,-7.39,-148.13,34.12
420,4.79,10.92,15.70,-2.62,-119.26,-51.82
430,3.44,9.15,15.17,-37.11,-105.96,-70.31
440,3.07,8.87,15.04,-63.17,-91.25,-86.61
450,3.57,7.74,15.94,-94.12,-79.71,-103.21
460,4.20,7.07,17.34,-122.44,-67.75,-117.74
470,4.53,6.31,19.11,-136.54,-55.42,-135.19
480,4.81,4.31,23.16,-125.31,-29.42,-172.91
490,4.09,2.63,24.10,-95.03,-11.54,-190.61
500,2.79,0.86,24.66,-57.19,10.07,-204.28
510,1.33,-0.86,25.02,-17.58,31.92,-209.41
520,0.21,-2.37,24.71,23.38,53.59,-202.33
530,-0.41,-3.72,21.49,100.83,91.86,-161.25
540,-0.75,-5.90,19.47,123.17,103.39,-135.44
550,-0.49,-6.81,17.33,132.32,114.20,-108.64
560,-0.10,-7.50,15.30,128.60,126.40,-82.64
570,0.36,-7.81,13.72,115.48,139.89,-59.75
580,0.69,-7.72,12.40,82.64,160.22,-26.73
590,1.21,-7.35,9.98,67.75,165.77,-14.16
600,1.55,-7.14,8.75,55.18,169.68,-4.15
610,1.57,-7.03,7.60,43.15,168.82,3.23
620,1.29,-6.56,6.55,29.97,163.64,9.95
630,1.01,-6.05,5.79,19.10,156.92,29.54
640,0.65,-4.63,4.56,2.14,144.41,42.85
650,0.75,-3.67,3.99,-1.34,138.85,57.13
660,0.97,-2.63,3.27,-1.65,130.37,70.50
670,1.33,-1.66,2.60,-1.10,120.54,81.67
680,1.77,-0.69,2.03,-1.83,108.89,89.23
690,2.43,1.52,1.10,-4.82,89.48,93.63
700,2.79,2.77,0.95,-7.45,81.18,93.14
710,3.45,3.95,0.98,-10.62,71.53,90.88
720,4.07,4.67,1.16,-11.35,61.04,85.08
730,4.50,5.57,1.33,-7.32,50.72,75.26
740,4.90,6.11,1.53,-5.55,35.46,51.82
750,5.57,6.15,2.33,-3.42,28.50,39.98
760,5.68,5.81,2.64,-0.61,20.20,28.20
770,5.60,5.31,2.98,2.69,12.45,16.78
780,5.49,4.66,3.48,5.49,6.35,6.65
