timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-6.07,7.01,16.12,95.95,212.04,-74.22
10,-5.28,6.14,15.73,96.56,247.19,-97.96
20,-3.71,6.12,16.45,90.03,270.57,-123.84
30,-3.05,5.73,16.34,80.69,282.41,-145.14
40,-2.43,4.75,15.42,66.28,288.70,-149.17
50,-1.59,4.41,11.42,60.49,307.80,-124.39
60,-1.35,4.25,9.26,83.25,324.46,-106.63
70,-1.02,3.74,8.09,116.33,345.89,-93.38
80,-0.51,3.01,7.80,148.19,366.52,-87.22
90,0.07,2.23,7.94,166.75,382.08,-85.33
100,0.87,1.44,7.74,145.57,394.35,-77.88
110,1.20,1.07,6.46,118.41,389.83,-70.50
120,1.22,0.72,5.16,94.36,379.21,-65.19
130,1.42,0.50,3.79,74.95,363.53,-64.15
140,1.61,0.38,2.18,61.22,341.49,-64.70
150,2.23,0.38,1.07,49.13,284.06,-61.52
160,3.27,0.47,-0.73,48.52,255.98,-59.45
170,4.31,0.75,-0.73,48.65,230.16,-52.92
180,4.27,0.56,-1.22,46.45,203.12,-43.03
190,4.70,0.56,-1.70,43.15,182.50,-37.54
200,3.30,1.60,-1.05,42.97,158.57,-22.71
210,4.44,0.70,-1.30,39.98,132.20,-20.26
220,4.59,0.86,-1.41,34.18,119.14,-21.24
230,4.48,1.26,-1.45,28.32,105.47,-22.28
240,4.81,0.79,-1.46,23.56,92.77,-23.62
250,4.95,0.88,-1.57,19.23,80.81,-28.02
260,5.10,0.95,-1.73,13.00,60.79,-33.45
270,5.55,0.91,-1.89,12.51,51.45,-32.96
280,5.61,0.97,-2.11,13.18,43.15,-31.25
290,5.59,0.99,-2.39,15.93,35.77,-29.91
300,5.51,1.05,-2.62,19.71,28.56,-28.69
310,5.47,1.08,-2.78,27.22,12.51,-28.87
320,5.31,1.07,-2.91,29.54,1.89,-30.27
330,5.39,0.85,-2.92,30.15,-10.31,-32.29
340,5.42,0.81,-2.64,28.38,-25.09,-34.97
350,5.40,0.58,-2.29,23.01,-42.85,-36.38
360,5.47,0.38,-1.82,14.28,-85.94,-33.45
370,5.33,0.04,-1.00,-12.33,-108.76,-30.09
380,5.29,-0.03,-0.47,-25.94,-129.70,-26.18
390,5.21,-0.21,0.09,-38.21,-150.02,-22.03
400,5.02,-0.47,0.65,-48.10,-170.29,-17.33
410,4.80,-0.75,1.16,-55.85,-187.93,-13.37
420,4.72,-1.18,2.42,-67.38,-209.72,-7.63
430,4.72,-1.27,3.03,-73.00,-218.44,-3.54
440,4.67,-1.24,3.43,-79.77,-226.81,2.87
450,3.98,-1.56,2.66,-87.59,-231.93,11.60
460,4.13,-1.46,4.14,-96.31,-231.32,17.76
470,4.10,-1.33,5.09,-111.82,-250.73,26.67
480,4.15,-0.88,5.46,-124.08,-267.70,35.64
490,3.92,-0.70,6.29,-135.19,-284.73,46.63
500,3.52,-0.71,7.11,-144.53,-305.85,60.18
510,3.25,-0.48,7.90,-152.89,-328.19,72.75
520,2.77,0.03,9.07,-158.02,-364.01,92.71
530,1.48,0.62,11.69,-152.83,-375.67,100.83
540,0.81,1.23,13.47,-145.75,-379.70,105.96
550,0.43,1.43,14.74,-139.83,-378.66,112.67
560,-0.04,1.88,15.32,-138.55,-372.25,119.08
570,-0.54,2.36,16.10,-141.60,-355.77,129.46
580,-2.03,4.49,16.46,-145.57,-310.36,132.57
590,-2.91,5.62,16.50,-139.16,-281.19,130.19
600,-3.68,6.45,17.11,-128.54,-245.97,124.82
610,-4.13,6.99,17.33,-116.58,-214.29,120.18
620,-4.47,7.54,16.85,-105.53,-187.07,111.88
630,-4.70,8.58,15.07,-77.64,-126.65,81.60
640,-4.78,8.66,14.41,-57.50,-94.36,65.00
650,-4.53,8.41,13.75,-36.93,-63.54,48.46
660,-4.17,8.13,13.30,-19.23,-36.07,32.65
670,-3.66,7.83,12.98,-6.10,-15.75,19.78
680,-3.21,7.16,12.40,6.16,-1.65,6.23
690,-2.84,6.05,11.32,6.41,3.42,1.34
700,-2.78,5.65,11.07,4.82,8.24,-1.16
710,-2.74,5.47,11.00,2.69,11.47,-1.40
720,-2.80,5.45,11.22,1.04,12.70,0.00
730,-2.98,5.56,11.52,0.49,14.16,7.32
740,-3.69,6.22,12.24,4.27,18.19,10.80
750,-4.41,6.64,13.05,10.07,22.46,14.22
760,-5.10,7.36,13.99,19.84,28.32,15.93
770,-5.84,8.33,15.07,36.13,40.71,14.65
780,-6.61,9.10,16.51,55.24,61.46,10.80
790,-7.29,9.28,19.07,82.21,119.20,-11.60
800,-7.06,8.85,19.44,78.80,153.38,-32.71
810,-6.46,8.12,19.17,66.28,182.31,-56.09
820,-5.76,7.33,18.14,51.51,199.83,-75.32
830,-5.14,6.48,16.77,41.32,209.72,-89.97
840,-4.31,5.05,14.37,34.61,233.76,-114.44
850,-2.88,4.44,13.46,36.62,243.59,-119.81
860,-2.15,3.92,12.50,42.97,255.55,-117.13
870,-1.66,3.82,11.41,56.34,271.73,-109.99
880,-0.95,3.82,10.32,75.81,292.54,-99.91
890,-0.68,3.70,9.40,119.32,331.60,-77.82
900,-0.19,2.59,7.95,133.12,349.06,-71.47
910,-0.01,2.35,7.34,137.33,364.20,-69.15
920,0.31,2.08,6.54,135.25,374.27,-68.54
930,0.57,1.86,5.48,129.27,378.72,-68.91
940,1.02,1.69,5.02,121.89,362.30,-66.47
950,1.25,0.83,2.82,106.08,359.19,-61.71
960,1.61,0.77,1.89,99.73,348.14,-56.70
970,1.96,0.93,0.85,97.47,338.44,-52.00
980,2.26,1.18,0.01,96.25,330.20,-47.00
990,2.60,1.88,-0.67,97.23,319.58,-41.81
