timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.24,-0.76,19.24,69.46,-130.37,34.24
10,1.59,-1.20,17.89,85.57,-121.40,40.34
20,1.61,-2.83,18.14,92.47,-118.29,36.56
30,1.04,-2.69,19.57,85.39,-98.45,15.63
40,0.48,-3.40,21.49,88.44,-76.29,12.57
50,0.26,-3.74,21.31,88.20,-51.39,11.54
60,0.25,-3.90,21.35,79.04,-26.43,10.80
70,0.54,-3.78,22.20,63.23,-1.71,9.46
80,0.57,-3.58,23.36,51.82,49.62,0.18
90,-0.28,-4.05,23.80,62.01,75.32,-3.91
100,-0.44,-4.60,22.79,76.42,98.45,-4.03
110,-0.74,-5.02,21.34,91.80,118.41,-2.50
120,-0.98,-5.50,19.90,106.02,134.52,0.06
130,-1.26,-6.02,18.50,119.20,147.46,4.64
140,-1.01,-7.57,15.57,142.52,160.58,19.04
150,-1.57,-7.43,13.22,148.56,159.24,25.27
160,-2.41,-7.43,12.04,152.10,163.70,32.90
170,-2.08,-7.63,10.72,152.89,168.70,39.55
180,-2.30,-8.11,9.22,151.18,171.08,43.88
190,-2.60,-8.38,6.81,133.61,179.63,44.74
200,-3.11,-8.60,5.69,123.90,184.02,45.96
210,-3.37,-8.30,4.44,114.20,185.55,49.93
220,-3.65,-8.80,3.27,102.23,184.94,60.12
230,-3.80,-8.91,2.43,88.44,181.03,72.02
240,-3.67,-8.41,1.90,68.54,161.25,95.83
250,-3.30,-7.21,1.16,65.92,144.71,108.89
260,-2.99,-6.87,0.79,66.53,127.38,121.58
270,-3.01,-6.79,-0.23,67.32,109.07,132.45
280,-2.83,-6.33,-0.86,66.83,95.34,138.98
290,-2.79,-5.71,-1.18,61.58,84.96,151.37
300,-2.86,-4.36,-1.47,41.26,59.75,157.17
310,-2.72,-3.74,-1.52,29.66,46.63,162.48
320,-2.62,-3.03,-1.69,17.58,34.12,165.65
330,-2.42,-2.19,-1.41,8.24,24.78,166.93
340,-2.13,-1.37,-1.15,2.08,17.46,166.69
