timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.29,0.29,9.84,3.17,-0.98,-1.83
10,-0.30,0.49,9.59,3.17,-1.10,-1.77
20,-0.28,0.28,9.91,3.66,-1.04,-1.89
30,-0.28,0.28,9.89,3.85,-1.04,-1.95
40,-0.28,0.27,9.91,3.66,-0.85,-1.77
50,-0.27,0.27,9.89,3.36,-0.85,-1.83
60,-0.27,0.27,9.89,2.99,-0.98,-1.83
70,-0.28,0.28,9.89,2.69,-0.79,-1.83
80,-0.27,0.27,9.88,2.69,-0.79,-1.89
90,-0.27,0.27,9.89,2.75,-0.49,-1.89
100,-0.28,0.30,9.88,2.44,-0.55,-1.83
110,-0.26,0.75,9.34,2.08,-0.79,-1.89
120,-0.02,-0.08,10.18,3.97,2.14,-1.77
130,-0.28,0.44,9.73,7.87,5.43,-1.77
140,-0.96,0.77,10.01,16.17,9.77,0.85
150,-0.36,0.43,9.95,24.78,15.01,-0.06
160,0.79,-0.86,9.90,24.96,15.87,-1.77
170,-0.53,0.69,9.73,-1.22,-3.54,-1.65
180,-0.40,0.45,9.83,2.26,-1.04,-1.83
190,-0.07,0.02,9.90,3.91,-0.06,-1.83
200,-0.21,0.20,9.87,2.99,-0.79,-1.77
210,-0.20,0.19,9.86,2.62,-1.04,-1.83
220,-0.19,0.18,9.88,2.69,-1.04,-1.83
230,-0.17,0.18,9.88,2.87,-0.85,-1.89
240,-0.19,0.17,9.88,3.05,-0.92,-1.83
250,-0.20,0.18,9.88,3.05,-0.73,-1.89
260,-0.18,0.17,9.88,3.05,-1.04,-1.95
270,-0.20,0.19,9.86,2.99,-1.04,-2.01
280,-0.18,0.18,9.87,2.99,-0.79,-1.89
290,-0.18,0.17,9.88,3.11,-0.92,-1.89
300,-0.19,0.18,9.88,3.23,-0.73,-1.95
310,-0.19,0.17,9.87,2.87,-0.85,-1.89
320,-0.18,0.17,9.87,2.99,-0.85,-1.89
330,-0.18,0.18,9.87,2.75,-0.85,-1.89
340,-0.19,0.17,9.88,2.99,-1.10,-1.83
350,-0.18,0.17,9.89,2.81,-0.98,-1.77
360,-0.18,0.17,9.87,3.05,-0.85,-1.95
370,-0.17,0.18,9.88,3.05,-0.85,-1.89
380,-0.18,0.18,9.88,2.81,-0.98,-1.83
390,-0.18,0.18,9.88,3.23,-0.98,-1.89
400,-0.19,0.19,9.87,3.05,-0.73,-1.83
410,-0.18,0.17,9.87,2.81,-0.73,-1.89
420,-0.18,0.19,9.87,2.93,-0.85,-1.95
430,-0.19,0.18,9.89,2.81,-1.10,-1.83
440,-0.19,0.18,9.88,3.05,-1.04,-1.89
450,-0.19,0.18,9.87,2.93,-1.04,-1.89
460,-0.18,0.19,9.87,2.75,-1.04,-1.95
470,-0.19,0.18,9.88,2.93,-1.04,-2.01
480,-0.19,0.17,9.88,3.17,-0.79,-1.95
490,-0.18,0.18,9.87,3.17,-0.98,-1.89
500,-0.18,0.17,9.89,3.36,-0.79,-1.95
510,-0.18,0.17,9.88,3.11,-0.85,-1.83
520,-0.20,0.19,9.87,3.05,-0.98,-1.83
530,-0.17,0.15,9.87,3.30,-0.73,-2.01
540,-0.20,0.18,9.87,3.05,-0.92,-1.89
550,-0.19,0.19,9.88,3.30,-0.85,-1.77
560,-0.18,0.17,9.87,3.05,-0.73,-1.83
570,-0.18,0.18,9.86,2.93,-0.98,-1.89
580,-0.18,0.19,9.87,2.81,-0.85,-1.77
590,-0.18,0.17,9.88,2.87,-0.67,-1.83
600,-0.19,0.17,9.87,3.30,-0.73,-1.77
610,-0.18,0.17,9.87,2.99,-0.73,-1.83
620,-0.18,0.18,9.88,2.75,-0.92,-1.89
630,-0.18,0.18,9.87,2.93,-0.92,-1.83
640,-0.18,0.18,9.86,2.87,-0.92,-1.77
650,-0.19,0.17,9.88,3.11,-0.92,-1.89
660,-0.18,0.18,9.87,2.87,-0.98,-1.95
670,-0.19,0.18,9.88,2.75,-1.04,-1.83
680,-0.18,0.17,9.88,3.05,-0.92,-1.83
690,-0.18,0.19,9.87,2.75,-0.98,-1.89
700,-0.19,0.17,9.91,2.69,-0.92,-1.95
710,-0.19,0.18,9.88,2.75,-0.92,-1.83
720,-0.18,0.17,9.87,2.87,-1.04,-1.77
730,-0.19,0.18,9.87,2.93,-1.04,-1.83
740,-0.18,0.17,9.90,2.87,-0.98,-1.83
750,-0.19,0.17,9.89,2.69,-1.10,-1.77
760,-0.19,0.17,9.89,3.11,-1.04,-1.83
