timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.30,0.33,9.83,1.22,-2.62,-1.77
10,-0.20,0.25,10.02,3.48,-1.71,-1.95
20,-0.25,0.27,9.90,3.30,-1.28,-1.89
30,-0.25,0.27,9.90,3.11,-1.28,-1.95
40,-0.27,0.28,9.87,3.11,-1.22,-1.83
50,-0.24,0.25,9.92,2.99,-1.28,-1.83
60,-0.28,0.27,9.87,2.99,-1.34,-1.95
70,-0.27,0.30,9.87,2.56,-1.22,-1.95
80,-0.28,0.30,9.86,2.69,-1.16,-1.77
90,-0.28,0.29,9.87,2.62,-0.98,-1.83
100,-0.27,0.28,9.87,2.81,-0.67,-1.83
110,-0.27,0.28,9.85,3.17,-0.61,-1.83
120,-0.17,0.15,9.92,4.09,0.43,-1.89
130,-1.19,1.45,9.20,0.73,-1.65,-1.71
140,0.08,-0.14,10.14,8.06,4.58,-2.01
150,-0.25,0.25,9.88,4.58,1.71,-1.89
160,-0.30,0.36,9.82,4.88,1.89,-1.77
170,-0.08,0.17,9.87,5.80,2.44,-1.71
180,-0.52,0.49,9.83,3.05,-0.85,-1.89
190,-0.21,0.20,9.92,8.73,3.30,-2.20
200,-0.14,0.15,9.92,10.62,4.94,-2.08
210,-0.10,0.09,9.93,8.12,2.93,-1.95
220,-0.01,0.22,9.89,-2.75,-4.52,-1.65
230,-0.42,0.54,9.76,-4.27,-5.74,-1.71
240,-0.61,0.80,9.66,2.69,-0.98,-1.83
250,-0.40,0.52,9.82,16.60,9.28,-2.26
260,0.41,-0.90,10.43,25.94,15.93,-2.50
270,-0.23,0.21,9.93,0.24,-2.87,-1.46
280,-0.19,0.20,9.87,4.76,0.43,-1.89
290,-0.10,0.08,9.87,2.93,-1.16,-1.77
300,-0.21,0.23,9.86,3.05,-0.98,-1.89
310,-0.16,0.16,9.89,2.62,-1.04,-1.83
320,-0.18,0.18,9.86,2.75,-1.46,-1.59
330,-0.18,0.19,9.88,1.71,-1.89,-1.22
340,-0.15,0.16,9.88,1.10,-2.08,-0.92
350,-0.20,0.20,9.86,0.37,-2.50,-0.92
360,-0.20,0.23,9.86,1.16,-2.20,-1.10
370,-0.17,0.17,9.86,2.69,-1.40,-1.28
380,-0.18,0.19,9.88,1.10,-2.14,-1.77
390,-0.26,0.31,9.83,0.43,-2.50,-1.77
400,-0.24,0.28,9.85,2.93,-0.98,-1.71
410,-0.16,0.17,9.88,5.43,0.73,-1.89
420,-0.11,0.08,9.90,5.55,0.67,-2.01
430,-0.11,0.09,9.89,-0.37,-3.11,-1.77
440,-0.20,0.21,9.86,-1.71,-3.97,-1.77
