timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.03,4.39,9.71,-44.07,-56.76,-18.49
10,-0.91,4.92,9.28,-55.73,-57.37,-28.14
20,-2.67,4.31,8.82,-60.30,-63.29,-37.23
30,-2.34,3.59,9.46,-73.24,-68.79,-35.34
40,-1.30,3.79,11.05,-79.83,-64.39,-20.63
50,-0.95,4.02,14.00,-59.14,-56.34,-22.64
60,-0.87,3.36,14.39,-32.84,-46.45,-26.49
70,-0.56,2.37,14.43,-11.35,-36.32,-29.48
80,-0.09,1.77,14.90,1.65,-24.84,-32.29
90,0.23,1.44,15.53,8.61,-12.45,-44.92
100,-0.02,0.71,16.83,18.25,11.41,-55.54
110,-0.49,-0.02,17.01,20.08,23.44,-64.94
120,-0.77,-0.57,17.22,17.03,36.44,-70.07
130,-0.66,-0.87,17.53,11.72,49.13,-70.37
140,-0.48,-0.90,17.78,7.02,60.79,-67.20
150,-0.55,-0.37,17.84,-0.67,81.79,-58.11
160,-0.46,0.54,17.93,-6.10,95.83,-54.50
170,-1.03,1.31,18.89,-8.79,110.60,-54.08
180,0.25,1.31,18.02,-6.96,126.89,-54.87
190,-0.63,2.51,18.15,-11.84,137.76,-53.89
200,-0.60,2.60,17.40,-3.23,157.23,-63.84
210,-1.23,2.40,16.26,3.11,167.91,-68.36
220,-1.57,1.74,15.34,10.31,179.02,-71.96
230,-1.87,1.11,14.66,19.53,188.23,-73.18
240,-2.12,0.59,13.64,31.49,194.58,-70.43
250,-2.24,0.14,11.81,61.40,203.31,-59.69
260,-2.07,-0.89,8.72,73.06,194.15,-53.16
270,-1.85,-1.37,8.08,81.85,179.26,-45.90
280,-1.54,-1.82,7.79,93.38,167.11,-37.35
290,-1.45,-2.03,7.37,110.17,160.10,-29.17
300,-1.30,-2.25,6.27,131.65,157.04,-15.50
310,-1.07,-3.65,3.11,166.50,145.63,-11.35
320,-1.24,-4.50,1.38,168.88,136.11,-8.18
330,-1.15,-5.47,-0.08,162.29,126.71,-4.70
340,-1.64,-6.60,-1.06,145.75,118.71,0.12
350,-2.45,-7.20,-1.72,122.62,110.17,7.14
360,-3.33,-7.14,-1.58,68.30,85.57,40.47
370,-4.24,-6.46,-1.15,45.29,66.96,64.39
380,-4.14,-5.48,-0.42,28.08,45.29,89.42
390,-3.68,-4.24,0.22,16.85,23.50,112.61
400,-3.18,-2.84,0.82,13.61,5.25,131.16
410,-2.59,-1.39,0.97,18.07,-20.51,151.79
420,-1.80,1.38,0.93,19.59,-32.35,155.33
430,-1.47,2.90,1.42,17.03,-47.67,156.62
440,-0.95,4.42,2.26,11.60,-63.11,154.79
450,-0.31,6.03,3.11,5.68,-74.77,149.11
460,0.31,7.77,3.97,1.28,-88.38,126.65
470,1.70,11.58,6.67,-0.85,-89.90,109.92
480,2.78,13.57,8.05,-1.77,-88.20,87.65
490,3.82,14.92,8.99,0.73,-82.76,63.35
500,4.94,15.68,9.63,4.88,-76.72,38.51
510,6.10,16.06,10.23,6.04,-71.78,12.76
520,7.74,15.23,11.03,1.22,-70.19,-34.97
530,8.43,14.03,11.89,-0.49,-68.05,-62.13
540,8.46,12.84,13.17,0.18,-62.93,-92.22
550,7.86,11.40,14.30,4.33,-56.82,-120.85
560,6.85,9.46,14.88,15.50,-50.11,-145.57
570,5.47,6.98,14.95,51.03,-38.82,-179.63
580,3.19,1.31,14.73,67.87,-36.32,-185.97
590,2.65,-1.88,14.00,82.52,-34.85,-187.13
600,0.90,-7.41,12.04,88.44,-32.29,-182.68
610,-0.20,-12.30,10.88,80.57,-19.96,-180.73
620,-1.06,-15.74,10.20,26.61,8.85,-161.32
630,-2.32,-20.39,9.03,-6.53,20.63,-137.51
640,-2.67,-20.94,9.07,-35.10,30.76,-104.13
650,-3.39,-20.09,9.37,-54.32,35.40,-59.69
660,-3.67,-18.23,9.36,-60.42,34.12,-6.65
670,-3.52,-15.49,8.78,-55.91,27.89,100.40
680,-1.84,-9.24,7.01,-42.97,7.26,141.42
690,-0.87,-6.16,6.31,-42.30,-1.95,170.29
700,0.07,-3.42,5.77,-44.74,-8.12,184.51
710,0.58,-1.36,5.00,-46.45,-9.95,184.45
720,0.79,0.74,4.12,-43.64,-6.53,172.30
730,1.13,3.96,2.96,-48.65,-11.66,139.71
740,0.91,5.64,2.98,-52.31,-24.60,125.31
750,1.04,7.41,3.26,-55.18,-39.92,115.11
760,1.34,8.88,3.86,-54.20,-55.11,108.83
770,1.87,10.01,4.57,-48.95,-69.15,102.48
780,2.57,10.89,5.34,-23.62,-91.80,76.84
790,3.30,11.80,6.41,-6.53,-101.62,59.02
800,3.64,11.99,6.91,9.03,-109.68,41.02
810,4.20,11.94,7.52,19.84,-117.07,25.33
820,4.64,12.07,8.46,25.21,-122.86,10.07
830,4.99,12.26,9.88,27.22,-123.05,-27.95
840,4.90,11.57,13.26,40.04,-117.19,-54.75
850,4.00,10.38,14.78,52.55,-107.30,-86.73
860,2.64,8.72,15.96,66.28,-95.83,-120.42
870,1.38,6.31,16.49,76.11,-84.72,-150.33
880,0.12,3.36,16.59,79.16,-71.96,-173.58
890,-2.04,-1.83,16.61,62.13,-38.21,-193.79
900,-3.11,-5.63,16.26,49.32,-22.52,-187.87
910,-3.39,-8.16,15.86,38.27,-7.69,-181.15
920,-3.68,-10.19,15.23,27.16,4.33,-168.95
930,-4.12,-11.72,14.48,18.49,14.65,-147.16
940,-4.30,-12.83,13.09,4.15,25.21,-83.86
950,-3.33,-11.79,12.33,-3.42,26.61,-48.46
960,-2.46,-10.38,11.50,-11.47,28.44,-15.44
970,-1.59,-8.74,10.69,-18.37,30.21,11.29
980,-0.75,-6.90,9.93,-24.66,32.35,30.76
990,-0.04,-5.09,9.25,-35.03,36.38,49.62
