timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.20,-1.04,6.04,-2.62,17.09,-20.39
10,3.12,-1.30,5.21,-0.98,19.59,-21.06
20,3.25,-1.73,5.25,-1.04,12.94,-21.61
30,2.76,-1.63,5.23,-3.60,3.97,-24.78
40,2.47,-1.76,5.59,-2.32,-2.01,-27.65
50,2.30,-2.11,5.76,2.20,-15.87,-26.43
60,1.41,-2.92,5.50,10.38,-23.38,-22.40
70,1.42,-3.26,5.49,10.99,-29.91,-16.60
80,1.26,-3.36,5.63,8.42,-37.90,-10.44
90,1.11,-3.36,6.14,5.37,-45.53,-4.82
100,0.98,-3.35,6.53,3.48,-52.31,-0.18
110,0.58,-3.17,5.59,5.62,-60.67,5.49
120,0.85,-4.56,7.25,5.80,-64.88,5.68
130,0.69,-4.22,6.53,-4.46,-66.16,10.13
140,0.59,-4.45,6.86,-14.22,-69.70,12.45
150,0.67,-4.83,7.00,-24.78,-73.06,13.79
160,0.52,-4.90,8.05,-41.81,-80.44,17.46
170,-0.09,-4.65,8.62,-44.31,-83.86,22.52
180,0.12,-5.04,9.16,-43.15,-89.36,32.04
190,-1.10,-3.48,9.80,-41.56,-99.18,41.20
200,-1.72,-3.86,10.75,-31.86,-102.66,52.80
210,-2.19,-3.62,11.20,-19.23,-105.10,86.36
220,-1.77,-3.10,11.91,-18.07,-95.76,103.27
230,-1.12,-3.00,12.46,-17.46,-80.14,116.70
240,-0.83,-2.70,12.76,-17.03,-65.00,125.06
250,-0.89,-2.34,13.00,-16.54,-54.20,130.55
260,-1.13,-1.78,13.25,-18.62,-48.46,146.24
270,-0.90,-0.19,14.24,-25.57,-39.43,153.26
280,-0.45,0.72,14.98,-23.74,-33.63,155.76
290,-0.07,1.55,15.86,-14.89,-26.86,153.14
300,0.07,2.13,15.99,0.18,-21.55,146.67
310,0.25,2.40,15.83,19.35,-14.77,135.99
320,0.37,1.94,15.26,50.84,-4.27,111.76
330,-0.89,2.09,14.12,51.45,-10.01,106.57
340,-1.36,2.01,13.85,49.62,-14.22,108.58
350,-0.73,1.61,14.13,50.35,0.61,112.55
360,-0.61,2.15,14.16,41.87,9.83,114.01
370,-0.40,2.01,13.95,39.67,30.70,112.00
380,-0.18,2.44,13.21,37.96,38.94,108.34
390,-0.04,2.83,12.72,36.56,46.26,104.80
400,0.15,3.22,12.39,33.39,51.09,101.01
410,0.10,3.97,12.09,27.65,48.95,96.62
420,0.05,4.97,12.09,20.63,43.15,86.67
430,0.73,6.18,11.91,11.96,47.24,83.13
440,1.26,6.45,11.61,8.73,55.54,76.78
450,1.60,6.89,11.35,5.07,64.09,67.57
460,1.98,7.66,11.12,3.78,68.79,55.91
470,2.19,8.02,10.44,7.57,70.68,42.91
480,2.38,7.80,8.96,14.89,73.91,17.27
490,2.54,7.37,8.10,12.82,75.50,3.91
500,2.55,7.19,7.69,6.77,77.70,-9.22
510,2.38,6.93,7.47,0.06,78.49,-22.03
520,2.36,6.42,7.26,-4.64,78.37,-33.63
530,2.24,5.91,6.26,-10.07,72.57,-52.86
540,2.00,4.87,5.76,-12.27,70.13,-60.85
550,1.96,4.30,5.38,-14.83,67.26,-67.44
560,1.98,3.79,4.98,-16.42,63.11,-72.63
570,1.77,3.25,4.49,-17.33,58.35,-76.84
580,1.51,2.80,4.13,-20.02,44.01,-78.25
590,1.39,1.83,3.87,-19.90,33.45,-75.32
600,1.29,1.37,3.98,-20.69,21.42,-71.59
610,1.13,1.04,4.22,-21.61,8.36,-67.50
620,0.96,0.79,4.51,-21.97,-3.72,-62.44
630,0.88,0.63,4.86,-21.91,-29.91,-52.37
640,0.74,0.40,5.55,-22.64,-29.54,-49.19
650,0.66,0.26,5.95,-23.68,-34.85,-47.42
660,0.51,0.15,6.26,-24.90,-40.22,-47.06
670,0.49,0.12,6.57,-25.88,-45.23,-46.81
680,0.70,0.03,7.08,-26.67,-49.26,-46.69
690,1.07,-0.26,8.09,-21.67,-56.27,-49.68
700,1.07,-0.49,8.55,-15.56,-61.28,-52.19
710,1.11,-0.89,8.88,-7.81,-66.28,-53.71
720,1.06,-1.34,9.11,0.67,-70.37,-54.38
730,1.08,-1.82,9.41,8.30,-74.40,-54.50
740,1.10,-2.36,9.65,15.44,-76.90,-50.42
750,1.41,-3.13,10.66,14.77,-75.93,-47.61
760,1.31,-3.15,11.26,13.98,-75.32,-45.10
770,1.22,-3.13,12.05,15.08,-73.36,-42.72
780,1.09,-3.05,12.74,18.80,-69.34,-39.67
790,1.05,-2.96,13.30,40.22,-59.33,-32.71
800,1.19,-3.00,13.44,38.64,-52.98,-29.97
810,1.16,-3.06,13.07,42.72,-45.65,-27.59
820,1.12,-3.00,12.76,43.82,-37.48,-25.02
830,1.16,-2.85,12.42,42.36,-30.52,-22.03
840,1.27,-2.74,12.09,39.55,-24.54,-2.81
850,1.31,-2.35,11.42,29.91,-16.42,-12.39
860,1.33,-2.18,11.26,23.50,-12.82,-10.13
870,1.52,-1.90,11.15,17.21,-9.46,-8.61
880,1.52,-1.68,10.99,12.57,-7.08,-8.30
890,1.47,-1.50,10.81,8.91,-4.76,-8.42
900,1.50,-1.36,10.59,4.39,-0.12,-9.34
910,1.41,-1.21,10.45,3.97,0.24,-10.31
920,1.25,-1.19,10.29,3.42,-0.55,-10.19
930,1.12,-1.18,10.19,3.11,-0.49,-8.97
940,1.04,-1.12,10.23,2.50,-0.06,-7.39
950,1.02,-1.03,10.25,2.20,0.06,-4.27
960,1.03,-0.86,10.28,2.38,0.12,-3.36
970,1.05,-0.78,10.25,3.36,0.79,-2.99
980,1.12,-0.78,10.22,5.00,1.40,-3.17
990,1.12,-0.88,10.09,6.41,0.85,-3.85
