timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.74,3.54,1.30,-8.18,86.36,-36.68
10,2.27,2.76,0.98,0.92,85.39,-33.63
20,2.27,2.97,1.31,5.31,78.61,-35.58
30,2.31,2.89,1.01,12.27,44.01,-33.02
40,2.49,2.19,1.01,17.58,32.71,-29.17
50,2.54,2.02,1.27,22.09,22.03,-23.80
60,2.59,1.95,1.99,25.09,17.03,-16.91
70,2.25,1.81,2.47,23.86,18.25,-9.40
80,1.95,1.80,2.79,18.55,26.25,-3.78
90,1.57,1.71,2.97,4.52,49.38,-0.85
100,1.58,1.78,2.74,3.91,50.35,-1.46
110,1.71,1.72,3.15,9.03,41.32,-0.55
120,1.71,1.40,3.78,13.37,23.74,2.87
130,1.75,1.11,4.23,10.50,2.14,8.00
140,1.92,1.30,4.40,-8.18,-33.63,18.68
150,4.52,1.09,1.90,-10.62,-45.96,23.50
160,1.15,1.87,3.72,-1.04,-61.04,30.58
170,1.37,1.27,4.39,6.90,-54.87,39.18
180,1.30,1.24,5.00,10.01,-47.06,42.66
190,1.38,1.55,4.89,11.41,-51.27,47.55
200,0.69,2.30,4.66,20.32,-51.70,50.78
210,0.68,2.43,5.11,28.44,-55.05,52.67
220,0.61,2.31,5.44,35.77,-61.65,53.59
230,0.81,2.59,6.36,42.60,-67.75,53.10
240,1.44,2.92,6.37,47.97,-74.95,72.63
250,0.62,1.36,7.33,53.22,-82.34,66.04
260,0.99,1.49,7.83,51.21,-80.63,64.45
270,1.14,0.75,8.14,52.00,-79.16,64.76
280,1.62,1.55,8.48,52.80,-75.01,64.94
290,2.37,1.63,9.82,56.46,-67.20,73.00
300,2.45,1.23,11.37,63.54,-62.07,99.00
310,1.67,1.06,11.88,62.56,-64.27,109.80
320,1.22,1.17,12.08,60.12,-66.28,115.97
330,1.40,1.53,12.39,57.74,-65.43,119.51
340,2.39,2.23,12.37,54.38,-61.28,121.15
350,5.94,3.91,11.63,38.51,-49.19,111.57
360,15.07,15.66,14.60,49.26,-56.34,97.84
370,10.29,10.92,16.51,105.59,-60.30,165.41
380,0.63,6.82,19.01,146.00,-42.11,222.41
390,-7.10,5.49,22.56,136.60,-12.88,250.24
400,-8.00,0.76,23.10,110.35,9.83,232.06
410,-6.49,1.96,21.15,21.73,5.62,174.13
420,-5.93,5.89,17.75,-1.77,2.93,128.85
430,-5.65,8.54,14.52,-15.99,18.92,108.15
440,-4.87,9.49,12.88,-15.50,46.02,99.37
450,-4.14,8.84,13.14,-7.69,67.38,96.37
460,-4.14,6.78,14.30,6.04,56.27,80.02
470,-3.56,6.36,14.90,3.23,49.19,68.66
480,-2.70,6.42,15.16,-5.98,49.13,61.22
490,-1.92,6.47,15.54,-14.71,54.14,59.20
500,-1.75,6.23,15.88,-18.68,59.69,60.79
510,-1.79,6.06,16.15,-29.48,72.45,63.35
520,-1.70,6.71,15.72,-40.47,78.67,62.62
530,-1.92,7.17,15.01,-53.22,83.92,62.50
540,-2.41,7.56,14.15,-66.04,87.71,62.93
550,-2.97,7.89,13.20,-76.66,90.15,62.19
560,-3.33,8.40,12.52,-84.59,95.34,51.82
570,-4.00,9.47,10.22,-87.77,102.36,45.41
580,-3.92,10.46,9.47,-87.65,110.41,39.00
590,-4.18,10.77,8.28,-83.31,112.55,34.42
600,-4.53,11.02,7.41,-79.35,112.00,28.75
610,-4.64,11.41,6.77,-76.05,111.02,5.07
620,-4.35,11.65,5.71,-67.63,105.83,-8.48
630,-4.25,11.39,5.17,-63.05,104.49,-21.61
640,-4.08,10.97,4.66,-58.41,103.76,-33.33
650,-3.72,10.56,4.22,-53.71,102.36,-43.64
660,-3.36,10.13,3.78,-48.77,100.59,-52.73
670,-2.70,9.41,3.04,-38.64,99.61,-68.24
680,-2.24,9.05,2.76,-33.02,99.67,-75.38
690,-1.79,8.62,2.60,-28.99,98.21,-79.90
700,-1.39,8.14,2.39,-28.63,94.36,-81.36
710,-1.10,7.74,2.12,-30.52,88.26,-81.05
720,-0.88,7.44,1.79,-35.46,74.52,-79.65
730,-0.43,6.98,1.00,-37.96,68.30,-79.59
740,-0.21,6.76,0.73,-40.89,61.52,-79.71
750,0.01,6.53,0.60,-42.72,52.67,-80.26
760,0.19,6.32,0.48,-42.66,42.36,-80.69
770,0.29,6.08,0.25,-41.26,26.31,-81.30
780,0.56,5.69,-0.04,-34.24,22.83,-82.34
790,0.69,5.47,-0.20,-30.70,22.34,-82.70
800,0.65,5.16,-0.54,-29.17,21.97,-81.30
810,0.62,5.01,-1.02,-28.20,20.57,-78.55
820,0.58,4.95,-1.35,-26.06,17.40,-75.07
830,0.58,4.88,-1.51,-23.32,1.59,-66.47
840,0.43,4.81,-1.62,-22.71,-9.40,-63.35
850,0.41,4.70,-1.51,-20.57,-21.42,-62.19
860,0.48,4.47,-1.13,-16.60,-34.00,-63.42
870,0.71,4.18,-0.47,-13.43,-46.69,-66.47
880,0.84,3.87,0.43,-14.95,-71.66,-70.13
890,1.04,3.28,0.64,-14.89,-80.14,-71.17
900,1.23,3.11,0.70,-13.12,-84.23,-71.53
