timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.58,-1.20,5.28,-90.21,-8.12,-8.30
10,3.98,-0.35,4.99,-104.37,-13.85,-2.38
20,5.35,0.06,6.54,-97.90,-25.70,-26.37
30,3.51,0.14,7.15,-81.54,-34.24,-45.72
40,2.74,-0.61,7.45,-57.56,-36.80,-60.42
50,2.18,-1.65,7.50,-36.93,-37.66,-69.46
60,1.73,-2.65,7.44,-23.07,-37.84,-75.81
70,1.31,-3.49,7.32,-11.47,-34.85,-82.76
80,1.47,-5.99,7.36,-12.63,-32.71,-82.76
90,0.87,-6.08,6.85,-18.55,-34.79,-84.23
100,-0.23,-6.30,6.78,-23.68,-37.84,-84.53
110,-1.01,-6.25,6.78,-27.77,-44.68,-80.51
120,-1.65,-6.64,7.18,-23.68,-56.34,-58.04
130,-3.08,-8.19,7.27,-3.91,-63.66,-39.00
140,-2.91,-7.86,6.75,6.16,-59.33,-28.08
150,-2.59,-8.16,6.93,22.34,-46.88,-15.08
160,-1.55,-9.37,6.46,32.84,-48.03,1.59
170,-1.82,-7.92,7.34,36.01,-52.25,12.57
180,-1.42,-10.26,7.44,26.79,-78.49,49.99
190,-1.61,-10.28,7.87,15.56,-92.83,50.23
200,-2.42,-8.19,8.12,16.11,-105.47,57.37
210,-2.55,-8.46,8.09,19.65,-120.06,78.06
220,-1.99,-8.60,8.49,19.47,-131.71,97.90
230,-1.64,-8.05,11.01,17.33,-141.48,117.49
240,-2.00,-7.22,11.55,25.94,-145.94,121.83
250,-2.39,-6.92,12.37,37.78,-148.74,126.95
260,-2.82,-6.58,13.21,47.00,-149.48,135.62
270,-2.98,-6.16,14.52,54.44,-150.82,147.16
280,-2.97,-5.58,16.11,78.92,-159.48,174.62
290,-2.73,-4.08,18.76,99.00,-168.15,188.90
300,-3.25,-3.89,19.18,122.01,-174.74,200.62
310,-4.06,-3.62,19.07,136.90,-173.52,208.37
320,-4.61,-3.16,18.97,139.28,-161.99,215.03
330,-4.54,-2.84,18.98,132.14,-142.40,220.64
340,-3.96,-2.21,18.96,89.84,-102.11,217.47
350,-3.62,-1.62,19.25,56.40,-77.76,209.78
360,-3.11,-0.35,19.75,23.32,-46.88,197.45
370,-2.89,0.63,20.09,-0.98,-15.93,182.80
380,-2.71,1.65,19.62,-18.92,12.45,165.16
390,-2.56,3.79,18.72,-41.26,78.92,128.85
400,-1.59,4.50,17.83,-39.79,107.54,114.38
410,-1.33,4.68,16.09,-33.69,128.78,102.36
420,-0.41,5.15,15.74,-23.56,151.43,89.60
430,-0.19,5.43,14.30,-14.47,168.88,78.98
440,-0.17,5.74,12.76,2.01,179.87,59.81
450,0.36,5.62,9.53,7.69,183.29,54.93
460,0.67,5.47,8.48,9.40,182.98,51.33
470,1.25,5.34,7.66,2.75,175.72,44.86
480,1.18,5.41,6.66,-3.78,164.00,35.95
490,0.96,5.06,5.80,-5.37,137.76,7.26
500,1.15,5.42,4.51,-13.43,127.87,-6.84
510,1.35,5.35,4.23,-17.64,118.23,-18.80
520,1.24,5.31,3.95,-21.00,109.19,-30.21
530,1.15,5.30,3.84,-22.64,103.52,-41.32
540,0.97,5.31,3.61,-23.01,99.61,-51.39
550,0.50,5.02,2.74,-22.03,86.91,-68.66
560,0.42,4.71,2.64,-20.94,80.32,-77.33
570,0.29,4.48,2.52,-20.69,73.97,-86.00
580,0.16,4.31,2.28,-20.69,67.81,-93.75
590,0.07,4.03,1.94,-22.46,60.30,-99.98
600,0.08,3.73,1.71,-37.84,41.08,-110.29
610,0.73,3.00,2.13,-48.10,29.11,-115.72
