timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.04,-1.22,5.97,-0.85,25.15,1.34
10,3.65,-0.85,3.96,5.86,24.23,1.34
20,4.64,-1.93,3.83,7.02,23.93,-0.18
30,3.86,-1.42,3.67,-2.75,20.69,-8.42
40,3.49,-1.39,3.92,-9.70,19.41,-18.01
50,3.48,-1.72,3.55,-14.83,10.25,-30.15
60,2.73,-2.58,3.21,-19.84,5.43,-34.12
70,2.44,-2.89,3.25,-28.81,2.26,-34.73
80,2.29,-2.90,3.80,-36.87,0.00,-32.47
90,2.04,-2.72,4.46,-36.44,-4.03,-28.87
100,1.74,-2.72,4.98,-5.37,-28.14,-16.54
110,1.29,-3.26,5.13,17.27,-44.13,-8.12
120,1.13,-3.79,4.43,37.66,-60.61,-0.06
130,1.22,-4.44,3.98,49.44,-75.32,7.08
140,1.42,-5.02,4.03,53.41,-86.98,11.60
150,3.44,-4.85,2.91,54.20,-98.57,11.60
160,-0.19,-6.12,5.42,45.41,-114.87,11.23
170,-0.16,-7.34,5.67,52.49,-118.96,18.98
180,-0.67,-8.02,5.76,51.45,-128.54,26.18
190,-1.32,-8.33,6.17,48.52,-135.31,33.63
200,-1.62,-8.60,6.89,44.74,-139.59,43.70
210,-2.50,-8.74,8.64,42.85,-149.54,63.84
220,-2.82,-8.74,9.69,42.60,-154.97,73.00
230,-3.12,-8.35,11.06,38.57,-159.36,82.15
240,-2.63,-8.26,12.42,31.92,-159.85,92.22
250,-2.94,-7.49,13.77,23.07,-155.15,102.72
260,-2.69,-6.58,15.01,20.63,-128.72,114.56
270,-1.82,-6.08,15.35,26.31,-115.66,117.31
280,-1.76,-6.01,15.03,30.03,-103.76,118.16
290,-2.01,-5.72,14.79,30.46,-94.73,118.65
300,-1.65,-4.87,17.30,26.55,-88.13,119.75
310,-2.25,-4.02,17.23,20.39,-82.28,128.30
320,-0.87,-3.43,18.43,19.90,-57.37,134.09
330,-0.99,-2.02,17.69,15.87,-38.09,140.26
340,-0.81,-1.28,16.72,13.61,-28.69,148.25
350,-0.24,-0.97,15.75,8.12,-21.06,156.13
360,0.15,-0.02,15.69,-3.11,-14.34,160.10
370,0.82,2.08,16.46,-17.76,-1.10,159.97
380,1.18,2.95,16.45,-17.82,11.17,158.39
390,1.77,3.85,16.27,-15.44,23.99,152.89
400,2.22,4.51,15.73,-11.84,31.92,143.55
410,2.47,4.78,15.05,-8.61,37.23,131.65
420,2.69,4.84,14.57,-10.93,54.32,105.77
430,2.54,4.89,14.33,-11.72,63.29,94.18
440,2.42,4.89,13.75,-11.72,71.23,84.41
450,2.47,4.79,13.03,-12.21,78.67,75.38
460,2.87,4.47,12.34,-15.20,83.80,66.83
470,3.11,4.33,11.77,-25.15,89.72,43.95
480,2.83,3.97,10.43,-29.66,93.93,31.74
490,2.75,3.80,9.90,-33.51,97.96,22.16
500,2.83,3.79,9.62,-34.97,100.65,13.73
510,2.89,3.94,9.17,-32.23,101.81,5.49
520,2.94,4.22,8.56,-27.34,99.85,-10.99
530,3.03,4.16,7.47,-24.17,91.00,-18.92
540,3.15,4.05,7.09,-27.65,89.78,-26.61
550,3.36,4.05,6.78,-31.98,92.47,-35.16
560,3.42,4.15,6.24,-35.58,96.19,-45.04
570,3.47,4.07,5.63,-39.06,98.27,-55.97
580,3.37,3.44,4.40,-50.78,97.05,-78.92
590,3.29,3.22,4.07,-60.24,96.31,-89.11
600,3.24,2.99,3.91,-68.18,95.28,-97.11
610,3.08,2.87,3.88,-74.10,92.53,-103.70
620,2.83,2.72,4.04,-75.81,86.79,-108.40
630,2.57,2.69,4.18,-65.98,63.48,-108.58
640,2.52,2.16,3.61,-60.00,48.22,-105.47
650,2.54,1.64,3.37,-57.31,35.16,-102.91
660,2.43,1.20,3.23,-59.08,25.57,-101.26
670,2.36,1.35,3.25,-64.39,18.31,-100.28
680,2.19,1.29,3.12,-74.52,4.58,-96.56
690,2.29,0.96,2.61,-82.40,-0.85,-96.25
700,2.45,0.98,2.73,-93.02,-5.62,-98.08
710,2.41,1.06,3.09,-103.33,-10.50,-101.01
720,2.35,1.11,3.65,-112.73,-15.56,-104.31
730,2.31,1.24,4.68,-118.16,-21.79,-109.01
740,2.10,1.15,5.79,-99.91,-42.91,-106.69
750,2.12,0.79,5.66,-82.21,-55.42,-101.14
760,2.39,0.20,5.44,-65.98,-68.60,-93.99
770,2.47,-0.30,5.01,-54.50,-82.15,-86.98
780,2.19,-0.68,4.70,-49.62,-93.44,-80.14
790,1.91,-1.11,6.30,-59.45,-109.92,-68.24
800,1.73,-1.23,7.65,-66.77,-118.29,-64.27
810,1.67,-1.27,9.09,-71.59,-124.69,-61.04
820,1.64,-1.35,10.54,-71.41,-127.93,-58.35
830,1.62,-1.49,12.19,-66.04,-127.69,-57.07
840,1.44,-1.59,13.98,-31.98,-129.76,-62.38
850,0.37,-2.12,16.54,-7.87,-133.18,-65.19
860,-0.14,-2.70,17.02,15.50,-133.12,-66.04
870,-0.47,-3.31,17.29,35.89,-126.71,-64.82
880,-0.70,-3.96,17.39,52.06,-114.99,-62.13
890,-0.84,-4.57,17.12,62.74,-87.34,-52.73
900,-0.95,-5.21,15.98,65.43,-72.39,-45.96
910,-0.77,-5.27,15.49,57.13,-58.29,-38.21
920,-0.54,-5.10,15.09,44.92,-44.86,-30.40
930,-0.14,-4.70,14.74,31.19,-30.70,-22.64
940,0.37,-4.21,14.17,18.62,-17.09,-15.56
950,1.37,-3.30,12.95,0.61,5.19,-8.73
960,1.67,-2.87,12.44,-4.27,12.15,-8.06
970,1.88,-2.55,11.91,-6.96,16.11,-7.75
980,2.02,-2.23,11.45,-7.45,18.98,-7.75
990,2.08,-1.99,11.04,-5.98,20.69,-7.20
