timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.30,-0.52,6.81,-70.31,13.73,-6.59
10,3.58,0.18,6.44,-69.76,8.79,-11.41
20,3.23,-0.15,7.06,-62.93,2.81,-14.77
30,3.07,-0.30,7.33,-59.02,-5.37,-16.78
40,2.50,-0.68,7.57,-42.85,-11.29,-25.63
50,2.18,-1.51,6.92,-36.80,-15.14,-29.24
60,1.47,-2.06,6.61,-38.27,-19.23,-30.64
70,0.92,-2.54,6.80,-44.68,-23.80,-27.71
80,0.53,-3.07,7.83,-51.57,-26.06,-20.39
90,0.37,-3.28,8.94,-47.67,-23.01,-1.95
100,0.03,-4.31,10.04,-36.56,-27.77,7.81
110,0.14,-5.38,9.67,-24.05,-34.61,19.84
120,-2.18,-5.25,10.94,-15.20,-45.78,35.10
130,-0.25,-5.78,11.00,-3.05,-46.81,59.88
140,-0.47,-6.27,11.12,3.42,-64.21,99.00
150,-0.84,-6.39,11.06,27.53,-67.20,110.96
160,-0.84,-6.56,11.00,37.54,-69.27,118.77
170,-0.83,-7.33,11.39,35.71,-69.76,122.80
180,-0.51,-8.00,11.45,14.10,-67.14,124.82
190,-1.63,-6.82,12.85,-31.80,-63.54,123.90
200,-2.96,-0.91,15.62,-95.64,-31.56,124.27
210,-3.72,0.39,13.67,-69.21,-2.69,126.71
220,-3.12,0.83,12.70,-55.91,22.52,137.63
230,-2.01,1.99,14.45,-68.18,31.74,151.06
240,-0.92,3.77,15.16,-59.75,41.87,153.32
250,-0.73,5.78,13.31,-35.22,52.55,154.66
260,0.07,6.13,12.79,-33.45,65.19,152.71
270,0.49,6.80,12.09,-35.40,79.35,145.39
280,0.85,7.63,11.23,-41.75,92.83,135.44
290,1.34,8.34,10.52,-45.17,103.94,123.96
300,1.99,9.17,10.32,-40.16,105.22,97.90
310,2.83,9.75,9.94,-35.03,97.66,83.86
320,2.62,10.50,9.42,-34.61,91.25,70.80
330,2.57,11.32,9.01,-34.91,90.76,57.80
340,2.80,11.70,8.74,-32.41,94.60,46.39
350,3.70,11.44,8.39,-26.31,100.95,9.40
360,4.66,10.64,8.26,-10.56,114.81,-14.59
370,4.36,11.10,7.71,-7.93,115.30,-39.86
380,3.71,11.10,7.05,-4.58,113.89,-60.00
390,3.46,9.64,6.16,5.62,117.07,-71.59
400,4.07,8.30,4.99,13.67,119.57,-82.95
410,3.52,7.27,3.10,14.95,106.14,-107.67
420,3.31,6.60,2.44,10.74,94.12,-114.01
430,3.32,5.99,1.90,4.58,82.15,-116.76
440,3.50,5.27,1.66,-0.31,69.76,-118.84
450,3.56,4.59,1.53,-3.72,55.24,-121.03
460,3.49,3.99,1.55,-6.41,28.87,-124.51
470,3.15,3.24,1.84,-6.10,18.19,-125.49
480,3.16,2.62,2.12,-4.64,9.09,-125.37
490,2.83,2.09,2.04,-2.50,-0.67,-125.37
500,2.44,1.67,2.32,-1.10,-9.46,-124.76
