timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.39,-3.30,10.62,-37.78,58.84,34.91
10,0.81,-2.53,9.91,-43.33,73.00,35.10
20,2.06,-2.23,9.58,-45.17,90.03,35.71
30,2.27,-1.88,8.73,-44.86,88.75,26.12
40,2.25,-1.57,8.30,-44.07,86.91,16.97
50,2.41,-1.49,7.91,-43.52,81.54,9.83
60,2.39,-1.61,7.57,-41.26,73.36,3.23
70,2.33,-1.68,7.43,-34.61,57.98,-7.32
80,2.03,-1.91,7.24,-29.79,51.21,-10.62
90,1.79,-2.06,7.19,-24.17,45.23,-12.39
100,1.56,-2.21,7.09,-17.33,39.98,-12.45
110,1.35,-2.42,7.03,-10.38,34.85,-11.11
120,1.14,-2.62,6.86,-4.39,21.97,-5.55
130,1.85,-3.77,7.34,3.23,12.33,-1.46
140,0.37,-2.97,6.54,0.61,0.18,0.61
150,0.51,-3.08,6.64,4.52,1.46,4.82
160,0.46,-3.35,6.35,5.80,-3.42,12.57
170,0.62,-3.71,6.14,5.07,-7.81,18.62
180,0.47,-3.93,6.04,-1.34,-14.59,25.94
190,0.37,-4.06,6.10,-5.43,-18.62,29.30
200,0.26,-4.11,6.19,-8.85,-22.58,32.71
210,0.25,-4.22,6.36,-11.66,-26.49,37.23
220,0.16,-4.18,6.53,-14.71,-31.49,42.66
230,0.12,-4.06,7.10,-18.37,-40.34,56.09
240,0.14,-3.82,7.27,-18.62,-45.29,62.99
250,0.15,-3.79,7.42,-17.46,-49.68,69.03
260,0.21,-3.74,7.67,-17.33,-54.08,75.50
270,0.18,-3.46,8.24,-19.65,-58.90,82.82
280,0.05,-3.00,8.79,-23.62,-69.21,98.45
290,-0.18,-2.26,9.65,-24.29,-72.20,107.36
300,0.10,-2.29,10.03,-25.70,-73.55,115.91
310,0.44,-2.25,10.36,-27.83,-73.43,121.89
320,0.73,-2.30,10.64,-28.81,-70.92,124.27
330,0.76,-2.35,10.87,-28.20,-65.92,122.62
340,0.26,-1.90,11.67,-31.80,-59.57,123.66
350,-0.02,-1.77,12.04,-34.30,-58.47,127.32
360,-0.35,-1.42,12.42,-39.06,-57.80,133.54
370,-0.53,-0.84,12.97,-45.59,-56.27,141.85
380,-0.55,-0.08,13.98,-50.35,-52.19,150.27
390,-0.45,1.69,15.40,-44.49,-38.09,160.40
400,0.05,3.33,16.48,-36.13,-28.20,161.44
410,-0.01,4.25,16.03,-26.18,-23.56,163.94
420,0.68,4.12,15.21,-9.46,-18.01,160.83
430,1.58,4.52,14.91,2.50,-1.59,148.38
440,1.60,5.15,14.46,2.99,20.69,116.64
450,1.34,5.98,13.60,-2.62,31.74,103.21
460,1.50,6.66,13.57,-9.16,41.26,90.94
470,1.78,7.20,13.53,-11.35,50.17,78.55
480,2.12,7.72,13.23,-10.31,58.84,63.29
490,2.32,7.90,12.73,-5.74,74.04,32.29
500,2.53,8.03,11.69,10.19,76.35,17.70
510,2.56,7.50,10.92,19.17,75.38,5.80
520,2.72,7.03,10.05,27.47,74.71,-4.46
530,2.80,6.42,9.56,34.18,75.50,-13.92
540,2.63,6.01,8.83,38.45,73.73,-23.38
550,2.82,4.60,7.87,43.21,73.85,-37.66
560,2.46,4.41,7.08,39.12,70.68,-44.56
570,2.40,3.78,6.72,36.01,67.99,-50.90
580,2.42,3.33,6.47,31.68,67.50,-56.82
590,2.43,3.20,6.31,25.33,65.73,-63.29
600,2.43,3.04,5.86,16.60,63.78,-73.61
610,2.39,2.60,5.50,12.82,62.19,-77.64
620,2.29,2.44,5.22,8.91,59.27,-80.57
630,2.19,2.27,5.09,4.39,54.20,-82.09
640,2.12,2.09,4.99,-0.06,47.18,-82.09
650,2.01,1.93,4.90,-5.13,30.94,-80.38
660,1.75,1.67,5.11,-7.14,20.51,-78.19
670,1.58,1.52,5.41,-8.61,9.28,-75.56
680,1.43,1.30,5.84,-9.09,-0.61,-72.69
690,1.32,1.07,6.22,-8.79,-8.48,-70.01
700,1.29,0.79,6.53,-8.06,-29.30,-66.53
710,1.13,0.40,7.06,-7.02,-17.82,-66.04
720,1.07,0.29,7.26,-5.80,-20.14,-65.55
730,1.08,0.14,7.29,-3.36,-22.89,-64.58
740,1.18,-0.09,7.12,-1.10,-26.31,-63.11
750,1.25,-0.27,7.05,0.12,-29.42,-62.01
760,1.50,-0.56,7.18,-1.46,-35.77,-60.24
770,1.69,-0.70,7.30,-2.99,-39.12,-59.45
780,1.88,-0.83,7.37,-5.07,-42.54,-58.65
790,2.08,-0.96,7.55,-7.63,-45.78,-57.62
800,2.21,-1.02,7.72,-10.31,-49.07,-57.50
810,2.26,-1.06,8.05,-16.17,-53.83,-59.69
820,2.10,-1.18,9.29,-17.82,-55.85,-62.13
830,1.91,-1.32,10.13,-17.03,-58.11,-65.49
840,1.69,-1.63,10.86,-14.47,-60.91,-68.18
850,1.47,-2.01,11.37,-9.64,-62.50,-70.25
860,1.26,-2.42,11.79,-5.07,-57.74,-69.15
870,0.91,-3.35,11.95,1.77,-52.80,-66.53
880,0.74,-3.75,11.95,3.48,-46.63,-62.81
890,0.57,-4.04,12.00,2.50,-41.14,-57.68
900,0.41,-4.05,12.16,-0.24,-36.56,-51.09
910,0.32,-3.92,12.35,-3.60,-32.23,-42.79
920,0.74,-3.48,12.66,-5.19,-22.64,-25.45
930,1.07,-3.19,12.54,-2.69,-18.25,-19.23
940,1.32,-2.97,12.20,0.24,-14.83,-14.95
950,1.49,-2.81,11.84,2.62,-11.41,-12.27
960,1.60,-2.62,11.52,3.60,-8.00,-10.68
970,1.70,-2.19,11.02,1.22,-3.66,-8.79
980,1.75,-2.06,10.92,-0.37,-1.89,-8.18
990,1.74,-1.91,10.82,-0.98,0.12,-7.39
