timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.09,0.99,2.23,-23.50,125.18,53.41
10,1.65,1.30,-0.03,-13.18,127.62,45.53
20,2.23,2.07,-0.80,3.66,115.42,40.71
30,2.07,1.85,-1.46,23.50,102.42,41.75
40,1.53,1.41,-1.68,38.21,93.26,41.69
50,1.02,1.26,-1.63,45.53,83.37,37.23
60,-0.25,1.28,-2.04,40.71,60.91,26.86
70,-0.63,1.67,-2.31,35.10,50.11,23.50
80,-1.20,2.14,-3.03,32.71,37.41,21.30
90,-1.77,2.58,-3.90,35.77,24.41,18.25
100,-2.22,2.85,-4.56,44.56,13.06,12.88
110,-2.52,3.05,-4.66,73.49,-12.45,-1.46
120,-3.06,2.41,-3.40,86.55,-28.20,-9.03
130,-3.26,1.69,-2.20,90.33,-45.96,-17.09
140,-3.50,0.87,-1.32,79.22,-64.39,-25.94
150,-3.57,0.06,-1.11,58.11,-86.61,-34.79
160,-3.37,-0.55,-1.00,36.56,-139.34,-53.04
170,-2.11,-1.85,-0.56,16.05,-165.34,-57.01
180,-1.30,-2.56,0.17,15.93,-184.27,-54.44
190,-0.50,-3.37,0.81,19.84,-196.59,-45.84
200,-0.64,-2.94,2.04,28.26,-207.28,-34.67
210,-0.22,-5.05,3.27,41.32,-209.23,-21.73
220,0.06,-7.25,6.67,61.83,-208.68,-9.34
230,0.67,-8.78,8.86,68.12,-210.39,-4.46
240,1.22,-10.01,10.86,70.13,-214.42,3.48
250,1.80,-11.64,12.40,67.57,-217.29,12.82
260,2.06,-12.22,14.20,57.50,-214.11,19.65
270,2.36,-11.74,19.12,46.69,-213.32,44.13
280,2.93,-14.33,20.64,43.76,-223.82,58.78
290,2.60,-13.79,22.28,27.40,-228.88,70.74
300,2.90,-12.44,24.52,3.78,-218.26,91.13
310,3.03,-11.58,26.75,-14.95,-200.93,121.64
320,2.26,-10.39,28.37,-34.55,-158.26,187.13
330,-0.07,-6.36,30.07,-29.05,-128.91,215.27
340,-0.81,-4.15,30.69,-9.83,-94.67,239.07
350,-1.47,-2.35,30.71,23.93,-58.65,256.29
360,-2.00,-0.82,30.53,64.88,-18.98,265.75
370,-2.28,-0.17,30.74,102.66,22.46,265.69
380,-2.53,1.00,30.95,140.38,88.07,257.08
390,-2.66,1.56,30.19,133.06,111.45,244.51
400,-2.44,2.18,29.06,110.72,130.37,228.45
410,-2.11,2.74,27.50,82.09,144.41,209.59
420,-1.81,3.72,25.67,51.33,153.44,190.31
430,-2.10,6.03,20.77,3.91,159.48,157.41
440,-2.43,7.00,18.21,-5.80,165.22,141.85
450,-2.59,8.24,15.94,-6.04,176.70,126.16
460,-2.61,9.25,14.00,2.44,191.04,111.69
470,-2.60,9.94,12.44,15.14,205.51,97.84
480,-2.47,10.32,11.03,32.71,220.95,69.27
490,-2.18,10.97,8.64,29.36,218.63,53.47
500,-2.19,11.30,7.30,17.70,210.94,36.07
510,-2.29,11.30,5.92,2.93,197.63,15.56
520,-2.12,11.23,4.69,-15.32,182.43,-8.61
530,-2.01,10.92,3.32,-48.65,147.16,-63.66
540,-1.81,9.87,0.63,-59.63,129.88,-89.11
550,-1.58,9.32,-0.40,-61.65,113.95,-111.39
560,-1.22,8.82,-1.06,-60.61,101.20,-129.21
570,-1.18,8.01,-1.98,-58.84,88.68,-142.94
580,-1.09,7.24,-2.57,-60.30,78.19,-169.25
590,-1.04,5.65,-3.40,-63.17,56.34,-167.85
600,-0.82,5.05,-3.78,-64.58,45.41,-173.46
610,-0.73,4.57,-4.13,-64.76,35.34,-179.02
620,-0.82,3.94,-4.24,-65.00,24.84,-182.74
630,-0.85,3.34,-4.11,-65.67,11.90,-185.42
640,-0.51,2.56,-2.87,-70.01,-17.03,-191.47
650,0.05,2.21,-2.13,-73.67,-34.24,-189.82
660,-0.09,1.87,-1.51,-78.25,-49.93,-183.29
670,-0.42,1.40,-0.76,-77.33,-60.67,-176.70
680,-0.82,0.57,0.51,-68.60,-67.99,-171.33
690,-1.37,-0.57,2.17,-57.50,-83.31,-160.03
700,-1.99,-3.46,5.11,-62.26,-91.43,-155.52
710,-1.71,-4.51,6.76,-66.16,-97.11,-152.77
720,-1.43,-5.84,8.12,-66.71,-100.28,-150.82
730,-0.97,-7.29,9.48,-66.96,-99.00,-148.50
740,-0.51,-8.43,10.96,-68.73,-78.19,-133.73
750,0.29,-10.88,13.80,-67.08,-77.94,-121.22
760,0.84,-11.94,14.77,-64.27,-65.92,-106.57
770,1.35,-12.68,15.47,-63.23,-53.34,-91.00
