timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.03,-0.43,2.53,-18.19,-46.69,42.36
10,1.41,0.85,2.10,-24.66,-47.00,59.75
20,1.87,0.35,3.11,-21.61,-52.80,73.91
30,1.94,0.69,3.75,-16.72,-64.76,85.02
40,2.17,1.05,4.92,-8.67,-72.88,93.32
50,2.48,1.34,5.98,21.85,-81.36,94.91
60,2.29,1.06,7.08,39.73,-84.23,91.86
70,2.43,0.47,7.76,52.12,-85.08,83.68
80,1.56,-0.13,8.31,53.83,-90.27,75.44
90,0.76,-0.89,9.11,42.24,-92.96,72.20
100,0.01,-1.16,10.09,15.32,-87.71,88.81
110,-0.59,0.04,13.50,-59.02,-67.14,106.32
120,-0.63,1.36,15.70,-87.22,-58.04,126.46
130,-0.80,3.51,17.06,-100.22,-49.13,146.12
140,-0.14,4.19,19.49,-96.62,-40.89,161.13
150,0.04,6.36,20.38,-87.52,-27.59,175.05
160,0.25,9.17,20.66,-27.10,9.34,182.50
170,0.27,9.15,19.10,0.43,28.32,180.18
180,-0.27,10.22,17.67,14.59,50.60,182.19
190,0.35,10.93,16.83,25.88,75.13,182.19
200,0.48,10.66,16.00,32.29,92.90,176.27
210,-0.07,11.09,14.65,23.13,123.96,159.06
220,-0.29,13.06,12.87,17.15,138.49,154.85
230,-0.26,14.05,12.34,17.76,146.55,149.90
240,-0.45,14.87,11.60,26.92,150.88,142.46
250,-0.78,15.54,10.70,37.35,154.79,135.07
260,-1.00,16.35,9.96,45.84,167.48,114.26
270,-0.62,16.25,7.96,70.50,174.26,106.75
280,-0.82,17.09,6.79,77.09,179.87,99.37
290,-1.01,16.27,6.05,88.56,177.12,86.91
300,-0.12,15.80,5.17,90.82,161.50,71.23
310,-0.40,15.77,4.63,79.65,147.09,57.92
320,-0.14,15.17,4.42,60.18,140.08,29.97
330,0.15,14.92,4.16,50.29,135.62,14.77
340,0.48,14.56,3.98,43.27,131.71,-1.59
350,0.75,13.91,3.66,38.09,128.78,-18.43
360,0.70,13.15,3.52,34.48,124.63,-35.89
370,0.56,12.36,3.05,28.38,113.46,-67.44
380,-0.55,10.87,2.53,27.95,109.44,-80.93
390,-1.07,10.09,2.17,28.87,104.00,-92.65
400,-1.24,9.39,1.73,27.28,95.15,-99.85
410,-1.36,8.59,1.37,22.22,86.06,-100.10
420,-1.13,7.98,1.16,4.39,71.11,-92.83
430,-0.69,7.13,0.81,-2.38,61.28,-89.05
440,-0.36,6.62,0.42,-6.29,50.42,-86.30
450,-0.18,6.29,0.15,-10.44,38.51,-85.21
460,-0.27,6.00,-0.24,-16.05,27.10,-85.21
470,-0.34,5.81,-0.41,-23.68,17.94,-84.47
480,-0.14,5.54,-0.26,-38.02,-0.49,-84.84
490,-0.28,5.45,-0.41,-39.86,-12.02,-84.90
500,-0.15,5.06,-0.36,-38.88,-21.61,-83.74
510,-0.09,4.77,-0.36,-38.33,-29.36,-81.54
520,-0.09,4.17,-0.81,-36.80,-37.66,-79.22
530,0.60,3.75,-0.34,-39.73,-50.66,-75.50
540,0.17,3.53,-0.27,-43.27,-60.36,-68.91
550,0.59,3.32,0.23,-44.74,-68.91,-60.55
560,0.51,3.39,0.57,-46.39,-80.44,-54.02
570,0.20,3.39,0.78,-44.92,-93.20,-48.16
580,-0.06,3.43,0.82,-45.10,-109.07,-26.73
590,0.25,3.50,1.25,-48.34,-114.69,-15.26
600,0.22,3.72,1.45,-53.59,-121.09,-6.84
610,0.25,4.02,1.56,-60.18,-129.21,-0.24
620,0.58,4.35,2.08,-67.50,-137.15,5.37
630,1.02,4.59,2.69,-72.57,-155.09,8.12
640,1.66,4.89,4.74,-69.27,-164.98,5.31
650,1.89,5.01,5.79,-59.88,-173.77,0.06
660,2.03,5.02,6.90,-45.72,-180.97,-6.04
670,1.81,5.05,7.90,-29.05,-187.38,-12.45
680,1.45,4.83,8.92,-11.47,-192.14,-18.92
690,0.97,4.38,11.09,10.44,-192.63,-29.54
700,0.72,4.21,12.44,14.83,-189.51,-33.63
710,0.67,3.97,14.07,20.45,-183.29,-37.23
720,0.32,4.39,16.07,24.90,-175.66,-40.22
730,-0.09,3.23,16.36,29.60,-166.14,-39.12
740,0.31,3.44,18.97,39.86,-123.17,-36.68
750,-0.03,3.70,19.20,44.92,-103.64,-30.82
760,0.28,3.76,19.07,50.48,-85.27,-22.89
770,0.88,3.86,18.48,53.77,-72.20,-15.69
780,1.33,3.84,17.62,56.03,-59.63,-11.29
790,1.56,3.86,16.70,47.12,-33.75,-6.59
800,1.84,3.97,14.76,36.93,-23.32,-4.82
810,1.99,4.23,13.93,25.15,-14.34,-3.30
820,2.07,4.54,13.08,13.12,-7.08,-2.38
830,2.07,4.81,12.41,3.42,-1.34,-1.95
840,2.10,5.05,11.81,-3.66,2.50,-2.81
850,1.96,5.35,10.56,-9.28,7.14,-3.48
860,1.84,5.36,10.05,-9.22,9.09,-4.03
870,1.72,5.29,9.66,-7.63,10.07,-4.82
880,1.54,5.16,9.27,-5.80,9.95,-5.62
890,1.35,5.03,8.91,-4.39,9.58,-5.74
900,1.17,4.74,8.44,-3.05,8.42,-4.39
910,0.98,4.64,8.23,-3.60,7.32,-3.54
920,0.82,4.64,8.15,-5.37,6.29,-2.32
930,0.84,4.64,8.17,-7.20,5.68,-0.24
940,0.87,4.71,8.19,-7.93,5.25,1.65
950,0.86,4.80,8.20,-6.10,4.52,3.97
960,0.89,4.90,8.15,-4.33,4.70,4.76
970,0.86,5.00,8.13,-1.95,4.88,5.31
980,0.85,5.16,8.13,-0.06,4.15,5.92
990,0.88,5.28,8.03,2.44,3.60,6.10
