timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.39,-3.35,2.69,-41.99,93.51,22.95
10,3.00,-2.76,1.85,-45.17,85.27,15.81
20,3.01,-2.85,2.16,-43.76,73.18,8.00
30,3.07,-2.68,2.77,-32.78,39.98,-14.83
40,2.43,-2.74,2.71,-17.58,29.24,-21.97
50,2.41,-3.06,2.26,-2.56,19.35,-25.94
60,2.22,-3.27,1.43,8.30,8.54,-28.26
70,2.21,-3.60,0.85,12.82,-0.37,-29.85
80,2.35,-3.77,0.51,9.22,-13.98,-35.28
90,2.08,-3.81,0.38,7.69,-19.84,-39.55
100,1.96,-3.90,0.41,8.48,-25.76,-43.52
110,1.79,-4.30,0.21,9.95,-34.18,-46.88
120,1.47,-4.60,0.07,8.54,-44.43,-49.19
130,1.32,-4.92,0.36,5.00,-55.18,-51.03
140,0.43,-5.60,1.35,0.24,-79.47,-52.12
150,0.05,-5.93,1.88,0.61,-90.52,-51.51
160,-0.27,-6.35,2.45,3.05,-101.07,-50.17
170,0.65,-6.59,2.39,7.32,-112.98,-49.32
180,-2.80,-7.50,2.87,9.46,-135.50,-50.84
190,-2.43,-8.46,4.53,12.88,-142.52,-42.18
200,-2.35,-9.65,4.96,12.82,-152.34,-35.03
210,-2.42,-10.58,5.77,8.54,-158.57,-31.07
220,-2.87,-11.22,6.61,1.34,-159.42,-24.60
230,-3.37,-11.91,6.97,-8.79,-165.34,-15.44
240,-3.46,-12.46,7.99,-25.63,-153.99,12.51
250,-4.42,-8.95,10.22,-34.30,-159.12,31.62
260,-3.29,-12.24,13.22,-28.93,-168.46,63.29
270,-2.34,-11.09,12.72,-23.99,-184.33,81.24
280,-1.48,-10.87,13.89,-10.99,-178.71,95.34
290,-1.44,-9.85,14.53,-7.14,-169.07,117.86
300,-1.08,-8.86,14.95,-8.24,-159.30,127.08
310,-0.64,-7.97,16.24,-11.84,-144.71,131.29
320,-0.60,-7.80,16.83,-15.01,-138.79,133.24
330,-1.53,-6.64,16.58,-16.72,-135.56,134.95
340,-1.42,-5.64,16.88,-14.47,-123.11,133.30
350,-1.35,-5.58,16.46,-2.87,-98.51,129.88
360,-1.43,-5.44,15.41,-2.38,-92.41,122.38
370,-2.08,-5.49,15.06,-7.39,-73.79,122.99
380,-2.12,-4.89,15.35,-18.80,-54.32,126.59
390,-1.92,-4.12,15.60,-26.73,-38.21,130.49
400,-1.80,-2.88,15.20,-24.84,-16.05,135.74
410,-1.58,-2.27,15.18,-20.32,-6.04,136.05
420,-1.18,-1.63,15.20,-15.44,1.04,135.31
430,-0.42,-1.18,15.66,-9.40,5.68,133.61
440,-0.00,-0.60,15.29,-1.95,10.99,128.66
450,0.32,-0.32,15.40,9.83,14.47,115.84
460,0.35,-0.45,14.08,22.22,21.18,107.85
470,0.63,-0.74,13.95,28.20,32.41,98.82
480,0.56,-0.88,13.81,28.14,38.02,90.82
490,0.35,-1.07,13.21,27.34,38.51,84.41
500,1.10,-1.62,12.95,29.60,49.56,72.45
510,0.65,-0.93,12.70,19.29,68.73,71.35
520,0.91,-0.56,12.12,15.63,67.20,68.12
530,0.66,-0.55,9.90,17.88,68.05,62.62
540,1.64,-1.18,9.77,21.97,92.53,55.54
550,2.37,-1.02,9.63,14.40,123.17,48.52
560,2.23,0.40,9.89,-3.17,133.73,22.64
570,1.84,1.00,9.78,-7.02,119.87,11.90
580,1.71,1.01,9.33,-4.09,105.71,4.82
590,1.84,0.73,9.09,4.21,99.85,0.12
600,1.92,0.65,8.88,10.86,97.35,-2.99
610,1.97,0.73,8.06,19.29,86.98,-5.13
620,1.98,0.96,7.72,22.83,82.58,-6.84
630,2.08,0.91,7.11,25.51,83.37,-10.38
640,2.26,0.89,6.60,23.93,89.84,-16.24
650,2.36,0.99,6.36,17.70,99.18,-23.93
660,2.37,1.14,6.45,2.50,110.66,-41.26
670,2.01,1.42,6.42,0.85,112.12,-48.95
680,1.94,1.41,6.29,3.48,113.10,-55.36
690,1.90,1.43,6.08,8.12,112.30,-60.97
700,1.84,1.32,5.77,13.43,110.78,-66.35
