timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.38,3.48,2.84,-153.63,21.36,-16.36
10,2.63,3.74,2.71,-157.41,12.94,-8.61
20,2.57,3.94,3.46,-152.16,9.03,2.32
30,2.36,4.01,3.34,-127.87,1.40,6.23
40,2.47,3.64,2.53,-112.98,0.98,9.77
50,2.50,3.33,1.44,-106.81,0.06,11.54
60,2.42,3.26,0.83,-112.43,-1.59,12.21
70,2.22,3.27,0.85,-124.51,-5.37,13.37
80,1.67,3.14,2.46,-136.05,-20.14,20.14
90,1.07,3.05,3.48,-127.50,-26.06,27.65
100,0.59,2.99,4.48,-112.18,-30.27,38.57
110,0.10,3.06,5.27,-92.90,-33.08,52.49
120,-0.10,3.19,5.94,-73.24,-32.96,68.30
130,-0.51,2.92,7.66,-50.54,-30.40,100.34
140,-1.15,5.01,8.12,-35.40,-20.94,113.28
150,-0.92,5.88,9.08,-22.16,-14.83,123.47
160,-0.98,7.11,10.18,-14.71,-9.22,130.68
170,-0.95,8.51,11.68,-6.77,-0.67,131.77
180,-0.88,9.74,12.90,1.46,27.40,123.05
190,-0.93,10.79,13.95,28.14,43.52,114.99
200,-1.15,11.41,14.03,39.00,56.27,106.20
210,-1.53,11.95,13.83,45.72,70.13,99.67
220,-2.08,12.79,13.38,50.17,87.22,95.09
230,-1.89,13.11,12.70,57.68,108.95,90.64
240,-1.42,15.12,11.13,74.22,142.70,85.75
250,-0.95,15.55,10.10,90.52,158.20,82.82
260,-0.57,15.78,8.78,106.32,171.51,75.99
270,-0.23,15.65,7.46,117.43,179.57,65.67
280,-0.37,15.36,6.53,120.79,178.77,53.47
290,-0.95,16.60,4.77,110.23,168.09,39.31
300,-0.57,17.32,3.81,107.36,168.76,36.19
310,-0.14,17.90,3.04,101.62,168.15,31.56
320,0.07,18.50,2.88,97.53,163.09,22.40
330,0.10,18.87,2.99,98.88,154.24,9.95
340,0.02,19.19,3.35,121.34,138.61,-14.34
350,0.49,19.12,3.90,139.89,136.05,-26.18
360,0.88,19.14,4.44,161.44,134.89,-41.63
370,0.97,18.79,4.37,189.09,133.97,-61.89
380,0.85,17.91,4.00,219.73,133.48,-83.80
390,0.68,16.72,3.34,245.30,131.29,-118.65
400,0.44,13.44,1.72,274.48,118.47,-128.11
410,0.38,11.56,1.45,270.08,106.81,-132.20
420,0.28,10.15,1.85,257.57,97.23,-133.42
430,0.20,9.35,2.51,246.03,91.31,-132.39
440,0.36,8.50,2.90,239.50,86.30,-129.33
450,0.66,6.99,3.00,232.30,76.35,-126.95
460,0.71,6.01,2.66,221.98,72.27,-128.91
470,0.44,5.05,1.59,203.31,71.66,-131.16
480,0.06,4.10,0.43,174.19,71.96,-130.80
490,0.41,3.25,0.35,135.93,66.77,-127.99
500,0.71,2.81,0.93,52.80,38.94,-123.78
510,1.35,2.37,1.92,21.67,36.44,-124.69
520,0.37,2.28,1.42,-1.40,35.77,-125.06
530,0.82,1.75,1.58,-22.40,34.06,-120.42
540,1.54,1.25,2.22,-37.05,33.94,-116.33
550,1.22,1.24,2.29,-62.19,15.44,-102.36
560,1.05,1.15,2.91,-41.69,7.02,-88.62
570,1.17,1.65,3.14,-36.93,-8.30,-75.01
580,1.58,1.58,3.13,-26.92,-27.10,-64.27
590,2.01,1.62,3.20,-12.51,-40.04,-59.63
600,2.10,1.46,3.01,-1.71,-50.29,-58.11
610,2.30,1.16,3.32,6.10,-61.46,-58.59
620,2.24,1.19,3.42,3.30,-68.12,-60.00
630,2.15,1.24,3.58,-2.08,-73.61,-61.89
640,2.21,1.26,3.95,-10.86,-77.27,-63.23
650,2.31,1.30,4.42,-21.97,-81.05,-65.12
660,2.42,1.40,5.26,-42.11,-84.23,-72.51
670,2.64,1.21,5.28,-47.97,-84.35,-76.84
680,3.01,1.17,5.62,-51.51,-85.51,-81.36
690,3.30,0.96,6.18,-50.60,-89.36,-85.45
700,3.27,0.77,6.74,-40.28,-95.46,-90.03
710,2.97,0.24,6.98,-6.29,-113.53,-93.81
720,2.51,-1.08,8.30,6.59,-124.27,-93.44
730,2.34,-1.58,8.86,14.34,-132.63,-91.25
740,2.31,-1.96,9.60,17.40,-134.77,-86.73
750,2.35,-2.10,10.61,18.62,-131.23,-81.54
760,2.20,-2.09,11.79,22.09,-127.20,-78.19
770,1.73,-2.20,14.30,43.95,-125.92,-78.74
780,1.32,-2.08,15.39,62.32,-122.62,-81.18
790,0.24,-3.04,14.86,82.34,-123.05,-78.06
800,0.66,-3.75,14.82,101.20,-115.05,-74.22
810,0.82,-4.71,14.84,106.45,-96.50,-70.68
820,0.19,-5.08,14.84,83.07,-75.32,-61.83
830,0.19,-5.06,14.98,64.33,-67.75,-54.20
840,0.10,-5.10,15.18,45.23,-59.27,-45.84
850,0.18,-4.98,15.37,27.65,-46.69,-39.49
860,0.39,-4.79,15.29,12.63,-31.80,-34.48
870,0.61,-4.38,14.28,-6.77,-4.88,-25.63
880,1.03,-3.93,13.76,-11.23,4.27,-21.85
890,1.24,-3.75,13.02,-14.47,9.16,-18.43
900,1.35,-3.58,12.33,-16.91,11.23,-15.14
910,1.44,-3.43,11.77,-18.31,12.94,-11.35
920,1.54,-3.14,11.43,-20.14,15.14,-4.33
930,1.58,-2.51,10.84,-19.41,15.26,-1.28
940,1.54,-2.35,10.52,-17.82,15.26,1.34
950,1.55,-2.23,10.16,-17.15,15.32,3.36
960,1.55,-2.09,9.91,-17.40,15.38,5.31
970,1.46,-1.94,9.72,-18.31,14.95,8.54
980,1.34,-1.38,9.51,-20.14,13.98,10.44
990,1.30,-1.11,9.45,-20.02,12.70,12.33
