timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.54,-1.28,8.44,43.15,27.04,-17.27
10,4.65,-1.91,8.18,57.13,34.00,-23.68
20,6.25,-1.58,8.58,60.42,37.78,-33.20
30,5.63,-0.87,8.62,61.58,35.10,-45.90
40,5.23,-2.12,8.93,54.44,36.74,-48.16
50,5.02,-2.33,8.68,47.55,36.07,-50.96
60,5.00,-2.68,8.42,40.65,34.61,-50.48
70,4.95,-3.08,8.10,34.91,32.71,-47.36
80,4.82,-3.35,7.64,30.88,30.58,-43.52
90,4.76,-3.62,6.87,28.32,25.94,-35.28
100,4.55,-3.77,6.23,29.60,21.48,-31.92
110,4.50,-3.85,5.54,30.21,16.24,-29.91
120,4.51,-3.86,4.82,28.20,11.35,-28.87
130,4.42,-3.68,3.96,22.71,5.31,-29.24
140,4.31,-3.61,2.19,0.98,-10.80,-33.94
150,3.81,-3.79,1.28,-13.00,-21.48,-37.35
160,3.31,-3.94,0.28,-27.34,-34.67,-41.63
170,5.97,-2.71,-1.25,-38.02,-51.09,-47.12
180,1.50,-5.11,-1.32,-33.94,-74.77,-51.21
190,2.18,-4.89,-0.87,-50.66,-96.13,-61.58
200,2.03,-4.34,-1.99,-33.14,-116.52,-64.09
210,1.15,-4.75,-1.62,-12.63,-129.82,-62.19
220,0.31,-5.36,-1.01,8.91,-140.38,-61.95
230,-0.62,-5.71,-0.20,25.51,-153.20,-64.45
240,-1.08,-5.71,0.91,36.56,-185.42,-67.50
250,-1.49,-5.62,2.88,54.87,-200.50,-66.77
260,-2.54,-6.42,3.96,53.22,-207.70,-62.62
270,-3.63,-7.18,4.86,43.27,-213.56,-57.25
280,-4.26,-7.89,5.47,33.94,-219.73,-54.99
290,-4.57,-8.80,5.70,31.25,-224.24,-55.24
300,-3.69,-11.54,6.78,40.53,-220.95,-52.98
310,-1.96,-13.35,9.98,50.78,-218.44,-43.88
320,-3.03,-14.49,8.71,67.14,-229.13,-24.54
330,-1.98,-15.37,10.36,77.82,-231.08,6.35
340,-2.03,-16.00,11.94,88.50,-226.99,43.76
350,-3.45,-16.36,12.79,113.71,-225.04,132.39
360,-5.83,-16.86,15.43,120.79,-215.94,175.66
370,-6.99,-16.12,17.40,124.51,-205.14,210.08
380,-8.07,-14.89,19.35,122.86,-194.40,233.76
390,-8.94,-13.24,21.40,116.21,-181.40,246.09
400,-9.40,-11.24,23.36,89.72,-144.35,238.46
410,-8.38,-8.05,26.44,42.85,-124.51,224.30
420,-7.97,-6.59,26.38,-17.03,-100.89,209.47
430,-7.76,-5.25,25.44,-87.89,-69.76,194.27
440,-7.70,-4.26,24.23,-150.76,-32.10,178.04
450,-7.60,-3.44,22.85,-191.77,3.97,128.30
460,-7.36,-2.20,19.52,-217.10,59.14,120.18
470,-6.68,-1.54,17.87,-213.87,80.08,104.68
480,-5.79,-1.03,15.96,-200.62,98.33,92.65
490,-4.88,-0.55,14.11,-177.80,115.30,84.84
500,-4.13,0.24,12.52,-144.53,129.03,80.57
510,-3.49,1.12,10.53,-56.21,146.42,81.42
520,-2.34,1.20,10.13,-17.70,153.26,84.78
530,-2.29,1.70,9.38,9.34,158.45,88.38
540,-1.30,1.99,9.59,24.11,167.54,90.15
550,-0.37,1.73,10.37,29.72,175.23,92.04
560,-0.89,1.58,9.29,23.99,164.12,85.82
570,-0.47,2.38,7.18,9.22,169.74,77.21
580,-0.12,2.54,6.53,-2.69,173.89,65.98
590,0.17,2.64,5.23,-14.53,174.44,52.06
600,0.64,2.79,4.33,-28.38,178.10,36.62
610,0.91,2.89,3.60,-39.61,179.87,6.84
620,1.62,2.99,2.18,-54.75,166.26,-5.92
630,1.79,3.20,1.28,-61.71,154.36,-17.94
640,1.95,3.48,0.59,-67.57,141.72,-29.72
650,2.22,3.94,0.06,-69.03,128.17,-41.38
660,2.37,4.34,-0.38,-63.17,113.65,-52.73
670,2.29,4.13,-1.54,-36.19,90.15,-74.34
680,2.09,3.68,-2.05,-16.30,81.42,-86.85
690,1.80,2.73,-2.62,8.73,73.43,-103.03
700,1.38,1.48,-3.17,34.73,64.94,-121.22
710,0.93,0.66,-3.31,57.62,55.11,-139.40
720,0.96,-0.70,-3.00,85.75,23.01,-172.55
730,0.66,-3.67,-3.06,90.76,1.71,-194.95
740,0.60,-4.07,-2.46,91.06,-17.58,-221.68
750,1.29,-3.81,-1.00,88.01,-33.63,-244.14
760,1.32,-4.90,-0.84,92.59,-53.59,-253.72
770,2.02,-6.08,0.35,81.18,-67.32,-235.84
780,2.84,-9.66,3.41,60.79,-69.27,-212.04
790,2.23,-10.58,4.57,29.48,-68.18,-184.51
800,1.47,-11.17,5.43,-4.94,-64.45,-156.98
810,1.16,-11.85,6.14,-32.17,-62.19,-130.86
820,1.03,-12.56,6.76,-48.52,-62.13,-93.26
830,1.90,-13.13,8.63,-50.29,-62.68,-83.56
840,2.60,-13.09,9.80,-30.46,-61.16,-77.76
850,3.20,-13.08,11.09,-7.02,-56.09,-70.25
860,3.93,-13.05,12.53,10.99,-46.14,-58.59
870,3.98,-13.15,13.27,16.05,-33.51,-42.79
880,3.01,-12.58,14.02,-24.66,-15.32,0.12
890,0.70,-9.92,13.65,-46.94,-12.33,14.47
900,0.20,-9.87,12.65,-43.03,-15.81,20.51
910,-0.06,-10.64,11.87,-36.80,-23.44,25.09
920,-0.42,-11.11,11.60,-40.41,-31.43,26.67
930,-0.78,-11.19,11.09,-58.59,-38.39,20.39
940,-1.47,-10.58,9.15,-60.12,-32.17,9.83
950,-1.36,-10.20,8.16,-56.46,-21.55,-2.32
960,-0.76,-9.67,7.52,-52.43,-9.22,-15.01
970,0.10,-8.49,7.39,-50.78,3.17,-26.25
980,0.91,-7.17,7.48,-52.12,24.41,-32.71
990,1.91,-5.55,7.41,-44.07,28.32,-28.99
