timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.67,-3.65,8.65,-44.01,65.43,13.67
10,2.61,-3.42,7.91,-60.73,78.61,10.62
20,2.73,-3.20,8.39,-86.24,114.69,6.90
30,3.64,-2.63,6.71,-98.27,122.74,1.71
40,3.80,-2.10,5.86,-104.98,125.79,-3.60
50,4.07,-1.67,5.06,-107.12,121.34,-11.11
60,4.11,-1.45,4.53,-106.38,111.27,-21.12
70,4.14,-1.44,4.09,-103.33,90.52,-39.37
80,3.80,-1.58,3.45,-95.58,82.21,-44.92
90,3.56,-1.64,3.33,-90.82,75.26,-49.13
100,3.13,-1.79,3.01,-83.56,66.65,-52.61
110,2.71,-1.84,2.86,-75.87,56.88,-54.02
120,2.23,-2.12,2.99,-65.19,45.10,-52.67
130,1.85,-2.84,3.31,-34.12,11.11,-40.77
140,1.79,-3.26,3.29,-16.91,-10.44,-34.18
150,1.46,-3.56,3.05,-2.38,-30.33,-26.67
160,1.29,-3.94,3.08,5.68,-46.02,-18.25
170,2.25,-2.86,1.63,8.67,-59.27,-11.05
180,0.81,-6.72,3.36,-6.16,-81.30,0.92
190,-0.95,-4.46,3.38,-27.95,-86.49,20.81
200,0.14,-4.28,5.12,-27.22,-94.73,38.15
210,0.70,-5.18,6.42,-17.88,-112.18,47.24
220,-0.40,-5.70,6.28,-11.72,-136.90,51.57
230,-1.39,-5.49,6.86,-8.12,-147.16,68.24
240,-2.26,-4.07,9.38,3.85,-143.25,84.59
250,-2.70,-3.93,10.82,25.94,-138.37,104.00
260,-3.11,-4.07,12.47,56.09,-129.33,125.12
270,-3.13,-4.57,13.67,92.77,-115.54,151.98
280,0.03,-6.05,13.31,128.23,-49.44,191.04
290,-1.38,-5.20,15.73,166.20,-24.78,193.97
300,-2.40,-4.57,13.19,188.05,-16.48,190.98
310,-0.32,-3.65,12.37,188.84,-8.54,201.66
320,4.87,-4.47,12.08,221.44,-23.93,202.58
330,5.91,-6.69,13.43,237.73,-130.49,180.60
340,-0.84,-6.14,14.03,178.28,-211.30,128.23
350,0.05,-5.22,16.59,162.72,-162.11,147.40
360,0.69,-5.34,17.43,168.09,-150.76,167.72
370,1.16,-4.78,17.15,175.96,-148.07,176.39
380,1.79,-4.69,16.21,182.07,-135.86,176.51
390,2.29,-4.56,13.98,165.83,-110.90,160.40
400,1.81,-4.57,13.58,138.37,-96.74,152.59
410,1.90,-4.27,13.87,98.39,-80.81,146.48
420,1.74,-3.65,14.32,59.08,-64.64,141.97
430,1.93,-3.08,15.26,29.54,-47.61,140.81
440,2.21,-2.54,16.35,20.39,-29.05,137.88
450,2.23,-0.95,15.75,31.68,-25.88,135.13
460,2.58,-0.47,14.95,40.10,-18.74,133.67
470,3.16,-0.08,14.56,44.62,-8.67,130.74
480,3.53,-0.14,14.21,47.61,2.32,125.06
490,3.57,-0.47,13.46,48.89,13.12,99.98
500,2.73,-0.58,12.67,38.39,29.54,102.23
510,2.95,-0.46,11.54,32.47,39.67,100.65
520,3.18,-0.30,11.37,19.10,49.07,98.14
530,3.24,-0.22,12.24,10.19,59.14,92.96
540,3.11,-0.16,12.39,15.93,66.47,86.00
