timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.92,-2.15,7.78,-51.88,81.91,23.44
10,3.10,-2.08,5.60,-44.49,101.07,30.70
20,3.96,-2.17,4.47,-38.51,104.80,31.31
30,3.57,-1.06,3.27,-37.29,92.65,21.00
40,3.78,-0.67,2.55,-32.04,75.50,4.82
50,3.90,-0.78,2.38,-27.89,51.76,-11.96
60,3.69,-2.49,2.40,-26.31,12.88,-42.60
70,2.49,-3.40,2.62,-32.78,5.92,-49.99
80,2.09,-4.29,2.94,-41.93,4.33,-50.96
90,1.27,-4.70,3.31,-50.42,4.46,-47.79
100,0.68,-4.92,4.11,-53.16,3.78,-42.18
110,0.28,-5.32,5.17,-33.26,-16.85,-31.19
120,-0.68,-6.43,6.21,-18.49,-30.94,-22.46
130,-1.01,-6.87,6.64,-7.32,-41.63,-9.46
140,-1.45,-8.00,7.01,2.44,-51.70,3.78
150,-1.03,-7.49,7.47,3.36,-64.33,12.15
160,-0.66,-10.39,7.07,-3.48,-83.44,49.93
170,-2.63,-7.22,7.82,-25.39,-91.49,74.71
180,-1.42,-6.90,10.02,-12.39,-95.76,89.78
190,-1.52,-7.54,10.06,9.16,-113.89,96.62
200,-1.80,-7.98,10.05,26.18,-127.75,101.26
210,-1.90,-7.83,10.92,34.00,-128.60,108.34
220,-1.55,-6.15,12.57,60.42,-114.81,126.46
230,-1.26,-5.48,12.83,78.43,-109.62,135.86
240,-1.08,-5.23,12.38,90.39,-106.63,145.26
250,-0.51,-5.27,11.95,92.71,-100.52,152.10
260,0.11,-5.14,11.91,83.68,-90.58,155.27
270,0.48,-4.70,13.22,44.37,-73.61,158.08
280,0.64,-2.49,16.25,27.34,-70.19,164.49
290,0.29,-0.53,15.40,17.64,-82.82,172.67
300,0.92,-0.03,16.35,23.25,-71.04,171.39
310,0.58,1.51,16.85,16.05,-58.23,172.24
320,0.45,3.14,17.28,16.11,-29.11,171.20
