timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.73,-2.96,3.16,-145.57,101.87,-17.46
10,4.28,-3.35,2.22,-168.52,78.55,-15.93
20,3.90,-2.18,2.38,-165.41,66.10,-16.42
30,4.61,-2.20,2.47,-159.91,58.90,-13.43
40,4.92,-1.95,2.40,-151.49,53.83,-14.59
50,5.02,-1.83,1.69,-141.11,49.56,-20.26
60,4.83,-2.13,0.37,-133.48,37.54,-34.67
70,4.49,-2.54,-0.93,-157.47,29.66,-38.33
80,4.44,-2.27,-0.43,-180.79,25.15,-40.28
90,4.27,-1.96,0.54,-201.66,22.46,-41.81
100,4.05,-1.82,1.61,-213.38,20.75,-42.54
110,3.47,-1.64,2.68,-210.57,17.64,-41.75
120,2.57,-1.69,4.01,-156.31,-11.05,-30.70
130,1.97,-2.07,4.44,-116.15,-35.10,-19.65
140,1.56,-2.42,4.54,-76.60,-56.64,-4.46
150,1.17,-2.28,3.86,-41.08,-72.02,14.47
160,0.90,-3.24,4.77,-8.85,-88.81,33.45
170,1.99,-3.00,4.32,27.22,-108.76,67.02
180,1.13,-3.07,4.59,45.65,-119.69,69.46
190,0.90,-3.73,4.78,52.98,-127.26,74.04
200,1.13,-4.70,4.97,51.64,-130.25,78.86
210,0.77,-4.82,5.68,43.76,-130.92,80.69
220,-0.68,-4.46,6.90,1.71,-144.10,91.55
230,-2.27,-3.30,9.25,-16.30,-150.76,107.79
240,-2.00,-2.39,11.06,-22.58,-152.22,125.79
250,-0.97,-2.50,11.61,-8.12,-149.29,139.71
260,-2.50,-2.08,11.76,14.89,-146.67,148.68
270,-2.58,-1.38,12.98,22.58,-137.51,170.17
280,-1.58,-0.73,16.22,51.76,-128.54,183.84
290,-1.79,-0.32,17.89,83.62,-129.88,193.12
300,-2.06,0.18,19.01,122.74,-133.00,201.72
310,-2.28,0.55,19.23,163.02,-136.96,212.28
320,-1.98,0.54,18.75,193.79,-138.37,223.33
330,-1.10,-0.48,15.37,186.22,-130.62,227.66
340,-0.11,-1.49,15.05,139.04,-116.27,213.56
350,0.17,-2.10,15.90,73.55,-92.53,190.00
360,-0.52,-1.99,17.32,14.04,-58.84,162.90
370,-1.79,-1.17,18.71,-22.34,-23.62,142.58
380,-2.45,-0.16,19.56,-28.56,20.02,144.04
390,-2.46,2.45,19.59,-8.12,23.62,159.48
400,-2.23,3.15,18.27,15.14,18.62,175.29
410,-1.19,3.51,16.89,34.30,18.98,187.50
420,-0.16,3.65,15.82,44.68,26.61,193.97
430,0.58,3.37,14.81,45.10,47.73,184.63
440,0.74,2.54,13.32,29.79,58.53,173.77
450,0.60,2.23,13.09,18.43,65.06,163.88
460,-0.03,2.08,12.65,7.02,66.47,157.71
470,-0.18,2.32,12.32,-0.37,70.07,155.94
480,-0.30,3.30,12.62,-5.31,75.56,156.80
490,-0.62,6.02,13.63,-7.75,76.11,170.78
500,0.29,6.82,13.39,-1.40,75.44,177.12
510,1.20,7.30,12.83,9.77,79.35,174.62
520,1.61,7.89,12.20,18.62,85.88,163.02
530,1.73,8.56,11.68,20.14,92.90,148.56
540,2.15,9.00,10.93,10.50,107.67,119.51
550,3.00,8.95,10.65,5.86,114.69,100.95
560,2.97,8.85,10.26,2.75,119.38,80.44
570,2.75,8.82,9.90,1.22,122.07,61.10
580,2.78,8.70,9.69,2.38,122.13,45.10
590,2.84,8.53,9.45,14.16,114.56,20.26
600,2.94,8.75,9.20,26.37,110.23,9.34
610,3.13,8.72,8.84,41.02,103.70,-0.06
620,3.01,8.42,8.06,54.14,95.28,-9.16
630,3.22,7.86,7.15,62.68,89.36,-20.39
640,3.21,7.44,6.46,64.33,86.61,-50.72
650,2.53,6.59,6.11,49.62,84.66,-66.77
660,2.04,6.29,6.30,40.22,85.69,-80.63
670,1.74,6.00,6.54,33.45,86.43,-91.43
680,1.51,5.66,6.50,31.31,86.12,-100.16
690,1.38,5.28,6.16,32.53,85.14,-108.95
700,1.11,4.55,5.62,29.24,80.44,-125.31
710,1.04,4.07,5.23,26.79,77.39,-132.32
720,0.95,3.51,4.90,24.05,74.95,-138.61
730,0.80,3.10,4.62,19.90,71.35,-144.90
740,0.59,2.68,4.22,14.83,65.31,-150.15
750,0.37,2.27,3.83,1.04,53.41,-154.60
760,0.31,1.49,4.06,-6.35,48.10,-153.56
770,0.25,1.33,4.05,-11.78,40.89,-151.37
780,0.24,1.15,3.92,-13.43,33.69,-147.64
790,0.35,0.99,3.81,-14.10,25.45,-142.58
800,0.49,0.70,3.68,-14.28,5.74,-132.75
810,0.67,0.13,3.79,-17.94,-4.09,-128.72
820,0.77,-0.01,3.83,-22.16,-12.08,-124.27
830,1.32,-0.64,4.09,-26.43,-15.81,-119.87
840,1.69,-0.52,4.48,-32.29,-17.94,-119.75
850,1.29,0.02,4.86,-38.88,-23.13,-118.53
860,1.77,-0.17,6.00,-48.52,-35.83,-116.46
870,1.90,-0.37,6.37,-48.46,-39.37,-118.10
880,1.87,-0.45,6.78,-48.46,-40.47,-120.91
890,1.85,-0.45,7.21,-49.44,-40.16,-122.74
900,1.84,-0.57,7.58,-49.44,-40.28,-124.57
910,1.83,-0.91,7.61,-44.68,-42.36,-128.48
920,1.75,-1.16,7.44,-42.97,-43.70,-128.36
930,1.87,-1.49,7.32,-43.64,-45.47,-127.26
940,2.07,-1.70,7.24,-46.57,-48.28,-126.95
950,1.98,-1.93,7.23,-51.33,-52.80,-126.89
960,1.75,-2.23,7.31,-62.56,-62.87,-124.76
970,1.33,-2.85,7.84,-66.83,-69.21,-121.83
980,1.14,-3.09,8.14,-69.21,-74.52,-116.76
990,1.06,-3.17,8.93,-70.37,-79.04,-110.35
