timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.27,-2.80,6.73,8.85,14.04,15.81
10,2.46,-1.80,6.25,8.42,15.26,1.22
20,2.78,-1.28,5.85,10.13,14.28,-2.26
30,2.77,-1.28,5.57,13.12,8.06,-7.32
40,2.94,-1.10,5.30,17.27,9.03,-13.73
50,2.89,-1.19,4.85,21.42,10.31,-22.16
60,2.69,-1.72,4.04,22.52,8.91,-31.07
70,2.05,-2.60,3.36,3.42,3.30,-38.33
80,2.36,-2.94,3.66,-10.80,-0.55,-37.23
90,1.74,-3.21,3.69,-22.46,-7.93,-35.34
100,1.61,-3.51,4.14,-30.33,-15.01,-33.39
110,1.58,-3.93,4.65,-34.00,-19.04,-30.52
120,1.49,-4.21,5.22,-25.57,-24.54,-24.78
130,0.51,-6.35,7.13,-14.53,-35.16,-20.94
140,0.88,-5.12,6.79,-6.90,-46.14,-16.78
150,0.19,-6.41,7.53,5.55,-59.02,-7.51
160,0.01,-7.76,7.35,21.97,-74.52,0.61
170,0.42,-10.41,6.67,30.64,-106.38,24.41
180,-2.75,-9.94,8.29,-2.44,-119.14,45.17
190,-2.60,-9.94,10.11,-15.44,-128.97,65.43
200,-2.51,-10.21,11.31,-12.39,-133.85,84.23
210,-2.89,-10.43,12.07,-2.20,-129.21,101.50
220,-3.37,-10.13,12.75,3.97,-120.73,121.09
230,-3.13,-9.29,14.27,16.30,-106.20,168.70
240,-2.59,-8.47,14.80,23.25,-99.73,190.55
250,-2.41,-7.27,14.78,29.72,-90.33,207.64
260,-2.18,-6.44,14.40,36.62,-80.38,218.99
270,-1.82,-5.70,14.18,37.48,-70.86,226.62
280,-1.75,-3.02,14.78,16.66,-57.62,237.85
290,-1.66,-1.18,15.48,2.81,-48.10,240.54
300,-1.71,0.60,16.61,-9.09,-35.34,241.58
310,-1.53,2.86,17.98,-20.81,-21.85,242.25
320,-1.01,5.31,19.28,-26.12,-1.04,239.69
330,-0.74,7.66,19.62,-1.59,51.94,217.59
340,1.16,9.78,18.95,22.89,89.11,200.32
350,1.41,10.35,16.90,36.13,110.53,178.96
