timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.33,-3.04,5.26,-23.99,-0.06,5.55
10,2.80,-2.46,4.52,-24.11,-5.55,16.05
20,3.28,-3.07,4.38,-17.03,-13.73,22.71
30,3.23,-2.43,4.07,-12.82,-18.25,17.21
40,3.08,-2.26,3.84,-6.16,-23.44,11.11
50,2.87,-2.69,3.35,-0.43,-31.74,5.43
60,2.31,-3.24,2.90,0.18,-41.02,0.43
70,1.86,-3.75,3.09,-7.32,-62.44,-1.28
80,1.52,-4.44,4.70,-29.85,-47.85,0.98
90,1.36,-4.57,6.21,-35.64,-45.29,1.95
100,0.56,-5.11,6.89,-32.47,-47.12,2.26
110,0.26,-5.91,7.77,-22.95,-53.22,5.55
120,-0.76,-6.23,8.47,-13.12,-64.39,12.27
130,-1.34,-8.64,10.23,12.21,-75.93,41.63
140,-0.72,-8.24,9.49,19.78,-80.51,59.69
150,-1.59,-7.78,10.20,28.56,-86.12,75.62
160,-1.88,-8.09,10.38,46.63,-91.98,88.99
170,-1.39,-9.60,10.45,57.43,-101.93,103.45
180,-3.56,-7.81,10.33,28.63,-157.90,169.19
190,-2.21,-4.41,15.14,27.59,-179.14,195.31
200,-1.46,-3.01,17.53,47.36,-180.85,204.41
210,-2.27,-2.38,17.31,82.21,-155.82,196.41
220,-3.11,-1.49,16.18,110.11,-120.85,190.86
230,-2.61,-1.14,15.46,126.22,-76.90,201.23
240,-0.38,-0.65,16.42,127.69,-73.85,200.01
250,-0.60,0.03,17.62,120.97,-66.04,194.82
260,-1.12,0.86,17.83,121.77,-46.94,191.16
270,-0.79,1.27,17.84,128.60,-24.66,189.64
280,-0.41,1.67,16.94,139.71,-4.88,172.36
290,-0.27,1.93,12.47,145.32,15.14,184.75
300,1.64,1.46,13.90,127.14,20.26,179.38
310,1.46,2.28,12.61,88.13,-5.00,172.49
320,2.13,2.94,14.60,55.05,-13.55,156.07
330,1.96,3.67,15.75,35.83,-0.43,134.95
340,1.64,4.74,15.82,36.99,57.43,95.46
350,2.36,4.86,15.09,43.52,78.98,80.44
360,2.60,4.80,13.99,50.72,95.83,66.10
370,2.84,4.77,12.81,57.31,111.82,51.15
380,3.30,4.15,11.88,64.70,120.18,35.95
390,3.28,4.04,11.15,56.64,114.56,10.01
400,3.17,4.19,9.84,49.93,112.92,-0.31
410,3.19,4.02,9.62,40.41,109.50,-10.31
420,2.99,3.65,9.20,31.13,105.10,-20.45
430,2.83,3.22,8.68,23.68,101.81,-29.17
440,2.88,2.77,8.33,18.49,92.59,-40.89
450,2.87,2.54,7.21,17.40,88.38,-45.41
460,2.92,2.45,6.58,16.42,87.59,-48.65
470,3.13,2.60,5.50,14.22,85.63,-52.25
480,3.17,2.77,4.59,9.03,81.30,-60.55
490,3.05,2.71,3.88,2.20,75.93,-70.68
500,3.38,2.68,3.69,-21.85,56.21,-83.74
510,3.26,2.39,3.47,-31.62,46.45,-95.09
520,2.66,1.82,3.44,-39.43,39.98,-108.70
530,2.58,1.50,3.83,-48.34,32.41,-120.91
540,1.98,2.27,3.97,-57.68,21.42,-129.03
550,1.36,2.18,4.37,-55.18,4.94,-130.31
560,0.95,1.85,4.60,-46.26,-1.46,-129.82
570,1.08,1.69,4.90,-29.60,-0.12,-129.76
580,1.17,1.26,5.07,-13.55,4.64,-129.58
590,1.16,0.61,5.01,-4.33,6.65,-128.54
600,1.05,0.25,4.80,-9.95,-1.10,-123.47
610,1.19,-0.18,5.04,-22.09,-8.73,-119.93
620,1.08,0.18,5.37,-32.10,-15.50,-118.59
630,0.70,0.54,5.28,-36.13,-19.47,-117.43
640,0.61,0.35,5.18,-34.85,-21.24,-115.30
650,1.02,-0.85,5.11,-31.31,-24.29,-110.41
660,1.93,-2.41,5.38,-42.24,-53.47,-108.58
670,1.52,-3.04,5.38,-53.71,-75.01,-117.74
680,0.92,-3.18,6.70,-59.33,-86.67,-130.62
690,0.27,-4.08,8.10,-57.74,-94.60,-137.45
700,-0.28,-5.47,9.67,-50.90,-106.02,-139.77
710,-0.87,-8.18,12.54,-17.15,-124.57,-141.42
720,-2.58,-9.82,13.50,9.64,-127.93,-137.76
730,-3.47,-11.50,13.58,34.36,-128.23,-129.58
740,-4.37,-13.00,13.25,47.55,-122.68,-113.89
750,-4.80,-14.16,13.13,43.09,-109.19,-90.03
760,-4.62,-14.36,13.51,1.04,-68.36,-39.18
770,-3.12,-12.15,14.89,-14.47,-44.43,-22.71
780,-2.49,-10.90,14.81,-20.39,-22.77,-13.92
790,-1.96,-10.16,14.40,-20.39,-6.10,-11.17
800,-1.54,-9.81,13.87,-18.55,4.33,-13.00
810,-1.39,-9.54,13.15,-17.03,16.66,-16.72
820,-1.18,-9.01,11.73,-19.10,20.75,-12.57
830,-0.84,-8.38,11.59,-22.95,22.28,-5.62
840,-0.69,-7.51,11.30,-23.56,22.16,2.32
850,-0.44,-6.75,10.85,-19.17,21.97,11.90
860,-0.17,-6.00,10.22,-13.92,21.42,21.73
870,0.28,-4.50,9.04,-9.52,20.87,35.89
880,0.63,-3.79,8.83,-11.47,19.90,38.76
890,0.90,-3.13,8.63,-13.67,18.43,37.54
900,1.08,-2.71,8.53,-14.77,17.58,32.10
910,1.05,-2.57,8.38,-14.16,16.30,24.17
920,0.81,-2.63,8.18,-13.24,13.92,9.40
930,0.42,-2.82,8.42,-13.79,12.45,5.74
940,0.21,-2.74,8.58,-11.60,10.93,4.27
950,0.12,-2.78,8.64,-6.77,9.03,4.82
960,0.09,-2.83,8.61,-1.40,6.53,6.29
970,0.14,-2.82,8.57,4.33,1.34,10.01
