timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.83,-2.08,7.67,-183.96,117.80,84.35
10,4.19,0.83,7.02,-195.74,122.50,87.04
20,5.38,0.10,7.25,-194.52,123.90,89.42
30,6.58,0.87,6.87,-188.66,113.16,86.55
40,7.07,1.41,6.68,-151.73,78.43,45.23
50,6.28,1.30,6.16,-123.66,66.71,19.59
60,5.53,0.82,5.17,-99.12,59.33,-0.24
70,5.19,0.70,4.82,-81.97,55.66,-12.88
80,4.91,0.61,4.05,-67.99,51.45,-22.83
90,4.70,0.41,3.37,-43.76,40.71,-38.15
100,4.29,-0.14,2.37,-38.51,30.15,-43.95
110,4.12,-0.24,2.49,-35.83,19.96,-48.58
120,4.04,-0.39,2.71,-31.31,12.27,-51.51
130,3.84,-0.73,2.72,-23.32,5.00,-53.77
140,3.64,-1.00,2.82,-13.98,-2.20,-54.63
150,3.02,-1.30,2.68,10.86,-14.89,-52.73
160,2.35,-3.17,3.69,21.36,-26.73,-51.03
170,1.32,-1.57,1.98,22.77,-35.58,-49.56
180,1.68,-2.05,2.88,28.20,-34.48,-41.63
190,1.91,-2.93,2.72,29.60,-39.55,-33.51
200,0.07,-2.89,2.89,20.32,-57.98,-19.78
210,2.22,-3.50,4.19,9.89,-68.12,-6.41
220,1.92,-3.06,5.38,1.71,-85.69,3.85
230,1.27,-2.66,6.24,2.38,-95.64,2.62
240,0.48,-3.36,5.83,10.13,-96.25,1.40
250,0.40,-4.05,5.39,-2.20,-85.02,10.68
260,0.77,-4.35,6.45,-14.47,-84.59,15.87
270,0.61,-4.63,7.04,-17.09,-86.49,19.65
280,0.40,-5.09,7.38,-11.66,-88.62,23.38
290,0.06,-5.51,7.43,-4.76,-91.00,29.30
300,-0.17,-5.75,7.51,0.00,-97.90,50.05
310,-0.04,-5.66,8.35,4.94,-104.43,59.27
320,-0.17,-5.59,8.54,10.50,-111.02,66.71
330,-0.50,-5.51,8.72,16.36,-115.48,73.24
340,-0.64,-5.31,9.20,20.14,-119.81,80.38
350,-0.66,-4.96,9.98,21.97,-125.92,104.74
360,-0.64,-3.10,12.88,20.63,-137.70,110.96
370,-0.32,-2.04,14.59,27.04,-135.50,119.14
380,-0.28,-1.58,15.25,41.38,-129.94,123.23
390,-0.03,-1.80,15.18,57.92,-122.01,123.11
400,0.27,-2.29,15.15,71.17,-112.24,119.63
410,0.25,-2.15,17.20,75.38,-103.88,114.56
420,-0.29,-2.03,18.42,75.87,-94.73,117.43
430,-0.34,-1.62,18.91,77.70,-82.64,122.19
440,-0.72,-1.72,18.50,78.37,-72.45,128.72
450,-0.49,-1.95,17.92,75.68,-61.04,133.42
460,-0.54,-2.18,16.63,46.14,-34.12,139.53
470,-0.02,-1.03,16.69,17.82,-23.99,143.43
480,0.35,-0.06,17.41,-4.76,-10.13,148.07
490,0.69,1.40,17.83,-15.56,1.53,149.90
500,0.87,2.96,17.95,-16.54,15.32,150.21
510,0.97,4.18,17.37,-13.37,43.03,144.47
520,2.12,5.46,16.90,-4.39,50.96,138.92
530,2.28,6.04,16.45,1.71,58.59,130.86
540,2.40,6.38,15.84,8.06,64.33,121.70
550,2.41,6.52,15.10,13.18,70.68,112.12
560,2.49,6.72,14.55,17.76,79.22,102.78
570,2.87,6.48,13.40,23.50,91.00,79.71
580,2.76,6.30,12.62,24.48,95.89,66.65
590,2.61,6.15,11.91,25.21,102.72,54.63
600,2.41,5.96,11.20,26.61,109.37,44.80
610,2.15,5.72,10.24,29.24,113.59,36.93
620,2.21,5.47,8.09,27.95,113.95,24.90
630,2.48,5.06,7.39,22.52,111.45,17.76
640,2.49,4.92,7.06,12.94,106.45,10.68
650,2.10,4.81,5.99,1.46,96.98,2.87
660,2.39,4.69,6.09,-8.06,95.03,-6.90
670,2.21,4.91,6.31,-16.54,95.34,-17.40
680,2.63,5.00,5.38,-16.78,91.37,-22.83
690,2.80,5.02,4.78,-19.29,85.82,-29.60
700,2.91,5.16,4.53,-24.29,79.65,-37.60
710,3.08,5.23,4.52,-27.34,74.83,-46.57
720,3.04,5.30,4.35,-26.92,71.11,-65.06
730,2.85,4.68,3.18,-22.09,61.77,-72.88
740,2.99,4.26,2.97,-23.50,55.11,-80.57
750,2.89,3.93,2.94,-26.92,45.90,-88.99
760,2.60,3.73,3.05,-30.76,36.19,-96.44
770,2.39,3.53,3.30,-34.12,28.81,-101.87
780,2.33,2.80,3.62,-38.09,15.87,-108.03
790,2.10,2.42,3.77,-39.67,10.19,-110.72
800,1.86,2.13,3.98,-39.92,4.09,-112.98
810,1.66,1.77,4.10,-38.64,-2.38,-114.38
820,1.57,1.40,4.23,-36.56,-8.73,-114.69
830,1.52,1.00,4.44,-34.18,-24.96,-112.79
840,1.58,0.36,4.63,-33.26,-32.10,-110.84
850,1.79,0.03,4.58,-32.41,-37.35,-108.40
860,1.96,-0.16,4.66,-33.51,-42.18,-105.90
870,2.26,-0.36,4.91,-35.71,-46.63,-105.16
880,2.63,-0.64,5.27,-38.33,-55.24,-110.72
890,2.74,-1.55,6.15,-43.64,-61.28,-115.23
900,2.60,-1.97,6.85,-47.12,-66.71,-118.65
910,2.38,-2.60,7.74,-48.40,-71.17,-119.93
920,2.12,-3.32,8.70,-44.37,-76.60,-118.84
930,1.79,-3.97,9.54,-36.87,-83.74,-115.11
940,1.17,-5.17,11.12,-16.60,-97.90,-97.72
950,1.04,-5.65,12.08,-6.35,-102.91,-86.49
960,0.83,-6.00,12.90,4.70,-106.99,-75.68
970,0.78,-6.21,13.66,16.05,-107.85,-65.67
980,0.86,-6.43,14.22,25.94,-105.35,-56.46
990,0.97,-6.60,14.66,43.82,-90.27,-44.62
