timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.97,0.71,5.81,-116.76,136.23,-54.20
10,4.39,2.30,4.18,-121.34,137.88,-61.52
20,3.72,1.43,2.93,-108.52,130.92,-70.07
30,3.82,0.33,2.22,-105.10,112.79,-71.59
40,3.88,0.05,3.04,-92.16,77.76,-69.27
50,3.93,0.05,2.83,-74.95,66.28,-67.69
60,4.01,0.00,1.77,-54.38,56.15,-66.16
70,3.96,-0.44,0.10,-37.72,42.85,-66.10
80,3.38,-1.02,-1.38,-31.86,26.49,-66.71
90,2.73,-2.06,-1.69,-50.90,-2.93,-59.27
100,1.65,-2.07,-0.25,-61.22,-14.22,-51.21
110,1.16,-2.22,1.00,-61.04,-29.30,-44.07
120,0.36,-2.84,1.77,-50.29,-46.20,-38.27
130,-0.62,-3.85,2.56,-38.02,-62.07,-30.40
140,-1.61,-4.72,2.97,-22.52,-89.60,1.04
150,-2.90,-5.81,4.00,-16.11,-101.75,25.15
160,-2.83,-5.67,5.26,-6.96,-115.78,50.60
170,-2.25,-7.71,5.13,1.71,-132.69,79.22
180,-2.53,-8.43,5.29,5.43,-147.34,106.99
190,-2.19,-8.84,5.67,17.09,-156.43,132.26
200,-2.84,-10.11,7.34,5.86,-166.93,148.19
210,-3.57,-10.26,9.36,-10.38,-167.11,162.60
220,-3.86,-8.74,12.23,-18.62,-165.89,180.97
230,-4.09,-7.41,14.93,-6.35,-162.60,203.80
240,-4.94,-6.10,17.40,16.42,-159.73,229.74
250,-5.40,-1.51,20.94,49.56,-148.44,283.02
260,-5.59,1.25,22.42,60.12,-131.04,306.52
270,-4.90,4.81,24.44,61.65,-109.37,322.63
280,-3.19,7.57,25.95,62.19,-82.28,326.60
290,-1.54,10.53,27.13,67.50,-45.78,312.19
300,-1.33,13.40,25.49,69.03,34.00,259.95
310,0.61,15.46,23.81,68.54,78.31,224.61
320,1.54,16.20,21.82,59.02,118.53,179.99
330,2.14,17.19,19.99,39.92,152.71,134.16
340,3.01,17.95,18.18,20.20,180.54,90.21
350,3.70,18.71,16.62,4.03,201.78,17.09
360,4.53,17.40,13.79,8.67,198.91,-10.25
370,4.57,16.19,11.86,17.27,197.20,-39.31
380,3.89,15.75,10.07,24.78,200.62,-65.19
390,3.24,14.01,7.86,31.86,202.70,-80.63
400,3.16,12.50,4.84,36.44,199.28,-108.64
410,3.11,9.91,-0.27,21.18,176.15,-122.50
420,3.07,9.16,-1.50,-2.44,156.43,-134.58
430,2.82,8.57,-1.80,-32.17,135.50,-143.31
440,2.66,8.07,-1.34,-57.98,118.41,-150.15
450,2.50,7.96,-0.65,-72.63,104.13,-156.31
460,1.84,6.64,-0.66,-68.73,60.97,-161.32
470,0.12,5.88,-0.58,-60.24,35.34,-156.31
480,-0.64,5.48,-0.63,-54.93,7.32,-144.23
490,-0.65,5.10,-0.75,-50.84,-20.02,-127.93
500,-0.54,4.81,-0.60,-46.69,-49.38,-114.14
510,-0.47,4.53,0.00,-44.62,-111.02,-105.16
520,-0.43,3.74,1.49,-43.33,-130.00,-106.99
530,-0.63,3.20,1.93,-42.66,-136.90,-111.63
540,-0.55,2.45,2.69,-46.69,-138.98,-116.27
550,-0.42,1.86,3.76,-55.54,-143.31,-121.09
560,-0.05,1.22,4.77,-62.99,-155.21,-130.92
570,0.66,-0.83,7.48,-66.10,-160.28,-136.66
580,0.59,-2.02,9.14,-61.83,-161.99,-141.60
590,-0.06,-3.62,10.78,-54.14,-159.91,-143.25
600,-0.74,-5.15,12.71,-42.72,-153.32,-142.03
610,-1.44,-6.41,14.68,-27.59,-144.47,-138.24
620,-2.90,-8.10,17.09,9.40,-125.18,-116.94
630,-3.37,-8.90,17.41,27.47,-112.92,-99.85
640,-3.47,-9.38,17.58,39.12,-97.60,-81.05
650,-3.22,-9.71,17.59,43.70,-80.02,-61.28
660,-2.58,-9.44,17.28,42.72,-59.02,-43.52
670,-1.60,-8.49,15.34,36.80,-14.95,-13.92
680,0.69,-6.87,14.29,32.41,-1.89,-4.88
690,1.65,-5.94,13.28,25.70,5.68,0.18
700,2.45,-5.00,12.53,19.78,11.05,2.38
710,3.12,-4.17,11.86,16.05,14.40,2.14
720,3.42,-3.38,11.04,11.60,16.97,-2.20
730,3.72,-2.23,9.93,9.40,17.27,-4.70
740,3.63,-1.89,9.68,6.29,17.27,-7.20
750,3.33,-1.48,9.55,4.03,17.52,-9.77
760,3.00,-1.33,9.52,2.87,16.66,-10.86
770,2.86,-1.35,9.43,2.81,12.94,-9.77
780,2.46,-1.11,9.11,6.41,6.47,-7.14
790,2.38,-1.20,8.92,9.40,3.78,-4.03
800,2.27,-1.27,8.80,9.77,-0.61,-0.98
810,2.15,-1.15,8.95,8.67,-4.27,1.89
820,2.06,-0.93,9.33,8.06,-5.98,4.58
830,2.06,-0.48,9.90,13.31,-5.25,8.06
840,1.96,-0.26,10.04,18.80,-4.39,7.75
850,1.91,-0.23,10.11,26.31,-4.46,6.47
860,1.80,-0.18,10.11,33.75,-3.66,4.27
870,1.64,-0.35,9.99,41.20,-1.40,1.46
880,1.37,-0.52,9.81,47.18,3.97,-3.97
890,1.10,-0.57,9.52,47.06,7.32,-4.82
900,1.23,-0.62,9.37,47.61,11.17,-5.37
910,1.53,-0.45,9.60,50.66,17.40,-7.63
920,1.63,0.05,11.14,62.13,23.38,-14.53
930,2.13,0.02,11.89,91.67,0.37,-30.70
940,2.35,0.66,9.72,99.00,-9.09,-38.02
950,1.62,1.17,8.05,96.44,-12.51,-38.88
960,2.55,0.29,8.05,90.76,-3.97,-32.23
970,3.34,0.06,8.60,87.34,12.08,-26.86
980,3.72,-0.05,8.58,90.27,26.73,-25.70
990,3.61,-1.27,9.14,97.23,37.41,-27.89
