timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.00,-1.19,8.97,43.33,-8.85,16.48
10,3.39,-0.66,7.95,41.14,-0.67,14.89
20,3.87,-1.51,8.03,40.04,4.27,11.66
30,3.72,-1.42,8.01,31.92,3.91,4.46
40,3.38,-1.03,8.30,24.11,1.28,-7.32
50,3.76,-1.38,8.09,26.37,0.12,-12.63
60,3.30,-1.52,7.23,28.02,-1.53,-19.04
70,2.92,-1.99,6.40,24.41,-1.04,-23.25
80,2.66,-2.11,6.46,14.77,-1.46,-23.62
90,2.66,-1.89,7.12,10.25,-8.97,-17.09
100,2.52,-1.95,6.34,16.42,-16.11,-14.95
110,2.55,-2.12,5.82,18.25,-24.84,-14.53
120,2.46,-2.27,5.72,16.05,-31.86,-15.32
130,2.32,-2.37,5.68,13.55,-37.05,-16.48
140,2.13,-2.68,5.41,13.24,-47.79,-16.48
150,1.48,-2.92,4.63,13.43,-49.01,-13.37
160,1.86,-3.76,4.27,12.76,-51.45,-10.07
170,1.97,-4.41,3.87,10.56,-55.54,-9.77
180,2.36,-5.57,3.92,6.47,-59.63,-12.51
190,0.76,-4.97,2.98,3.23,-70.68,-8.61
200,0.57,-5.65,4.51,-3.60,-99.91,6.84
210,0.40,-5.79,4.70,-5.68,-116.94,6.29
220,-0.14,-6.25,4.72,-4.15,-128.17,4.94
230,-0.59,-7.07,4.89,-3.78,-132.26,4.64
240,-0.97,-7.29,5.50,-7.75,-136.17,5.74
250,-1.89,-7.37,8.06,-16.78,-150.02,14.89
260,-3.40,-7.30,9.82,-22.71,-158.45,24.41
270,-3.81,-6.95,11.38,-26.06,-164.37,37.78
280,-3.92,-6.63,12.61,-25.88,-162.84,51.51
290,-3.82,-6.20,13.34,-21.97,-155.27,62.38
300,-4.06,-6.25,13.28,-14.34,-129.64,77.94
310,-3.81,-6.24,14.79,-19.90,-121.52,85.63
320,-3.91,-6.09,16.26,-27.65,-121.64,92.22
330,-4.39,-5.67,17.53,-35.40,-122.50,99.00
340,-4.79,-5.18,18.80,-42.60,-114.20,107.85
350,-4.77,-4.79,19.61,-46.51,-96.86,127.81
360,-4.09,-4.40,18.68,-35.22,-45.72,138.61
370,-3.55,-4.29,17.74,-28.81,-28.69,147.40
380,-3.58,-4.07,17.03,-26.61,-22.34,152.65
390,-3.78,-3.61,16.99,-29.60,-19.96,155.33
400,-3.62,-2.76,17.64,-35.95,-12.15,156.19
410,-4.35,-0.66,17.30,-46.69,9.89,157.59
420,-4.14,0.20,16.79,-47.73,30.21,157.41
430,-3.64,1.05,16.01,-47.30,53.34,155.94
440,-3.16,1.71,15.35,-45.04,75.87,152.47
450,-2.84,2.41,14.85,-44.25,91.06,147.58
460,-2.39,3.21,14.78,-42.18,101.56,140.62
470,-2.95,4.29,13.47,-39.67,85.57,141.78
480,-1.79,4.26,14.08,-28.26,92.71,139.16
490,-1.54,5.14,13.43,-21.06,95.28,134.83
500,-1.37,5.35,12.61,-11.11,99.61,124.15
510,-1.10,5.68,11.80,-5.92,110.72,105.53
520,-0.12,5.30,10.25,-5.25,109.50,90.82
530,-0.25,5.16,10.30,-6.04,104.74,73.55
540,-0.68,5.64,10.19,-7.63,100.83,59.08
550,-0.78,5.72,10.05,-5.37,101.20,49.93
560,-0.63,5.91,9.81,-0.92,101.26,42.72
570,-0.62,6.04,8.66,2.44,101.01,27.22
580,-0.11,5.89,8.03,-0.43,102.36,18.86
590,0.20,5.99,7.98,-6.59,102.29,11.17
600,0.32,6.54,8.03,-12.21,102.54,2.08
610,0.53,6.86,7.81,-8.67,103.94,-6.71
620,0.93,6.95,7.47,6.23,103.33,-30.21
630,1.05,6.66,7.14,12.21,97.66,-43.58
640,0.81,6.36,6.85,17.94,91.67,-55.36
650,0.77,5.81,6.59,24.23,86.30,-65.06
660,0.83,5.27,6.24,29.48,81.91,-73.49
670,0.76,4.77,5.89,33.94,75.74,-87.34
680,0.68,3.94,5.27,34.48,71.35,-92.41
690,0.60,3.54,5.13,34.79,65.55,-96.13
700,0.52,3.23,5.04,34.42,59.81,-98.33
710,0.58,2.89,4.97,34.12,54.14,-98.33
720,0.63,2.56,4.88,33.45,32.35,-97.29
730,0.89,2.23,4.62,30.64,36.87,-96.68
740,1.07,2.05,4.47,30.03,31.86,-96.74
750,1.15,1.90,4.34,28.32,27.10,-97.78
760,1.29,1.70,4.35,24.54,23.07,-99.98
770,1.27,1.56,4.34,19.65,20.45,-103.27
780,1.29,1.03,4.64,11.05,18.86,-112.12
790,1.12,1.00,5.00,10.56,17.40,-116.52
800,0.88,0.80,5.01,14.95,11.72,-118.96
810,0.85,0.32,4.67,20.63,2.93,-119.51
820,0.99,-0.22,4.39,23.86,-4.21,-120.06
