timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.83,-1.72,10.65,53.04,42.66,36.74
10,6.87,-2.21,7.73,53.16,33.26,33.39
20,8.31,-4.54,5.89,34.91,14.47,26.43
30,6.72,-3.13,3.96,-33.63,16.05,-21.73
40,6.57,-1.97,8.46,-54.20,24.29,-42.85
50,6.02,-3.54,7.46,-52.61,19.59,-59.88
60,5.21,-4.35,6.82,-57.80,27.10,-67.69
70,4.71,-4.65,5.50,-69.09,37.17,-63.42
80,4.82,-4.17,4.29,-82.03,38.09,-37.78
90,5.87,-2.50,4.19,-88.26,19.23,-49.32
100,5.29,-2.81,3.09,-73.49,6.53,-57.86
110,4.63,-2.78,2.16,-59.88,-2.99,-62.38
120,3.92,-2.55,1.25,-50.78,-12.76,-61.52
130,3.24,-2.64,1.29,-41.93,-23.19,-59.14
140,2.07,-5.00,3.04,-20.63,-55.54,-59.81
150,-3.06,-4.14,4.23,-14.16,-82.28,-61.95
160,-2.41,-7.06,6.03,-10.99,-84.17,-53.22
170,0.29,-5.97,7.07,-6.04,-91.25,-28.63
180,0.57,-6.31,8.71,11.84,-110.17,-12.82
190,-1.22,-6.94,9.93,42.48,-160.03,-22.22
200,-4.32,-8.30,11.86,67.57,-161.19,-18.31
210,-3.81,-10.74,10.90,99.85,-146.79,-9.64
220,-3.01,-13.82,9.15,119.75,-128.30,-3.36
230,-3.33,-16.35,7.78,119.14,-112.49,-1.46
240,-4.03,-18.65,7.47,106.63,-111.08,16.24
250,-5.00,-20.71,8.99,74.89,-123.17,37.35
260,-5.26,-20.73,10.73,70.92,-134.40,63.96
270,-6.11,-19.47,12.61,71.72,-147.71,96.07
280,-7.00,-17.66,14.56,77.21,-159.18,136.29
290,-7.05,-15.74,16.13,87.40,-164.98,181.64
300,-5.89,-12.39,17.59,94.18,-161.50,259.03
310,-4.99,-10.08,18.66,77.21,-151.37,284.55
320,-4.45,-7.04,19.95,50.11,-131.90,301.03
330,-3.54,-3.70,21.93,28.08,-104.31,308.04
340,-2.32,-0.99,23.23,17.76,-78.74,307.25
350,-0.67,1.26,22.31,23.99,-57.13,294.25
360,0.49,3.87,22.28,29.60,-20.08,270.81
370,1.49,5.00,21.95,21.73,22.28,248.05
380,1.69,6.10,20.60,17.21,55.24,224.30
390,2.35,7.40,20.36,15.32,86.98,200.74
400,2.44,8.36,18.79,15.38,114.69,151.61
410,2.61,8.62,15.74,17.03,125.37,127.14
420,2.41,8.57,14.33,17.15,139.40,104.80
430,1.91,8.68,13.20,13.67,152.83,86.85
440,1.26,9.07,11.83,6.96,160.22,72.57
450,0.91,9.77,10.60,0.43,163.39,52.61
460,1.45,10.05,8.33,-8.85,151.55,39.79
470,1.44,10.01,6.64,-11.60,143.37,21.73
480,1.14,9.71,4.78,-17.09,141.17,0.79
490,1.32,9.22,3.75,-28.63,141.42,-20.51
500,1.23,8.76,2.82,-46.02,137.70,-42.30
510,0.60,8.33,1.88,-72.63,132.93,-87.10
520,-0.53,7.89,1.70,-78.67,134.52,-100.34
530,-0.93,7.43,0.88,-79.53,132.02,-105.04
540,-0.76,7.08,0.15,-80.87,117.07,-106.93
550,-0.68,6.64,-0.52,-81.60,92.83,-108.03
560,-0.51,6.28,-0.36,-72.20,37.11,-113.83
570,-0.93,5.67,-0.17,-63.17,12.02,-117.49
580,-1.11,5.47,-0.62,-58.23,-5.37,-119.81
590,-0.80,5.27,-0.62,-61.34,-17.64,-122.13
600,-0.45,5.26,-0.18,-71.96,-29.48,-126.40
610,-0.21,5.45,0.61,-100.52,-49.19,-143.80
620,-0.46,5.01,1.15,-100.28,-56.34,-157.23
630,-0.69,4.38,1.35,-110.11,-64.70,-170.23
640,-0.52,3.59,2.34,-125.61,-76.48,-182.13
650,-0.31,2.74,3.94,-141.17,-87.40,-193.73
660,-0.49,1.41,5.30,-147.09,-93.02,-206.42
670,-2.75,-2.12,7.61,-136.29,-98.21,-227.78
