timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.15,-1.60,4.26,10.25,-120.67,22.28
10,1.69,-1.33,2.57,10.19,-120.24,24.78
20,2.53,-2.61,0.49,7.20,-114.38,25.39
30,3.51,-3.09,-0.23,-8.00,-101.93,0.55
40,2.15,-2.41,3.13,-35.34,-100.59,-20.69
50,1.62,-3.04,3.61,-27.59,-108.58,-35.10
60,1.14,-4.24,3.17,-15.75,-119.45,-43.33
70,0.32,-5.42,2.96,-10.93,-128.85,-49.26
80,-0.35,-6.28,3.49,-17.76,-139.53,-48.71
90,-0.55,-7.38,6.78,-46.75,-153.14,-31.43
100,-0.74,-7.72,8.47,-53.22,-152.59,-23.38
110,-1.50,-7.93,9.61,-51.70,-148.80,-18.01
120,-1.93,-8.20,10.19,-44.31,-142.46,-12.57
130,-1.89,-9.18,10.54,-36.38,-137.63,-4.03
140,-2.09,-9.67,12.16,-29.05,-130.55,13.12
150,-2.35,-10.36,13.69,-26.43,-131.59,28.38
160,-2.67,-10.00,13.78,-26.61,-130.80,47.55
170,-2.02,-9.10,14.84,-24.05,-133.06,67.02
180,-1.76,-8.77,15.73,-16.60,-133.42,87.95
190,-1.30,-8.74,16.35,3.23,-138.06,128.23
200,-1.86,-7.67,17.75,9.16,-149.05,151.79
210,-1.53,-6.96,18.95,24.78,-152.65,169.74
220,-1.24,-6.93,19.27,51.82,-147.52,183.47
230,-1.36,-6.78,19.03,79.77,-139.16,192.63
240,-1.42,-6.43,18.53,94.42,-132.02,200.26
250,-1.43,-5.20,17.72,87.16,-94.30,197.33
260,-1.51,-4.46,17.34,80.02,-59.51,191.41
270,-1.27,-4.14,16.68,73.91,-25.33,183.72
280,-1.07,-3.96,15.68,64.21,0.73,178.28
290,-0.63,-3.53,14.85,52.19,18.86,174.99
300,0.57,-2.25,14.36,21.67,33.33,162.23
310,0.37,-1.50,14.66,8.79,35.34,147.89
320,0.02,-0.84,14.68,3.36,34.85,131.96
330,-0.16,-0.19,14.66,2.93,35.03,118.29
