timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1,-4.61,-6.13,15.75,100.34,-59.51,9.46
11,-4.16,-7.60,16.29,102.29,-53.89,15.75
21,-3.89,-7.86,17.34,95.28,-46.08,25.51
31,-4.69,-8.32,17.65,79.59,-33.87,37.72
41,-5.12,-8.28,17.73,55.97,-18.98,48.10
51,-5.22,-7.69,17.71,1.46,2.44,60.97
61,-5.87,-6.57,17.47,6.84,12.21,66.53
71,-6.09,-5.99,17.68,5.31,23.44,70.19
81,-6.32,-5.57,18.17,8.24,36.19,72.81
91,-6.46,-5.37,18.68,11.78,50.17,73.55
101,-6.28,-5.03,18.97,10.80,65.00,73.67
111,-6.05,-4.40,19.17,-0.98,88.07,75.20
121,-5.84,-4.11,18.76,-5.68,95.76,73.36
131,-5.92,-3.58,19.09,-9.40,105.10,69.70
141,-5.76,-3.44,18.60,-8.18,114.44,64.88
151,-5.97,-4.19,18.23,-1.40,120.91,58.41
161,-5.99,-4.36,18.27,3.54,150.33,41.32
171,-4.90,-4.60,17.38,9.70,155.58,35.52
181,-4.42,-4.81,17.14,10.25,165.59,36.19
191,-3.87,-4.85,16.60,7.87,174.50,38.02
201,-3.53,-4.69,15.84,6.04,183.35,40.04
211,-2.92,-4.52,14.92,3.54,197.63,52.67
221,-1.78,-3.12,13.02,4.70,200.26,60.61
231,-1.26,-2.33,12.11,9.89,200.01,66.22
241,-0.63,-1.34,11.41,17.33,198.61,69.09
251,-0.14,-0.43,10.91,26.67,196.47,69.27
261,0.24,0.11,10.35,38.70,193.79,60.06
271,1.34,0.48,10.29,62.19,187.13,52.86
281,1.61,0.22,10.34,72.08,180.48,45.41
291,1.96,0.04,10.54,76.60,175.17,39.61
301,2.13,0.06,10.79,72.33,169.86,37.78
311,1.71,0.30,10.88,60.67,164.92,38.76
321,0.81,1.30,10.21,31.92,157.47,39.67
331,0.32,1.75,9.59,21.42,156.19,36.80
341,-0.23,2.19,8.81,15.44,156.68,33.94
351,-0.91,2.72,7.99,11.47,158.26,32.04
361,-1.67,3.37,7.06,8.79,160.16,29.97
371,-2.44,3.96,4.77,11.54,164.37,21.12
381,-3.72,5.23,3.90,19.47,165.41,14.95
391,-4.31,5.87,3.44,29.48,163.45,7.26
401,-4.85,5.99,3.64,35.83,158.63,-1.65
411,-5.73,6.71,3.09,27.22,153.26,-12.33
421,-6.63,7.12,2.29,-25.70,148.80,-36.68
431,-8.26,7.95,-2.14,-47.30,147.52,-54.02
441,-8.21,8.27,-4.72,-56.58,146.36,-70.92
451,-7.89,8.47,-7.54,-51.57,141.66,-87.04
461,-7.48,8.44,-9.94,-34.48,133.42,-101.56
471,-7.12,7.83,-11.54,-6.71,118.71,-131.77
481,-6.51,4.76,-11.79,56.76,73.85,-151.98
491,-6.10,1.82,-11.20,79.96,54.44,-175.66
501,-4.99,-1.38,-10.75,88.01,38.57,-196.72
511,-3.99,-4.49,-10.80,78.74,22.83,-210.02
521,-3.04,-7.56,-11.03,60.79,3.78,-215.76
531,-1.65,-13.36,-10.25,40.16,-41.32,-206.42
541,0.53,-16.07,-9.51,35.95,-57.86,-196.78
551,1.55,-18.78,-8.78,35.83,-69.52,-185.61
561,2.66,-21.18,-7.56,37.60,-80.81,-171.20
571,3.85,-23.17,-5.86,38.64,-93.26,-151.73
581,4.48,-24.80,-3.80,42.85,-111.27,-100.52
591,5.97,-27.30,0.59,39.37,-112.79,-67.81
601,6.72,-27.35,2.74,28.69,-110.41,-30.40
611,7.04,-26.36,4.81,8.36,-107.54,10.19
621,6.87,-23.81,6.52,-17.70,-106.93,52.67
631,5.68,-19.84,7.83,-42.72,-106.93,132.08
641,0.99,-8.92,12.02,-47.97,-105.16,161.80
651,-1.33,-2.75,14.76,-19.35,-99.30,176.39
661,-3.12,2.25,17.42,17.82,-82.89,169.74
671,-4.30,5.83,19.13,50.84,-59.08,138.73
681,-4.46,7.67,19.98,61.40,-34.97,88.93
691,-2.83,8.53,15.72,1.04,-10.19,-23.68
701,-1.95,7.92,11.04,-30.15,-4.52,-72.88
711,-1.00,5.92,6.25,-39.79,-0.49,-114.32
721,0.22,3.27,2.23,-30.88,0.98,-145.81
731,1.26,0.24,-1.25,-13.55,-4.03,-165.16
741,2.06,-3.61,-6.08,25.63,-33.39,-174.93
751,3.75,-10.41,-7.03,36.56,-54.75,-171.57
761,3.95,-13.41,-7.50,38.02,-77.03,-163.88
771,3.99,-16.51,-7.58,36.87,-97.66,-153.87
781,4.24,-18.95,-6.65,38.33,-115.72,-143.49
791,4.27,-21.18,-5.54,29.79,-150.63,-113.71
801,4.52,-23.91,-2.29,24.60,-166.20,-94.48
811,4.85,-24.69,-0.38,18.98,-177.92,-69.46
821,4.90,-24.64,1.30,9.58,-184.88,-36.50
831,4.50,-23.52,3.07,-0.61,-190.61,2.44
841,3.55,-21.42,4.86,-11.29,-195.25,81.30
851,0.78,-15.83,7.57,-32.71,-188.48,111.63
861,-0.80,-12.23,8.99,-34.12,-181.82,133.67
871,-2.54,-8.21,11.01,-22.22,-176.09,148.62
881,-4.23,-4.65,13.16,3.72,-168.15,154.60
891,-5.81,-1.63,15.33,41.63,-157.23,150.21
901,-8.00,0.04,21.93,122.50,-125.31,104.13
911,-7.17,-0.95,25.50,124.76,-102.54,71.59
921,-7.20,-2.36,26.16,92.04,-82.03,41.08
931,-6.57,-3.15,24.68,37.17,-57.74,13.98
941,-4.89,-3.14,22.10,-9.77,-31.25,-8.61
951,-3.38,-3.85,18.84,-36.62,12.88,-32.35
961,-0.40,-5.89,13.42,-31.07,28.93,-34.73
971,0.74,-6.72,11.46,-23.50,38.82,-32.29
981,1.53,-7.42,9.84,-19.41,44.07,-25.51
991,1.89,-7.76,8.49,-19.71,47.00,-16.91
