timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.65,-9.92,7.42,71.84,-167.11,13.73
10,-2.30,-10.73,8.54,36.01,-164.67,11.96
20,-3.71,-9.29,14.15,16.36,-170.04,9.64
30,-5.63,-8.91,17.79,-3.60,-170.59,7.14
40,-6.79,-8.99,20.54,-21.36,-164.79,6.59
50,-7.98,-8.78,23.68,-28.75,-141.48,11.29
60,-9.40,-8.39,26.75,-18.98,-90.64,30.94
70,-10.45,-7.48,31.88,10.13,-60.42,41.69
80,-10.36,-6.89,32.65,7.69,-26.79,47.24
90,-9.87,-5.80,32.03,-7.75,6.23,46.14
100,-8.81,-5.18,30.19,-27.28,35.28,39.86
110,-8.01,-4.45,28.10,-43.58,60.97,28.63
120,-5.58,-4.70,23.37,-57.01,107.30,8.79
130,-4.68,-5.06,21.41,-53.77,125.43,3.91
140,-3.91,-5.46,19.87,-46.08,141.11,4.39
150,-3.29,-5.32,18.80,-38.15,156.13,9.77
160,-0.41,-3.31,17.00,-27.89,167.18,17.27
170,-4.89,-7.23,15.73,-22.89,190.49,39.31
180,-3.42,-6.57,15.24,-30.58,200.50,40.65
190,-3.40,-6.52,14.65,-31.98,205.32,37.29
200,-2.96,-6.35,13.78,-37.96,206.36,36.87
210,-2.63,-5.94,12.35,-46.45,203.55,38.21
220,-2.34,-4.88,10.90,-62.26,201.72,47.61
230,-1.56,-2.89,8.53,-66.10,204.28,53.47
240,-1.48,-2.08,7.58,-65.73,207.28,58.04
250,-1.55,-1.57,6.77,-61.65,209.35,60.49
260,-1.38,-0.89,6.13,-56.95,208.50,61.04
270,-1.24,-0.17,5.48,-52.43,204.71,59.69
280,-1.10,1.03,4.14,-43.76,198.55,57.50
290,-1.06,1.50,3.51,-39.31,195.86,52.92
300,-0.97,1.82,2.89,-34.97,192.02,45.35
310,-0.88,2.12,2.26,-30.21,187.01,35.40
320,-0.77,2.33,1.78,-25.88,182.13,25.82
330,-0.61,2.85,1.43,-22.58,172.55,10.01
340,-0.80,2.89,0.36,-20.94,163.21,3.30
350,-0.76,3.19,-0.12,-22.89,154.97,-2.50
360,-0.84,3.47,-0.59,-26.98,148.62,-7.26
370,-1.09,3.72,-1.07,-31.37,140.62,-12.76
380,-1.31,3.79,-1.39,-41.32,121.15,-31.56
390,-1.56,3.71,-2.38,-42.11,108.64,-45.10
400,-1.61,3.42,-2.57,-39.00,96.31,-60.67
410,-1.77,2.82,-2.72,-32.04,82.15,-76.72
420,-1.89,2.10,-2.69,-22.40,65.73,-93.44
430,-1.65,1.48,-1.89,5.43,27.22,-122.62
440,-1.45,-0.98,-1.97,10.07,9.83,-129.94
450,-0.95,-2.26,-1.73,10.44,-2.20,-132.14
460,-0.31,-3.14,-1.25,8.79,-12.57,-128.54
470,0.16,-3.88,-1.15,6.84,-22.34,-120.24
480,0.47,-4.74,-0.95,1.95,-31.01,-94.06
490,1.18,-6.33,-0.89,-10.86,-49.56,-94.54
500,1.55,-7.36,-0.69,-13.37,-61.52,-91.80
510,2.22,-8.56,-0.27,-10.44,-75.74,-91.00
520,2.99,-10.12,0.57,-1.10,-91.00,-91.19
530,4.26,-12.13,1.84,13.12,-106.63,-90.52
540,5.94,-16.08,6.03,22.40,-137.02,-73.79
550,9.65,-17.16,8.69,0.55,-142.33,-54.50
560,10.84,-17.67,10.42,-25.15,-143.55,-27.34
570,11.66,-17.60,12.11,-51.70,-139.40,4.46
580,11.22,-16.21,13.51,-76.17,-132.51,35.95
590,10.07,-14.29,15.02,-107.79,-123.17,102.66
600,6.68,-8.44,19.25,-115.60,-122.31,130.00
610,5.06,-4.43,22.03,-113.89,-119.93,147.03
620,2.92,-0.25,23.88,-100.71,-115.30,156.37
630,0.87,3.24,24.95,-80.81,-96.86,160.58
640,-0.60,6.20,25.33,-56.40,-29.17,129.76
650,-1.31,9.12,22.93,-13.61,23.68,100.34
660,-0.96,9.10,20.69,-10.01,55.48,66.77
670,-0.26,8.65,17.78,-19.23,73.00,30.15
680,0.62,7.85,14.54,-30.46,76.42,-3.91
690,1.40,6.52,11.27,-34.12,75.01,-32.29
700,2.49,3.07,5.39,-8.54,73.43,-68.30
710,2.90,1.55,3.54,14.04,67.87,-72.39
720,2.91,0.45,1.52,31.19,61.83,-67.81
730,2.79,-0.00,-0.80,39.37,58.72,-58.35
740,2.50,-0.00,-2.86,43.46,54.26,-48.77
750,2.04,-0.11,-4.74,44.07,18.68,-46.57
760,2.07,-1.12,-5.12,38.51,-11.29,-56.15
770,1.95,-2.51,-5.01,34.24,-41.44,-65.06
780,1.91,-4.10,-4.51,32.96,-67.26,-70.92
790,2.23,-5.50,-3.49,33.81,-86.91,-74.46
800,2.52,-7.00,-2.14,29.85,-109.86,-66.10
810,2.72,-8.92,-0.12,22.77,-116.39,-55.60
820,3.28,-9.08,1.20,14.77,-121.95,-41.93
830,3.40,-8.80,2.87,5.49,-128.11,-23.50
840,2.97,-8.07,4.60,-5.19,-133.42,-0.79
850,2.39,-7.48,6.48,-12.63,-136.41,35.52
860,1.55,-6.15,11.30,-19.96,-135.99,42.30
870,0.91,-5.33,13.92,-27.34,-133.91,51.27
880,0.54,-4.50,16.55,-34.36,-131.10,59.33
890,-0.34,-3.93,17.43,-36.87,-128.11,64.21
900,-0.71,-3.35,18.71,-36.87,-115.91,64.88
910,-0.77,-2.64,19.72,-24.05,-81.30,59.81
920,-0.75,-2.52,19.61,-14.77,-63.29,56.70
930,-0.32,-2.30,19.23,-7.14,-44.43,53.16
940,0.20,-1.98,18.66,-4.03,-25.33,50.84
950,0.51,-1.67,17.83,-2.38,-10.31,51.03
960,0.76,-1.19,16.72,6.04,0.98,49.68
970,0.94,-0.29,14.95,2.99,6.29,45.04
980,0.99,0.07,13.88,-5.68,8.97,37.35
