timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.76,11.29,6.26,21.00,-21.79,64.88
10,-3.09,11.74,5.49,14.83,-22.46,55.85
20,-3.00,11.49,5.73,6.35,-22.22,44.80
30,-4.59,12.25,7.02,-25.02,-33.20,20.08
40,-4.71,12.72,8.58,-35.34,-30.40,15.81
50,-4.89,13.54,9.92,-39.67,-26.67,11.17
60,-5.03,14.07,10.64,-36.87,-21.61,4.88
70,-5.12,14.16,11.03,-29.05,-13.55,-3.97
80,-5.22,14.25,11.96,-16.17,4.39,-33.87
90,-5.82,14.61,12.64,-9.95,16.72,-50.54
100,-5.98,14.47,13.18,-2.62,28.81,-65.12
110,-5.97,14.45,13.51,6.23,41.50,-79.53
120,-5.61,14.12,13.75,17.33,53.34,-94.42
130,-5.75,13.76,13.70,46.33,71.53,-131.10
140,-5.89,11.98,13.27,60.18,82.70,-148.80
150,-5.92,10.81,12.82,69.82,93.44,-163.64
160,-7.05,9.94,12.68,72.57,96.68,-174.80
170,-7.13,9.31,12.20,74.83,105.29,-181.82
180,-7.29,8.57,11.96,77.70,118.84,-182.56
190,-7.58,7.85,10.76,76.84,134.46,-180.91
200,-7.34,7.11,10.39,71.96,144.59,-178.28
210,-6.90,6.70,10.13,68.12,156.25,-175.72
220,-6.68,6.45,9.68,68.18,168.82,-175.54
230,-6.53,6.11,8.98,71.78,182.19,-177.92
240,-6.17,5.45,6.39,80.81,204.47,-184.63
250,-6.02,5.17,4.84,82.15,208.19,-188.84
260,-5.71,4.84,3.54,79.41,204.16,-194.64
270,-5.46,4.40,2.64,73.00,194.82,-200.99
280,-5.20,3.87,2.01,63.11,184.57,-206.05
290,-4.86,3.44,1.57,34.85,173.65,-211.30
300,-3.83,2.91,1.04,18.62,172.24,-212.28
310,-3.24,2.82,0.83,4.64,172.36,-215.58
320,-2.62,2.60,0.54,-6.77,172.30,-220.70
330,-2.15,2.31,0.37,-16.91,169.86,-226.44
340,-1.90,1.80,0.14,-24.84,157.90,-233.76
350,-1.39,1.01,-0.96,-30.64,148.86,-232.79
360,-0.93,0.77,-1.35,-31.86,133.48,-227.91
370,-1.02,0.13,-1.66,-34.48,112.06,-218.93
380,-0.25,-0.11,-1.48,-33.45,93.08,-211.49
390,0.40,-0.59,-1.50,-29.42,76.17,-203.98
400,1.32,-1.53,-2.36,-15.56,46.69,-192.81
410,1.71,-1.99,-2.95,-9.52,31.80,-187.44
420,2.04,-2.52,-3.25,-6.71,13.06,-181.76
430,2.38,-3.08,-3.35,-8.18,-7.75,-173.83
440,2.84,-3.66,-3.02,-12.88,-26.98,-164.06
450,3.25,-4.21,-1.52,-20.20,-56.95,-147.03
460,4.37,-5.51,-0.76,-19.04,-70.07,-141.17
470,4.72,-6.21,-0.23,-13.85,-82.58,-136.96
480,4.83,-7.11,0.31,-5.68,-96.62,-133.73
490,4.67,-8.13,1.36,2.69,-115.11,-130.49
500,4.24,-9.25,2.68,21.48,-152.04,-117.37
510,3.23,-11.92,6.01,29.85,-166.99,-104.43
520,2.38,-13.19,7.75,34.30,-180.66,-83.92
530,1.49,-14.45,9.67,36.50,-188.54,-55.54
540,0.93,-15.14,12.07,36.38,-190.67,-19.65
550,0.24,-14.79,14.71,34.06,-188.60,75.87
560,-0.91,-11.67,19.05,40.10,-165.77,126.46
570,-0.60,-8.87,20.44,49.87,-148.13,175.42
580,0.03,-5.87,21.03,62.19,-128.85,218.44
590,0.62,-2.88,21.16,75.32,-110.53,248.90
600,1.48,0.63,21.35,80.20,-90.58,267.70
610,4.13,7.25,19.61,82.03,-30.52,263.43
620,5.03,10.05,17.38,78.43,-0.12,240.05
630,6.36,12.19,14.81,69.40,24.78,206.91
640,7.14,14.08,12.27,55.91,42.66,165.41
650,7.82,15.33,10.76,36.50,51.15,120.00
660,8.17,16.28,9.95,-3.23,53.96,28.26
670,7.89,16.26,8.80,-9.09,60.24,-11.78
680,7.58,15.15,7.76,-6.35,69.15,-46.81
690,7.14,13.68,6.44,3.54,76.23,-77.45
700,6.68,11.85,4.98,19.84,76.97,-102.78
710,6.27,9.74,3.44,72.45,56.95,-138.55
720,5.77,4.79,-0.01,85.88,40.16,-151.67
730,5.75,2.47,-2.17,99.98,22.34,-163.09
740,5.39,-0.50,-3.23,102.60,6.71,-173.03
750,4.68,-2.98,-4.11,90.58,-10.25,-182.92
760,3.88,-4.83,-4.29,65.67,-26.86,-172.24
770,2.77,-7.78,-2.34,0.73,-56.52,-174.13
780,2.08,-9.05,-0.81,-29.05,-70.80,-160.34
790,0.96,-10.11,1.25,-53.65,-84.96,-143.80
800,-0.31,-11.10,3.63,-72.51,-101.68,-123.90
810,-1.51,-11.95,5.96,-86.06,-120.91,-98.63
820,-2.15,-13.73,9.84,-101.99,-146.73,-34.67
830,-5.42,-13.78,11.06,-108.52,-144.04,1.83
840,-6.11,-13.67,11.90,-125.79,-135.62,44.37
850,-5.82,-12.46,12.63,-151.43,-121.40,89.17
860,-5.09,-11.09,13.20,-175.11,-101.75,129.39
870,-4.59,-9.79,13.27,-202.70,-68.48,184.33
880,-4.47,-6.48,12.03,-215.70,-57.19,209.53
890,-4.46,-4.59,11.01,-228.58,-47.49,237.12
900,-4.15,-2.26,10.87,-244.69,-43.27,263.00
910,-3.64,1.56,11.82,-261.78,-41.02,286.25
920,-2.86,4.23,13.12,-266.24,-39.12,315.86
930,0.39,10.77,14.80,-197.88,-24.23,303.89
940,2.15,12.58,14.51,-144.53,-15.44,278.26
950,2.68,13.21,13.28,-87.95,-6.41,239.38
960,2.43,13.15,11.58,-37.96,5.43,195.31
970,2.12,12.94,10.16,-7.08,16.48,154.54
980,1.58,11.44,8.06,17.52,23.25,91.25
990,1.04,10.80,7.31,18.92,21.36,70.43
