timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.28,-1.11,14.83,-75.20,-216.37,110.66
10,-3.68,-1.16,14.51,-101.68,-192.99,103.82
20,-3.97,-1.23,15.77,-120.12,-180.42,106.81
30,-3.92,-1.32,15.76,-121.83,-171.51,109.68
40,-4.76,-1.48,15.42,-112.55,-162.90,111.39
50,-3.99,-1.31,15.02,-108.46,-162.78,115.54
60,-4.59,-0.32,16.08,-117.31,-154.72,111.82
70,-4.60,0.23,15.67,-123.90,-140.87,104.06
80,-4.89,0.87,15.57,-137.51,-127.32,91.86
90,-5.22,1.21,16.10,-154.30,-113.40,77.45
100,-5.45,1.32,16.86,-164.86,-98.33,64.82
110,-5.57,1.45,15.81,-159.42,-64.76,54.99
120,-5.71,1.59,14.07,-152.53,-52.00,53.59
130,-5.71,1.84,12.40,-152.47,-45.59,54.26
140,-5.32,2.21,11.76,-160.34,-45.17,55.48
150,-4.85,2.65,12.11,-168.64,-47.12,52.61
160,-4.69,3.06,13.06,-165.89,-39.86,33.20
170,-5.79,3.93,14.99,-159.48,-35.34,20.87
180,-5.16,4.28,15.30,-157.04,-22.89,6.77
190,-5.23,4.89,16.56,-153.93,0.43,-2.99
200,-4.11,5.35,17.60,-153.93,24.48,-13.12
210,-5.68,5.90,18.00,-147.71,77.21,-42.18
220,-5.80,6.47,17.62,-125.55,104.13,-47.06
230,-5.75,6.04,16.39,-106.38,122.25,-49.80
240,-5.87,5.50,14.82,-87.83,132.69,-53.59
250,-6.01,5.00,13.67,-73.30,140.87,-57.13
260,-5.79,4.65,12.94,-63.84,148.86,-60.61
270,-6.08,4.62,11.16,-48.03,172.24,-74.46
280,-6.18,5.26,10.62,-44.86,189.94,-84.59
290,-6.00,5.75,9.73,-44.07,207.15,-97.35
300,-5.79,6.21,8.60,-45.35,226.26,-116.27
310,-5.74,6.44,7.31,-51.88,248.90,-140.81
320,-5.83,6.53,5.91,-70.01,297.36,-199.34
330,-6.50,6.90,5.32,-66.83,315.06,-222.78
340,-6.97,7.18,4.03,-49.38,318.97,-239.87
350,-6.93,6.88,2.92,-22.09,310.49,-251.83
360,-7.00,6.52,1.66,7.87,292.11,-259.83
370,-6.62,6.23,0.53,56.09,240.97,-265.14
380,-5.39,5.15,-1.48,71.17,218.02,-267.58
390,-4.83,4.54,-2.07,80.26,201.23,-270.63
400,-3.99,3.62,-2.64,88.50,188.72,-272.95
410,-3.31,2.74,-3.56,97.41,175.96,-274.35
420,-2.68,2.05,-4.07,101.62,159.18,-272.77
430,-1.54,1.12,-3.91,91.00,117.37,-268.25
440,-0.89,0.65,-3.75,82.76,102.60,-263.06
450,-0.38,0.35,-3.57,73.79,91.86,-259.16
460,0.05,-0.02,-3.32,63.84,81.67,-256.90
470,0.50,-0.59,-2.88,52.86,70.25,-256.41
480,1.43,-2.18,-1.16,49.19,45.17,-258.79
490,1.92,-3.16,-0.77,63.05,30.27,-258.48
500,2.35,-4.27,-0.77,82.52,14.83,-258.42
510,2.71,-5.59,-1.11,100.22,0.31,-259.22
520,3.11,-7.04,-1.44,110.23,-10.80,-260.13
530,3.24,-8.38,-1.91,105.41,-20.63,-265.38
540,3.56,-10.64,-2.14,90.64,-21.91,-268.74
550,3.79,-11.64,-1.70,72.81,-24.78,-273.68
560,2.59,-12.48,-1.27,56.46,-28.93,-281.43
570,1.81,-13.35,-0.80,41.14,-32.23,-286.32
580,0.66,-14.76,0.35,29.24,-50.05,-271.79
590,-2.06,-17.18,3.82,20.81,-72.08,-250.00
600,-3.16,-18.55,5.34,27.47,-102.05,-213.01
610,-3.61,-19.65,6.78,36.74,-135.31,-160.77
620,-4.47,-20.49,7.80,43.21,-165.59,-96.13
630,-4.82,-20.58,9.21,44.43,-190.25,-23.50
640,-5.78,-19.29,12.00,35.89,-226.26,123.47
650,-6.41,-18.34,13.48,26.31,-239.38,195.56
660,-6.48,-15.85,15.40,9.34,-247.56,273.32
670,-6.68,-12.59,16.95,-3.36,-247.13,347.53
680,-7.36,-8.28,18.74,-12.33,-242.19,409.30
690,-6.36,5.37,25.06,-3.91,-204.04,474.61
700,3.29,10.76,25.93,28.63,-161.99,451.66
710,8.39,13.97,24.45,64.51,-110.53,378.54
720,11.84,14.84,20.52,80.02,-49.99,265.81
730,12.16,14.06,16.27,61.71,18.19,136.17
740,10.17,12.98,13.44,-50.05,138.49,-64.45
750,7.95,10.22,9.76,-101.14,172.24,-115.30
760,7.90,8.62,7.97,-131.53,188.23,-151.98
770,7.40,6.93,6.35,-141.78,194.52,-185.73
780,6.47,4.97,5.00,-138.24,191.41,-217.41
790,5.56,3.05,4.16,-122.50,163.94,-262.63
800,2.90,-1.48,2.80,-61.22,132.63,-272.71
810,1.37,-3.45,2.09,-25.39,99.43,-274.05
820,0.09,-5.19,1.59,5.86,59.33,-265.62
830,-0.42,-6.90,1.26,29.79,14.59,-247.62
840,-0.96,-8.31,1.23,46.33,-26.67,-227.23
850,-1.41,-9.42,2.55,61.83,-87.83,-186.89
860,-1.69,-9.67,3.37,71.84,-106.45,-170.90
870,-2.22,-10.01,3.55,84.66,-120.30,-157.71
880,-2.74,-10.52,3.25,93.51,-131.65,-142.15
890,-3.11,-11.08,2.67,95.89,-141.11,-123.54
900,-3.56,-11.64,2.84,79.22,-164.86,-83.19
910,-5.26,-12.77,3.05,69.15,-178.10,-64.45
920,-6.24,-13.89,2.78,55.79,-185.18,-46.02
930,-7.54,-15.34,2.14,31.49,-184.57,-26.37
940,-8.90,-17.88,1.90,-6.77,-180.91,-0.85
950,-10.11,-19.63,3.47,-110.66,-186.77,110.72
960,-11.28,-18.76,9.21,-130.13,-196.29,193.60
970,-10.98,-16.79,11.05,-122.13,-210.94,276.06
980,-11.11,-13.22,11.71,-104.25,-229.74,354.13
990,-10.20,-9.03,13.40,-83.13,-247.07,419.19
