timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.02,2.55,8.65,44.62,-61.28,-3.85
10,-1.18,2.91,8.99,31.01,-66.83,-17.82
20,0.11,5.05,7.16,31.07,-79.04,-17.52
30,-0.43,5.08,6.85,41.63,-80.63,-15.87
40,-0.34,4.95,8.19,52.31,-74.95,-11.11
50,-0.06,4.73,9.31,59.88,-73.18,-7.08
60,-0.12,4.80,10.74,58.04,-68.91,0.00
70,0.05,4.92,12.87,40.65,-45.65,3.91
80,-0.07,4.71,13.60,34.18,-33.51,8.06
90,-0.05,4.71,14.73,31.68,-19.23,12.15
100,0.29,4.47,16.15,29.30,-4.94,15.50
110,0.70,4.65,17.57,19.04,7.14,17.27
120,1.75,5.19,19.18,-22.52,22.22,18.62
130,2.10,6.16,19.55,-42.11,23.74,15.14
140,1.98,6.23,19.53,-52.06,21.91,9.64
150,1.75,7.95,19.47,-63.29,27.04,8.12
160,2.31,8.78,19.40,-75.62,46.14,1.83
170,2.06,10.75,19.09,-69.82,79.10,-0.31
180,0.99,12.04,17.82,-40.41,83.01,-2.75
190,0.66,11.96,17.67,-16.05,83.62,-11.90
200,-0.04,12.20,17.08,-0.73,81.42,-22.89
210,-0.85,11.99,16.29,9.89,82.46,-33.87
220,-1.15,11.53,15.59,14.77,97.78,-53.41
230,-1.41,11.02,14.04,16.48,101.99,-59.51
240,-1.55,10.75,13.35,20.32,105.90,-62.93
250,-2.00,10.30,12.55,24.96,110.96,-64.82
260,-2.28,9.66,11.84,28.87,114.93,-67.69
270,-2.38,9.34,11.41,30.27,115.36,-72.57
280,-2.18,8.66,10.27,27.28,116.82,-81.85
290,-2.19,8.14,9.75,21.85,120.85,-84.66
300,-2.11,7.44,8.94,15.32,124.21,-86.06
310,-2.67,6.93,7.59,7.39,127.75,-88.32
320,-2.83,6.51,6.19,-1.34,133.06,-91.86
330,-2.93,6.02,4.06,-6.77,135.74,-101.93
340,-2.24,5.88,3.33,-2.20,132.32,-105.41
350,-2.23,5.41,2.60,3.23,131.41,-106.57
360,-2.22,4.88,2.02,7.39,130.80,-108.28
370,-2.26,4.16,1.04,11.60,122.86,-110.78
380,-2.06,3.61,0.06,24.11,91.67,-113.16
390,-1.95,2.88,-1.46,26.25,83.19,-110.84
400,-1.73,2.43,-1.09,30.09,75.20,-108.03
410,-2.37,1.30,-2.60,39.31,57.50,-105.90
420,-2.51,0.28,-4.58,43.70,40.10,-105.96
430,-2.23,0.17,-5.61,44.92,11.29,-109.44
440,-1.77,0.39,-8.99,41.20,3.60,-105.22
450,-1.33,0.68,-8.53,26.55,-1.04,-97.96
460,-1.25,0.17,-8.74,22.46,-12.82,-91.31
470,-1.27,-0.05,-9.15,33.51,-31.68,-89.17
480,-1.41,-0.84,-8.57,43.46,-45.10,-88.13
490,-1.33,-2.97,-5.61,72.14,-70.68,-86.91
500,-1.28,-4.46,-3.52,79.35,-81.36,-79.59
510,-1.36,-5.97,-1.06,82.09,-90.94,-71.04
520,-1.37,-6.82,1.43,84.47,-96.01,-60.61
530,-0.16,-9.34,4.05,82.58,-92.83,-42.11
540,1.09,-11.09,7.27,63.17,-71.84,-10.62
550,2.39,-14.77,14.66,55.42,-61.77,0.00
560,4.26,-15.81,17.43,45.72,-49.50,5.68
570,6.26,-15.78,19.96,30.94,-35.77,11.72
580,7.09,-15.42,19.64,19.10,-31.74,25.94
590,7.73,-14.47,18.60,0.06,-6.41,79.59
600,8.38,-10.65,18.52,-5.19,6.04,110.96
610,8.14,-7.77,18.79,-12.39,11.54,140.08
620,7.67,-4.46,18.24,-20.39,10.74,163.21
630,6.84,-1.00,17.66,-29.11,10.93,176.88
640,6.00,2.68,17.11,-36.62,10.93,181.03
650,4.50,10.39,15.79,-24.84,10.38,170.23
660,3.16,12.68,15.22,-5.92,20.26,159.61
670,1.80,13.87,14.26,9.03,34.42,143.55
680,1.01,15.49,12.78,13.18,43.40,121.52
690,0.55,17.37,10.61,10.68,46.14,97.53
700,-0.11,20.02,6.23,8.24,44.98,44.25
710,-1.01,20.34,4.10,14.04,37.23,14.89
720,-2.09,19.95,2.84,22.09,27.71,-16.05
730,-2.35,18.56,1.45,33.39,16.30,-47.97
740,-2.19,16.25,0.63,50.29,5.43,-80.87
750,-2.01,13.37,0.56,80.51,-10.62,-129.46
760,-1.66,6.48,0.46,82.28,-20.08,-141.24
770,-1.50,3.73,0.15,81.73,-29.48,-147.40
780,-1.31,0.95,0.07,82.03,-37.66,-148.56
790,-0.91,-2.08,0.07,84.17,-48.28,-147.34
800,-0.40,-5.15,-0.18,83.19,-71.41,-141.72
810,0.82,-8.24,-0.77,61.52,-77.94,-130.98
820,1.79,-11.18,0.63,49.56,-90.21,-113.65
