timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.88,2.90,10.09,-385.74,-93.20,151.92
10,2.06,7.71,15.14,-368.59,-84.29,137.70
20,1.27,7.85,17.06,-327.45,-80.32,108.34
30,-0.14,8.02,17.76,-275.70,-73.36,76.90
40,-0.42,7.43,17.39,-226.14,-52.00,55.85
50,-1.35,7.14,16.35,-187.26,-29.05,43.70
60,-2.12,7.55,15.73,-141.60,3.97,43.09
70,-2.39,9.74,15.51,-123.84,13.67,48.34
80,-2.30,10.80,15.61,-104.55,23.44,49.93
90,-2.35,11.66,15.29,-86.98,33.94,47.24
100,-2.17,12.46,14.94,-73.36,44.01,40.71
110,-1.61,13.35,14.84,-47.49,61.52,13.43
120,-0.13,14.91,15.79,-42.60,73.30,-10.99
130,-0.19,14.76,15.55,-25.27,86.61,-42.36
140,-0.81,14.10,14.53,-8.67,99.61,-74.52
150,-0.44,12.75,12.77,2.50,111.08,-101.20
160,-2.21,12.21,11.58,0.85,112.00,-136.35
170,-1.69,9.68,9.92,3.42,133.97,-141.66
180,-1.98,8.78,8.61,-0.92,135.19,-146.36
190,-1.90,7.89,7.52,-4.03,136.78,-149.84
200,-2.03,7.33,6.40,-5.68,136.72,-151.31
210,-2.00,7.00,5.03,-6.04,135.74,-151.37
220,-1.64,6.73,3.27,-0.06,128.60,-155.27
230,-1.09,6.02,2.28,4.09,119.63,-158.45
240,-0.79,5.57,1.13,8.91,112.79,-161.99
250,-0.70,4.84,-0.07,13.49,103.58,-165.53
260,-0.81,4.29,-1.19,13.73,90.58,-167.30
270,-1.01,3.63,-2.16,-1.71,62.38,-162.48
280,-1.09,2.74,-3.47,-15.99,51.15,-156.92
290,-0.73,2.72,-3.44,-28.75,40.47,-149.05
300,-0.40,2.41,-3.20,-36.62,26.49,-140.32
310,-0.11,2.13,-3.03,-37.90,10.07,-132.93
320,0.35,1.72,-2.62,-34.30,-21.48,-121.15
330,0.91,0.54,-1.84,-14.04,-38.82,-118.04
340,1.10,-0.32,-1.47,1.04,-55.24,-115.54
350,1.14,-1.49,-0.94,15.38,-72.02,-112.73
360,1.18,-2.73,-0.25,25.45,-88.99,-109.80
370,1.43,-4.31,0.86,28.32,-103.64,-105.04
380,1.50,-7.75,5.03,20.87,-125.92,-91.31
390,1.19,-9.57,7.77,17.40,-132.57,-79.77
400,0.81,-11.07,10.63,14.16,-136.05,-61.89
410,0.40,-12.24,13.48,13.24,-133.85,-36.80
420,0.06,-12.93,15.97,14.53,-124.57,-6.65
