timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.04,-5.33,10.14,-78.06,-54.99,-20.51
10,-1.32,-5.57,7.59,-83.86,-72.20,-20.39
20,-1.44,-6.11,6.00,-64.76,-47.61,-22.83
30,-1.27,-7.79,6.51,-60.36,-37.05,-31.74
40,-2.13,-7.01,6.97,-61.40,-37.84,-35.58
50,-2.42,-6.86,7.70,-58.90,-41.81,-30.58
60,-2.79,-6.78,8.22,-52.37,-45.90,-23.44
70,-3.43,-6.94,8.76,-44.43,-49.26,-13.85
80,-4.72,-7.10,10.63,-40.28,-50.54,-8.67
90,-5.12,-7.29,11.73,-38.39,-49.26,-5.13
100,-5.65,-7.67,12.45,-32.04,-43.82,-4.76
110,-6.25,-8.30,12.79,-23.32,-35.95,-5.55
120,-6.61,-9.03,13.15,-17.09,-25.76,-4.82
130,-6.47,-9.64,13.35,-12.76,-2.69,2.87
140,-6.93,-9.81,13.05,-9.16,12.94,9.89
150,-6.97,-9.56,13.51,-6.47,35.40,18.68
160,-6.63,-9.83,14.03,-7.08,54.50,29.48
170,-6.50,-8.99,13.24,-8.61,68.30,38.70
180,-5.82,-9.20,14.78,-8.24,90.03,54.32
190,-5.45,-7.88,14.94,-9.40,94.54,62.87
200,-5.17,-7.39,14.65,-7.51,99.85,67.81
210,-4.88,-6.92,14.55,-4.27,105.96,71.78
220,-4.65,-5.99,14.01,-2.75,113.10,74.28
230,-4.63,-5.60,13.46,-6.16,128.78,82.46
240,-4.10,-5.01,11.91,-9.28,137.82,87.10
250,-4.03,-4.84,11.26,-12.39,146.91,90.64
260,-3.48,-4.30,10.79,-14.04,155.70,91.25
270,-3.39,-3.30,10.59,-14.28,162.05,91.19
280,-3.27,-2.51,9.13,-8.79,172.73,87.10
290,-1.25,-0.97,11.07,6.23,213.44,82.28
300,-1.98,-0.14,11.83,7.02,205.32,77.03
310,-2.50,0.67,11.20,3.66,178.96,72.94
320,-2.26,1.39,10.23,7.75,160.16,66.22
330,-1.53,1.36,9.81,23.44,165.10,57.01
340,-1.03,2.55,9.97,49.80,199.22,29.11
350,-1.39,3.02,9.63,54.63,208.86,17.82
360,-1.38,3.05,8.61,56.46,216.25,8.24
370,-1.83,3.19,7.21,55.79,225.04,-2.99
380,-1.91,3.11,5.68,57.25,240.60,-14.95
390,-2.04,2.82,3.89,54.93,275.63,-36.38
400,-1.90,2.32,-0.97,43.88,289.49,-44.01
410,-1.55,2.32,-3.06,24.23,293.09,-50.35
420,-1.08,2.44,-4.79,-3.23,283.39,-57.25
430,-0.29,2.53,-5.62,-33.63,263.98,-64.76
440,0.65,2.67,-5.35,-60.67,203.00,-83.86
450,2.75,2.50,-4.53,-65.61,171.87,-98.88
460,3.58,1.65,-5.36,-34.79,145.26,-115.30
470,4.07,0.51,-6.93,4.88,122.25,-131.77
480,4.16,-0.35,-8.54,38.02,100.22,-147.77
490,4.25,-1.56,-10.12,56.82,75.62,-160.89
500,4.43,-4.51,-12.38,47.18,23.80,-186.16
510,4.10,-5.97,-12.09,28.93,1.95,-201.11
520,3.30,-7.48,-11.15,9.40,-21.24,-214.78
530,2.25,-9.14,-9.74,-6.90,-48.16,-223.75
540,0.93,-10.75,-8.09,-15.99,-77.33,-226.44
550,-0.53,-12.43,-2.94,-8.06,-143.68,-214.97
560,-4.27,-16.78,-2.51,7.63,-184.94,-204.16
570,-5.10,-18.92,0.10,31.92,-211.18,-191.28
580,-6.86,-21.13,1.04,47.55,-227.29,-169.68
590,-6.82,-22.85,2.19,39.25,-238.16,-135.80
600,-9.19,-23.39,3.59,-3.42,-231.20,-47.18
610,-9.77,-22.22,7.05,-23.50,-220.76,5.13
620,-8.78,-20.69,8.44,-40.53,-211.85,61.16
630,-7.76,-18.57,9.49,-56.88,-207.28,115.78
640,-6.72,-16.43,11.10,-72.33,-205.26,165.04
650,-5.91,-14.00,13.66,-84.66,-205.26,239.93
660,-5.12,-5.80,20.02,-97.17,-196.04,263.92
670,-2.45,0.73,23.22,-87.04,-174.74,272.89
680,0.74,3.75,24.27,-63.60,-139.10,270.14
690,3.09,4.83,22.94,-39.49,-96.25,242.00
700,5.35,6.05,20.41,-26.12,-47.12,184.69
710,5.80,4.72,14.89,11.72,71.84,52.86
720,4.06,3.05,12.68,29.97,126.89,2.38
730,2.84,2.48,10.81,28.44,161.38,-31.92
740,2.44,2.16,9.41,17.64,176.76,-49.80
750,2.33,1.61,8.02,10.62,178.65,-55.48
760,2.30,1.02,6.52,11.29,161.07,-58.72
770,2.55,0.04,3.85,13.43,149.35,-61.52
780,2.85,-0.46,2.69,14.59,136.90,-65.73
790,3.17,-1.02,1.67,13.12,124.27,-71.72
800,3.62,-1.53,0.77,8.79,111.94,-80.20
810,4.10,-2.06,0.11,-12.21,92.35,-106.45
820,4.92,-3.28,-0.23,2.32,80.87,-125.43
830,4.82,-4.36,0.20,15.14,64.45,-149.41
840,3.73,-4.30,0.50,38.51,43.21,-179.32
850,2.68,-5.24,0.53,66.04,17.15,-205.63
860,1.44,-6.90,-0.07,92.96,-12.39,-241.27
870,-0.01,-9.81,-3.01,133.91,-52.37,-267.82
880,-1.45,-10.95,-4.95,133.24,-63.54,-284.12
890,-3.27,-12.64,-5.30,114.07,-76.54,-295.04
900,-5.57,-14.44,-4.70,79.65,-91.37,-299.01
910,-7.20,-16.53,-3.01,37.72,-101.99,-288.33
920,-8.19,-21.59,-0.55,-16.54,-98.94,-222.53
930,-9.69,-22.63,0.08,-23.32,-88.56,-180.48
940,-10.53,-22.09,-0.11,-40.16,-84.29,-126.16
950,-9.67,-21.22,1.08,-61.71,-85.39,-61.22
960,-9.95,-19.78,2.67,-77.45,-94.91,-1.59
970,-9.56,-17.40,4.12,-92.22,-127.75,77.70
980,-8.53,-14.64,7.04,-79.22,-137.94,107.12
990,-8.20,-13.47,8.77,-69.09,-148.99,124.76
