timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.67,-3.55,10.97,-37.54,-165.04,-61.65
10,-2.28,-4.75,12.09,-44.62,-158.87,-68.97
20,-1.26,-5.47,13.08,-45.35,-147.28,-71.72
30,-1.77,-7.35,13.35,-41.56,-141.85,-66.96
40,-1.95,-8.47,13.72,-34.61,-136.17,-62.74
50,-1.70,-10.07,15.56,-8.24,-117.00,-50.29
60,-1.41,-12.93,19.83,-15.81,-104.43,-36.99
70,-1.59,-14.06,21.20,-25.02,-89.17,-20.75
80,-1.87,-14.60,22.13,-38.70,-70.92,-5.13
90,-1.95,-14.76,22.66,-50.29,-55.18,10.31
100,-1.89,-14.44,23.27,-60.67,-39.86,28.38
110,-2.50,-12.49,23.76,-89.78,-4.09,69.52
120,-3.18,-10.80,23.08,-108.09,10.13,85.57
130,-3.26,-8.84,21.99,-124.27,22.52,96.62
140,-4.11,-6.34,21.53,-135.01,36.25,103.33
150,-4.87,-4.91,20.87,-135.62,48.40,106.38
160,-4.93,-0.90,22.46,-132.87,71.66,99.98
170,-5.67,0.14,21.14,-133.85,77.33,92.96
180,-6.39,1.05,20.85,-132.02,85.57,81.60
190,-6.85,2.59,20.71,-126.77,100.52,70.98
200,-7.30,3.63,20.56,-112.37,122.38,58.84
210,-7.32,4.71,19.99,-62.07,169.31,41.50
220,-7.63,6.10,18.29,-28.02,187.93,37.48
230,-7.59,6.10,17.64,5.07,205.38,31.49
240,-7.21,5.91,16.73,32.17,220.58,20.69
250,-6.46,5.47,15.64,50.72,232.42,6.10
260,-5.95,4.92,14.21,62.99,239.69,-24.60
270,-3.85,4.21,11.81,85.69,246.52,-38.21
280,-2.80,3.81,10.66,98.33,245.79,-47.91
290,-2.17,3.25,9.76,108.34,243.96,-53.71
300,-1.60,2.60,9.01,114.14,241.46,-55.79
310,-1.60,2.06,7.98,115.91,237.37,-54.99
320,-0.58,1.72,5.20,123.72,223.82,-49.26
330,-0.22,2.08,4.13,132.32,218.75,-42.42
340,-0.07,2.31,3.37,144.10,213.13,-35.64
350,0.23,2.54,2.84,156.56,206.60,-32.71
360,0.26,2.52,2.56,166.75,198.49,-34.24
370,0.37,2.24,2.35,171.08,178.65,-41.93
380,0.53,1.74,1.60,163.27,166.26,-43.58
390,0.53,1.72,1.09,150.39,155.46,-43.09
400,0.48,1.85,0.63,137.15,144.35,-42.85
410,0.38,2.02,0.18,125.98,130.31,-43.88
420,0.18,2.29,-0.74,100.10,110.90,-46.14
430,0.04,3.33,-2.07,93.08,105.65,-46.63
440,-0.44,4.39,-3.13,85.51,96.44,-49.38
450,-0.86,5.48,-3.78,86.49,85.27,-56.70
460,-1.20,6.21,-4.25,101.26,74.52,-71.66
470,-1.50,6.21,-4.52,125.67,67.14,-123.54
480,-1.86,4.33,-4.23,173.65,52.37,-135.93
490,-1.82,2.86,-3.66,186.46,41.44,-154.24
500,-1.71,1.21,-3.10,185.91,30.94,-169.07
510,-1.56,-0.38,-2.62,170.78,21.12,-179.99
520,-1.41,-2.33,-2.28,143.43,10.01,-187.19
530,-1.19,-6.32,-3.11,70.86,-3.85,-190.61
540,-0.76,-8.21,-4.15,41.93,-5.49,-189.39
550,-0.47,-10.37,-4.97,27.40,-8.12,-187.74
560,-0.13,-12.84,-5.45,27.22,-11.72,-186.16
570,0.58,-15.39,-5.70,35.77,-16.42,-182.62
580,1.88,-18.18,-5.27,53.34,-31.68,-155.15
590,2.02,-22.13,-4.67,55.85,-41.26,-129.03
600,3.45,-23.20,-4.22,56.58,-51.33,-91.06
610,4.26,-23.60,-3.64,56.76,-60.91,-54.02
620,4.34,-23.69,-2.87,58.35,-70.68,-19.35
630,4.39,-22.85,-1.97,56.09,-88.07,36.93
640,4.44,-20.51,0.03,36.32,-96.31,56.88
650,4.28,-19.08,1.02,24.90,-104.86,70.31
660,4.03,-17.54,2.58,15.87,-115.11,77.82
670,3.61,-16.23,4.33,9.52,-122.74,80.63
680,2.89,-15.04,6.53,6.84,-127.26,80.57
690,1.65,-13.30,10.93,19.78,-123.54,74.40
700,1.38,-12.59,13.05,30.27,-113.53,69.52
710,1.23,-12.10,14.68,40.59,-99.30,65.00
720,1.26,-11.53,16.05,48.22,-80.20,62.26
730,1.41,-10.78,16.97,51.21,-59.63,63.60
740,1.38,-9.95,17.35,47.67,-23.32,73.36
750,1.42,-7.76,16.87,41.44,-3.42,75.26
760,1.59,-6.56,16.15,30.52,16.05,73.97
770,1.74,-5.11,15.31,14.71,33.57,70.74
780,1.55,-3.81,14.18,-4.39,48.65,67.20
790,1.13,-2.44,12.60,-43.09,77.03,52.19
800,0.47,0.44,9.12,-54.57,89.05,40.47
810,0.13,1.78,7.29,-61.95,99.24,27.83
820,-0.23,3.04,5.49,-63.48,107.54,15.63
830,-0.58,4.29,3.85,-59.14,113.16,3.85
840,-0.97,5.19,2.29,-49.07,116.33,-32.29
850,-1.23,5.29,-0.14,-18.07,117.13,-50.84
860,-1.68,4.58,-1.15,-4.52,111.94,-68.30
870,-1.68,3.52,-2.06,1.16,108.15,-89.84
880,-1.28,2.24,-3.05,-0.92,102.54,-111.39
890,-1.00,0.97,-4.02,-8.79,93.81,-130.19
900,-0.25,-2.04,-6.05,-30.27,74.65,-155.21
910,0.57,-3.74,-6.90,-41.93,64.88,-161.80
920,1.17,-5.47,-7.65,-52.06,53.41,-162.48
930,1.73,-6.90,-8.43,-60.61,40.89,-157.47
940,2.03,-7.92,-9.09,-67.81,26.12,-147.64
950,2.31,-8.74,-9.60,-66.96,-13.24,-120.61
960,2.68,-9.86,-9.73,-57.19,-33.26,-105.41
970,2.54,-10.38,-9.32,-41.02,-53.28,-90.21
980,2.14,-11.10,-8.72,-21.97,-73.18,-75.99
990,1.82,-12.02,-7.89,-1.71,-91.80,-63.54
