timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.32,-1.45,10.09,-11.11,-20.26,24.23
10,1.84,-1.91,9.56,-13.73,-19.10,18.62
20,2.04,-3.08,9.35,-20.32,-20.94,14.59
30,1.85,-4.13,9.25,-45.84,-34.61,13.92
40,1.30,-4.24,10.24,-56.64,-37.29,21.97
50,0.97,-4.03,11.25,-59.27,-41.02,33.51
60,0.63,-3.47,11.85,-54.14,-46.20,47.18
70,0.36,-2.63,12.41,-43.70,-54.02,59.63
80,0.41,-1.74,13.24,-19.71,-74.46,73.12
90,0.08,-1.21,14.12,-9.28,-79.10,72.45
100,-0.53,-1.30,13.97,-7.63,-80.08,71.23
110,-1.08,-1.23,14.00,-17.27,-79.04,73.18
120,-1.46,-1.05,14.22,-35.95,-76.66,77.58
130,-1.71,-0.76,14.67,-59.81,-54.99,82.40
140,-2.01,-0.03,16.06,-106.08,-48.71,79.90
150,-1.89,-0.44,17.08,-121.46,-34.61,75.26
160,-2.29,1.09,16.49,-135.56,-22.22,72.45
170,-2.29,1.22,16.79,-140.08,-4.09,75.44
180,-1.69,2.49,17.41,-144.29,7.45,75.81
190,-1.79,3.55,17.56,-143.01,31.62,67.69
200,-1.20,4.98,18.55,-138.12,49.01,63.96
210,-0.95,5.61,18.89,-127.38,66.16,54.38
220,-1.19,5.62,18.44,-113.95,82.28,40.89
230,-1.27,6.15,18.44,-107.30,99.24,30.94
240,-1.29,7.29,19.23,-98.21,130.49,17.46
250,-1.95,9.10,19.72,-85.21,146.24,9.09
260,-1.88,9.24,19.00,-67.32,169.74,-1.77
270,-1.66,8.88,17.78,-47.85,199.22,-17.82
280,-2.12,8.56,16.05,-30.40,226.75,-41.32
290,-3.04,7.94,13.68,-1.40,272.03,-94.36
300,-4.94,7.15,8.99,-8.73,292.36,-117.68
310,-5.81,7.02,6.28,-12.88,308.29,-136.96
320,-5.82,7.31,4.10,-22.71,320.74,-155.46
330,-5.64,7.69,2.61,-37.78,329.65,-174.44
340,-5.28,7.88,0.95,-54.08,332.28,-227.91
350,-5.04,7.74,-2.39,-88.81,318.24,-262.45
360,-5.49,7.52,-3.64,-106.51,307.68,-299.87
370,-5.91,6.88,-4.87,-120.06,294.43,-332.64
380,-6.30,6.16,-6.08,-129.33,279.24,-359.01
390,-6.49,5.36,-6.96,-137.94,259.52,-379.82
400,-6.76,2.93,-7.76,-140.69,205.32,-408.75
410,-6.56,1.27,-6.95,-128.97,168.40,-418.82
420,-6.31,-0.99,-5.99,-97.72,124.57,-428.65
430,-6.01,-3.58,-5.67,-46.20,76.17,-439.33
440,-5.75,-6.39,-6.27,13.31,22.89,-450.26
450,-5.74,-9.72,-7.47,100.65,-72.75,-454.35
460,-5.91,-16.12,-7.35,110.23,-106.69,-440.80
470,-6.57,-18.76,-5.80,105.96,-134.09,-415.28
480,-7.27,-21.41,-4.34,96.92,-157.17,-379.27
490,-8.15,-24.60,-3.14,83.25,-177.43,-325.68
500,-8.48,-27.50,-1.52,59.14,-211.43,-152.16
510,-8.89,-28.31,2.55,-7.32,-212.59,-34.85
520,-9.36,-24.95,4.93,-41.38,-222.96,94.85
530,-9.10,-20.37,7.91,-66.77,-239.62,225.22
540,-8.64,-16.02,10.78,-75.56,-265.26,339.42
550,-8.57,-12.05,12.74,-69.76,-296.14,434.88
560,-8.92,0.22,20.62,-47.12,-307.25,558.59
570,-6.68,9.46,26.01,-14.40,-286.93,579.04
580,-0.11,18.42,30.66,52.06,-245.67,559.88
590,7.81,23.21,31.70,134.58,-204.22,501.28
600,13.63,22.15,27.89,196.11,-177.31,395.02
610,14.55,17.93,15.94,160.10,-58.65,96.74
620,10.01,16.70,15.19,68.36,51.09,-20.02
630,8.95,15.89,14.35,-19.47,135.25,-94.18
640,8.49,14.68,12.15,-79.71,183.04,-146.73
650,7.51,12.65,9.72,-109.50,211.36,-195.13
660,6.06,10.04,7.23,-108.03,240.91,-283.57
670,2.53,4.94,2.84,-95.21,237.06,-315.61
680,1.38,2.33,2.08,-74.58,222.90,-332.03
690,0.38,-0.62,0.60,-44.86,192.08,-336.18
700,-0.36,-3.06,-0.50,-3.11,154.05,-342.83
710,-0.86,-5.16,-1.66,42.79,110.47,-358.64
720,-2.83,-8.89,-4.62,104.43,3.36,-361.27
730,-3.49,-11.21,-5.77,110.17,-51.21,-362.18
740,-4.30,-13.36,-5.84,101.75,-95.28,-363.28
750,-5.87,-15.32,-5.19,79.96,-134.58,-361.69
760,-7.48,-17.26,-3.93,53.10,-166.32,-346.80
770,-9.74,-21.00,0.73,-4.64,-218.93,-260.50
780,-10.59,-22.01,3.19,-18.43,-239.75,-196.35
790,-12.01,-21.98,4.71,-18.01,-255.55,-120.54
800,-12.57,-21.38,4.98,-10.56,-264.95,-36.99
810,-12.53,-20.22,4.67,-6.96,-270.75,46.02
820,-12.25,-18.74,4.34,-38.27,-282.35,166.08
830,-12.29,-15.42,5.87,-73.06,-285.64,202.64
840,-11.92,-13.99,8.44,-109.74,-285.16,232.67
850,-11.68,-12.53,11.59,-133.91,-283.63,259.46
860,-11.81,-11.40,14.00,-138.79,-282.59,288.88
870,-11.46,-9.98,16.65,-129.64,-275.33,360.66
880,-11.05,-6.12,19.53,-105.10,-267.46,398.56
890,-10.24,-2.15,21.61,-95.76,-246.89,431.03
900,-7.17,2.77,23.95,-79.28,-208.92,449.65
910,-2.12,6.68,24.99,-47.42,-158.63,444.27
920,3.44,7.50,23.06,-7.81,-107.79,405.94
930,8.49,4.65,15.95,32.59,-7.32,222.41
940,6.73,3.88,12.17,21.18,40.65,118.47
950,4.49,2.87,9.62,-8.97,82.95,44.19
960,3.14,2.06,7.81,-48.40,110.17,5.74
970,3.76,1.19,9.86,-84.53,117.43,-9.52
980,2.48,0.63,8.63,-99.24,72.81,-25.63
990,1.98,-0.89,8.58,-84.59,61.28,-30.46
