timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.44,0.57,15.68,2.56,-41.44,125.79
10,-1.84,1.10,14.63,5.92,-41.20,115.54
20,-1.14,3.38,15.51,21.73,-40.65,81.24
30,-1.88,4.94,18.10,24.96,-38.09,76.97
40,-1.89,5.35,20.46,18.43,-37.90,78.49
50,-2.54,6.64,21.90,1.22,-32.41,76.05
60,-2.99,7.83,22.74,-19.23,-19.53,68.36
70,-3.41,8.84,23.08,-34.42,10.31,42.97
80,-4.10,9.52,22.96,-34.24,32.59,26.92
90,-3.67,9.04,23.23,-23.32,61.22,9.22
100,-3.25,8.08,23.15,-14.04,93.20,-6.04
110,-2.61,6.91,22.70,-11.23,122.38,-16.36
120,-1.99,6.05,21.48,-13.79,144.23,-22.34
130,-1.09,4.71,19.59,-25.76,174.07,-26.61
140,-0.83,4.14,18.61,-34.36,180.05,-28.69
150,-0.68,3.51,17.34,-43.03,182.50,-31.92
160,-0.56,3.02,16.11,-52.12,186.89,-34.97
170,-0.25,2.82,14.67,-57.25,192.81,-38.45
180,-0.61,2.25,12.61,-50.05,200.87,-43.95
190,-0.54,0.37,11.45,-48.46,209.35,-49.01
200,-0.15,0.97,10.10,-47.85,213.81,-54.50
210,0.09,0.86,8.82,-41.08,215.45,-54.20
220,-0.23,0.93,7.83,-31.07,217.83,-51.51
230,-0.16,0.93,7.04,-8.06,218.38,-52.06
240,-0.16,1.11,5.11,-0.06,213.50,-54.99
250,0.13,1.05,4.49,5.31,206.91,-58.78
260,0.29,0.79,4.00,4.03,197.94,-61.58
270,0.36,0.57,3.53,-3.17,186.95,-63.11
280,0.41,0.47,2.98,-13.92,172.79,-62.07
290,0.28,0.58,1.68,-31.80,139.04,-60.67
300,0.15,0.54,1.12,-34.36,124.88,-59.33
310,-0.01,0.39,0.54,-32.90,113.40,-58.78
320,-0.08,0.27,0.14,-28.56,103.88,-59.69
330,-0.03,0.18,-0.11,-22.34,96.13,-60.97
340,-0.06,0.08,-0.67,-8.36,83.31,-60.67
350,-0.08,0.14,-1.16,-1.16,77.45,-60.49
360,-0.07,0.22,-1.58,6.16,71.23,-59.81
370,-0.10,0.47,-1.77,11.66,64.70,-58.11
380,-0.31,0.40,-2.02,17.52,57.25,-56.76
390,-0.44,0.26,-2.06,12.45,39.00,-61.28
400,-0.27,-0.00,-1.63,5.74,25.70,-64.94
410,-0.35,-0.42,-1.57,1.95,10.80,-68.54
420,-0.37,-1.01,-1.51,0.85,-2.14,-72.20
430,-0.08,-1.80,-1.42,2.32,-12.76,-75.01
440,0.44,-2.60,-1.13,5.19,-31.49,-73.97
450,1.54,-4.09,-0.22,13.18,-37.48,-69.03
460,2.06,-4.99,0.32,16.78,-41.99,-61.89
470,2.80,-5.82,0.83,19.23,-46.39,-52.49
480,3.49,-6.58,1.52,20.63,-51.15,-41.26
490,4.08,-7.18,2.28,22.09,-56.82,-29.91
500,5.18,-8.62,4.50,26.86,-70.68,-9.16
510,6.03,-9.97,5.98,25.33,-78.61,-0.61
520,6.93,-11.29,7.75,16.78,-83.68,4.21
530,8.35,-11.89,9.50,6.41,-85.57,7.69
540,10.10,-11.93,10.56,-4.03,-90.15,15.63
550,11.53,-11.23,12.43,-35.40,-89.42,56.21
560,12.87,-9.20,13.40,-46.88,-82.58,82.76
570,12.70,-7.78,14.18,-54.32,-73.24,106.51
580,12.13,-5.92,14.84,-58.47,-63.23,127.69
590,11.00,-4.03,15.15,-57.68,-55.60,148.56
600,9.60,-1.69,15.42,-35.16,-34.42,181.15
610,6.08,3.54,16.47,-14.53,-21.18,188.90
620,4.47,5.80,16.45,5.55,-8.12,186.16
630,3.22,8.00,15.98,20.20,7.63,172.30
640,2.06,9.81,14.96,25.51,25.63,151.06
650,1.17,11.49,13.24,21.24,39.55,96.98
660,-0.45,14.38,8.38,1.77,46.20,64.39
670,-0.81,14.92,6.32,-1.10,40.95,27.04
680,-0.61,14.65,4.73,-0.98,32.53,-13.73
690,-0.46,13.73,3.23,2.99,20.75,-54.57
700,-0.15,12.19,2.18,13.67,8.67,-92.59
710,0.36,7.86,1.93,44.31,-11.54,-150.45
720,0.68,5.44,2.26,54.26,-18.74,-163.57
730,0.60,3.58,2.38,55.60,-23.99,-165.22
740,0.24,2.21,2.09,50.96,-27.04,-159.36
750,-0.11,1.14,1.33,42.66,-29.66,-151.67
760,-0.19,0.43,0.59,33.81,-45.90,-143.31
770,-0.14,-1.50,-0.10,38.09,-57.01,-141.54
780,0.26,-3.57,0.08,43.82,-65.25,-142.46
790,1.15,-6.02,0.38,49.07,-70.80,-145.45
800,2.45,-8.35,0.48,50.42,-76.60,-145.51
810,4.22,-10.56,0.71,46.20,-91.80,-116.21
820,6.64,-15.16,2.71,26.61,-104.37,-96.98
830,7.63,-17.12,3.69,12.88,-120.00,-70.43
840,8.65,-18.10,4.15,0.73,-130.31,-36.38
850,9.64,-18.13,4.98,-15.99,-135.74,1.34
860,10.36,-17.50,5.88,-31.31,-140.87,88.87
870,9.40,-14.82,8.58,-66.89,-162.90,115.48
880,8.15,-12.75,10.00,-86.98,-173.95,147.40
890,6.29,-9.43,11.86,-98.69,-179.20,171.45
900,4.11,-5.08,14.33,-98.39,-178.47,193.18
910,1.61,-0.51,16.67,-85.82,-170.17,211.00
920,-0.90,5.96,19.90,-28.32,-124.94,215.82
930,-4.18,7.93,20.67,3.78,-92.71,195.31
940,-4.47,8.62,20.95,26.73,-61.95,164.55
950,-4.39,8.51,20.65,34.55,-39.12,130.25
960,-4.02,8.42,19.80,24.23,-26.55,97.23
970,-3.43,8.06,18.22,-5.13,-26.18,40.83
980,-1.51,6.86,15.80,-11.17,-26.18,22.52
990,-0.69,5.82,14.93,-11.17,-22.28,11.17
