timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.50,-2.78,5.88,-92.65,-119.38,96.86
10,-2.65,-0.92,7.87,-110.29,-123.11,95.34
20,-1.38,-2.26,9.48,-106.81,-126.89,98.75
30,-2.14,-2.23,8.79,-92.59,-113.65,101.07
40,-1.77,-1.17,9.07,-96.13,-103.58,109.19
50,-1.07,-0.08,10.81,-97.53,-99.85,106.08
60,-1.09,0.71,12.74,-92.83,-97.53,88.44
70,-1.47,0.87,13.79,-86.55,-89.54,65.31
80,-2.38,0.71,14.36,-90.58,-58.04,28.44
90,-2.63,1.63,18.27,-139.95,-30.09,19.23
100,-2.79,2.24,20.39,-161.50,-4.09,12.27
110,-2.78,2.64,21.65,-169.86,22.09,10.80
120,-2.66,2.81,21.42,-164.06,42.48,15.81
130,-2.39,2.59,20.59,-151.86,46.94,24.90
140,-1.40,3.06,20.31,-139.34,41.44,41.08
150,-2.30,3.76,19.96,-130.92,53.47,48.10
160,-3.04,5.23,18.33,-126.28,61.46,45.10
170,-1.11,5.09,18.72,-125.85,76.66,38.27
180,-0.37,4.28,18.66,-125.12,76.60,29.11
190,-1.99,5.96,18.76,-116.03,89.72,0.98
200,-2.93,5.60,16.25,-95.21,116.76,-13.85
210,-4.12,5.08,14.55,-72.57,148.44,-22.46
220,-4.00,4.77,12.01,-59.69,172.36,-13.00
230,-2.05,4.29,10.18,-62.99,189.27,-7.39
240,-0.55,4.46,9.54,-91.74,195.19,-40.59
250,-0.89,6.44,8.86,-93.57,179.50,-62.32
260,-1.42,7.21,8.46,-87.46,159.36,-76.84
270,-2.04,8.15,7.68,-76.35,149.05,-85.45
280,-2.09,8.31,6.37,-58.72,156.01,-92.10
290,-2.04,8.34,4.96,-41.50,170.78,-97.90
300,-1.34,7.57,2.81,-17.82,183.53,-111.88
310,-1.39,7.13,1.43,-7.69,178.77,-123.11
320,-1.35,7.10,0.13,-1.16,172.55,-133.61
330,-0.34,5.67,-1.13,6.59,159.73,-146.06
340,-0.21,4.89,-2.74,13.18,119.69,-162.17
350,-0.70,3.38,-3.44,-8.06,64.45,-179.02
360,0.10,2.50,-3.63,-13.18,64.33,-184.69
370,0.83,1.79,-3.93,-15.93,60.73,-188.35
380,1.54,1.53,-4.08,-19.71,48.16,-193.48
390,2.15,1.06,-3.53,-18.07,30.21,-201.17
400,1.99,0.27,-3.08,6.77,-20.51,-217.16
410,0.83,-3.26,-2.35,28.63,-33.63,-209.66
420,1.01,-6.29,-2.77,54.69,-50.05,-196.17
430,0.55,-8.28,-2.90,57.01,-72.81,-183.47
440,0.23,-9.71,-1.29,47.42,-85.82,-168.33
450,-0.31,-10.94,0.60,39.37,-114.14,-132.57
460,-1.98,-12.16,4.78,32.96,-122.07,-107.60
470,-2.98,-15.51,5.30,27.40,-132.45,-71.96
480,-3.15,-16.35,6.50,19.84,-135.68,-41.99
490,-3.98,-16.45,8.80,6.47,-128.36,-9.34
500,-4.45,-15.49,10.39,-7.63,-127.14,25.94
510,-4.77,-12.20,13.82,-16.97,-126.77,96.37
520,-4.73,-10.10,15.11,-18.13,-126.53,129.21
530,-4.91,-6.98,16.01,-18.92,-120.67,160.03
540,-4.67,-3.60,18.18,-19.47,-104.25,189.64
550,-3.46,0.14,19.52,-19.10,-88.44,216.00
560,-1.47,4.43,20.23,9.16,-48.58,225.65
570,2.00,11.29,18.77,28.75,-22.46,205.20
580,3.19,14.07,16.06,38.33,1.34,175.90
590,4.75,16.00,13.90,34.61,21.06,138.31
600,5.69,17.09,12.18,24.35,39.18,91.31
610,5.85,17.68,10.35,7.45,66.35,-5.62
620,6.11,16.77,8.08,7.51,66.71,-47.73
630,5.21,15.36,6.25,15.32,57.31,-85.88
640,4.67,13.79,4.48,31.19,48.52,-116.39
650,3.88,11.12,1.58,47.36,33.20,-140.69
660,3.51,8.19,-0.60,53.53,25.39,-165.59
670,3.95,3.72,-1.74,28.87,-3.60,-173.28
680,3.77,1.30,-1.47,16.30,-20.94,-179.99
690,3.22,-1.02,-0.84,6.96,-39.61,-183.17
700,2.26,-3.04,0.32,0.73,-60.18,-179.99
710,1.15,-5.03,1.74,-0.98,-80.51,-171.14
720,-1.84,-8.60,5.50,7.32,-120.97,-139.28
730,-3.00,-10.55,7.26,11.60,-137.88,-115.60
740,-3.80,-12.50,8.72,8.36,-148.50,-89.05
750,-4.18,-14.41,10.15,-4.76,-147.34,-63.23
760,-4.76,-15.69,11.29,-25.27,-137.39,-41.44
770,-5.38,-16.54,12.25,-73.85,-107.73,-2.62
780,-6.26,-16.68,14.60,-93.08,-94.24,18.98
