timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.90,1.95,12.90,-21.79,-78.31,51.57
10,-2.39,1.68,12.46,-12.27,-70.37,50.90
20,-2.39,0.55,12.47,-26.37,-67.87,58.84
30,-3.72,-0.22,10.38,-47.00,-70.80,64.64
40,-3.54,0.93,10.88,-77.51,-70.43,69.89
50,-3.23,2.47,12.45,-102.72,-64.70,68.66
60,-3.07,3.67,13.13,-114.01,-58.90,60.30
70,-3.09,4.03,13.38,-113.95,-52.06,46.14
80,-3.64,4.36,14.33,-112.12,-39.67,15.75
90,-4.24,4.50,14.76,-112.73,-31.37,3.05
100,-4.58,4.54,15.41,-112.67,-19.17,-7.32
110,-4.68,4.51,15.98,-113.40,-7.02,-13.43
120,-4.67,4.82,16.60,-114.14,3.60,-18.98
130,-4.66,5.82,18.02,-107.67,30.33,-32.04
140,-4.86,5.68,18.44,-98.45,42.24,-39.37
150,-5.05,5.62,18.53,-85.27,53.71,-45.78
160,-5.27,5.59,18.78,-70.92,67.02,-50.05
170,-4.70,4.05,16.95,-54.75,79.77,-51.94
180,-5.33,4.73,18.65,-19.53,98.14,-59.14
190,-6.11,4.34,17.60,-4.52,109.80,-65.98
200,-5.57,3.70,17.25,11.78,124.08,-68.48
210,-4.69,2.74,16.89,32.04,139.47,-73.49
220,-6.68,3.49,15.58,55.79,157.35,-87.34
230,-6.76,3.39,13.65,66.04,187.74,-88.38
240,-6.00,3.08,11.47,67.81,206.85,-92.22
250,-6.02,2.63,9.43,64.03,219.67,-94.12
260,-5.16,3.80,9.49,57.98,240.91,-104.49
270,-5.77,4.88,9.56,46.39,245.12,-109.80
280,-6.13,5.27,9.42,38.70,229.68,-101.20
290,-4.46,4.72,7.46,51.51,213.26,-96.44
300,-4.36,4.77,6.22,63.17,226.38,-111.39
310,-4.55,4.86,4.82,72.45,235.90,-125.92
320,-4.56,4.75,3.61,75.68,238.04,-134.22
330,-4.46,4.68,2.64,74.22,233.09,-137.39
340,-4.63,4.87,0.93,66.41,211.06,-134.40
350,-4.10,5.01,0.34,63.96,198.12,-134.03
360,-3.48,4.99,-0.22,60.42,186.46,-135.74
370,-2.89,4.96,-0.96,54.87,178.34,-138.55
380,-2.22,5.00,-1.88,48.16,170.96,-142.46
390,-1.44,4.93,-2.70,38.33,149.84,-159.91
400,-0.65,4.29,-4.12,35.95,137.08,-173.22
410,-0.69,3.51,-4.65,32.59,125.24,-185.06
420,-0.64,2.82,-5.06,30.40,115.05,-194.64
430,-0.77,2.18,-5.66,30.52,101.20,-201.35
440,-0.69,1.34,-6.25,29.72,82.58,-204.04
450,-0.25,-0.46,-7.00,27.83,40.95,-202.03
460,0.24,-1.44,-7.16,26.00,19.04,-198.06
470,0.75,-2.52,-7.43,25.76,-0.43,-195.01
480,1.41,-3.77,-7.61,27.16,-18.25,-192.81
490,2.06,-5.11,-7.96,29.79,-39.00,-191.35
500,2.74,-8.46,-7.91,31.98,-89.42,-192.44
510,3.66,-10.31,-7.13,29.79,-115.30,-193.85
520,3.66,-12.41,-6.35,28.02,-138.31,-194.64
530,2.52,-14.51,-5.18,26.67,-157.96,-194.52
540,0.33,-16.37,-2.24,23.32,-179.99,-189.82
550,-1.56,-19.83,0.19,32.47,-230.77,-147.46
560,-3.73,-22.83,6.59,37.96,-249.82,-113.65
570,-7.54,-24.52,8.92,41.14,-260.13,-63.23
580,-8.75,-23.96,11.35,32.96,-260.62,-8.73
590,-9.12,-23.15,13.02,21.55,-259.64,47.67
600,-9.13,-21.71,14.20,11.29,-245.18,124.51
610,-8.63,-18.66,16.16,-16.91,-224.43,140.62
620,-8.74,-17.02,17.32,-33.87,-201.35,149.66
630,-8.69,-15.18,18.68,-55.66,-181.15,160.52
640,-8.19,-13.18,20.14,-77.39,-159.36,174.80
650,-7.66,-9.69,22.49,-95.40,-133.73,191.59
660,-5.15,-3.49,23.81,-104.86,-92.83,232.24
670,-2.99,-0.43,24.18,-89.78,-52.80,244.45
680,-1.47,2.99,23.51,-74.71,-17.52,245.54
690,-0.25,6.10,21.96,-59.39,6.53,235.78
700,1.24,8.47,19.79,-43.21,30.70,216.43
710,2.43,10.30,15.90,-25.21,68.48,149.60
720,2.95,12.39,14.26,-25.33,78.80,109.31
730,4.69,12.36,15.02,-28.44,89.17,68.91
740,2.17,13.52,11.66,-35.10,87.77,31.92
750,2.81,12.11,11.02,-28.75,105.04,3.23
760,2.29,12.35,9.81,-18.74,92.90,-41.20
770,2.61,9.78,8.12,-4.27,85.94,-56.88
780,2.47,9.16,7.25,8.48,67.75,-72.63
790,2.58,7.99,6.47,22.71,49.38,-83.92
800,3.12,6.50,5.97,36.68,41.26,-94.18
810,3.50,5.33,5.53,47.30,41.08,-123.72
820,3.38,2.86,4.33,57.25,39.92,-138.98
830,2.89,1.61,3.90,59.08,37.54,-155.33
840,2.28,0.18,3.88,60.42,32.23,-173.77
850,1.36,-1.18,4.25,65.25,23.80,-195.56
860,0.00,-2.81,4.29,71.29,11.11,-214.97
870,-1.08,-6.30,4.58,76.23,-19.41,-230.65
880,-1.59,-8.21,4.51,78.49,-29.97,-231.02
890,-2.08,-10.01,4.24,78.19,-36.44,-230.41
900,-2.76,-11.63,3.51,71.23,-41.08,-227.05
910,-3.15,-13.06,3.37,55.79,-43.70,-218.51
920,-3.76,-14.18,3.30,12.45,-52.19,-186.52
930,-4.19,-15.82,4.15,-7.14,-56.21,-165.04
940,-4.38,-16.35,3.95,-23.19,-59.27,-139.40
950,-4.45,-16.57,3.84,-39.37,-58.84,-110.66
960,-4.69,-16.39,4.12,-58.59,-58.35,-79.77
970,-4.67,-15.68,4.94,-77.09,-65.00,-16.36
980,-4.97,-13.34,6.60,-80.02,-71.90,12.33
990,-6.17,-12.48,6.83,-65.43,-83.31,34.85
