timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.09,-5.96,8.04,14.16,-167.85,-71.96
10,0.15,-7.63,7.44,36.07,-164.25,-53.65
20,0.09,-6.67,8.72,48.95,-160.28,-43.33
30,-0.22,-7.62,10.00,74.22,-155.76,-40.77
40,-0.55,-8.83,12.29,96.44,-150.02,-38.21
50,-0.69,-10.39,14.01,105.35,-136.90,-29.11
60,0.08,-13.04,17.73,93.44,-118.41,-18.31
70,-0.61,-13.73,17.56,81.36,-109.19,-4.76
80,-0.56,-13.79,17.88,65.92,-101.87,7.57
90,-0.48,-13.84,18.80,52.00,-84.66,23.07
100,-0.96,-13.47,19.48,38.64,-48.10,53.28
110,-1.76,-12.15,19.68,10.62,-32.23,65.00
120,-1.93,-11.39,19.50,0.55,-21.12,73.00
130,-2.15,-10.55,19.25,-8.00,-8.85,77.27
140,-1.87,-9.88,18.90,-13.67,6.29,78.19
150,-1.62,-9.10,18.57,-18.19,21.24,77.88
160,-1.89,-8.13,16.82,-22.22,44.43,74.83
170,-1.35,-6.33,17.61,-24.17,49.99,69.40
180,-1.58,-7.38,17.27,-18.68,57.37,54.32
190,-1.61,-7.07,17.32,-16.54,66.04,48.52
200,-1.63,-6.68,17.10,-15.81,73.43,51.94
210,-1.77,-6.08,17.48,-18.86,92.16,59.20
220,-2.17,-4.42,17.69,-22.64,106.51,59.69
230,-2.63,-3.43,17.24,-27.34,121.22,58.47
240,-3.07,-2.62,16.80,-28.32,135.93,53.89
250,-3.53,-2.31,16.12,-23.74,151.49,45.53
260,-3.58,-2.02,15.25,-7.57,175.17,21.18
270,-2.25,-1.63,13.67,2.62,180.79,12.57
280,-1.45,-1.60,12.99,11.90,182.13,10.62
290,-0.91,-1.54,12.19,19.47,182.31,14.10
300,-0.69,-1.52,11.08,24.84,182.68,21.79
310,-0.50,-1.46,10.26,29.66,183.41,38.27
320,-0.24,-1.32,8.73,41.81,183.78,43.82
330,-0.06,-1.28,7.92,48.10,186.22,48.22
340,0.01,-1.27,7.00,53.22,189.39,51.94
350,0.19,-1.11,6.21,56.21,190.61,54.26
360,0.25,-1.05,5.43,58.78,188.42,54.75
370,0.27,-0.75,4.04,59.33,179.08,50.78
380,0.34,-0.66,3.48,57.50,174.38,46.94
390,0.45,-0.55,2.91,52.92,168.58,42.05
400,0.56,-0.41,2.51,45.29,161.38,35.46
410,0.57,-0.31,2.10,36.62,154.11,27.83
420,0.55,-0.19,1.68,18.55,143.37,13.31
430,0.47,0.09,0.92,10.74,138.98,6.71
440,0.32,0.30,0.44,3.60,133.97,1.53
450,0.27,0.62,0.04,-4.58,131.23,-2.44
460,-0.02,0.89,-0.43,-12.39,128.54,-7.57
470,-0.02,1.23,-1.07,-19.04,109.74,-23.93
480,-0.17,1.84,-2.06,-21.73,99.55,-33.14
490,-0.28,1.91,-2.55,-15.44,92.47,-42.60
500,-0.36,1.88,-3.00,-4.88,87.52,-54.20
510,-0.20,1.66,-3.13,8.73,81.48,-66.59
520,-0.15,1.30,-3.03,19.65,74.16,-76.78
530,-0.74,0.23,-2.91,19.65,59.57,-91.49
540,-0.89,-0.35,-3.24,8.73,51.21,-100.40
550,-0.95,-0.94,-3.57,-4.39,41.69,-110.90
560,-1.05,-1.79,-4.12,-14.04,29.42,-121.28
570,-0.88,-2.93,-4.57,-17.94,17.94,-131.04
580,-0.62,-4.73,-5.13,-9.16,0.18,-142.40
590,0.91,-8.85,-5.49,1.46,-5.49,-139.65
600,1.63,-11.10,-5.74,13.61,-12.33,-130.00
610,2.22,-13.40,-5.73,26.49,-22.52,-116.46
620,3.20,-15.51,-5.51,40.71,-33.45,-103.09
630,4.39,-17.18,-4.99,63.23,-52.19,-74.28
640,5.80,-20.36,-3.18,60.55,-62.68,-66.96
650,7.24,-21.27,-2.49,48.10,-77.88,-58.65
660,8.71,-21.41,-1.70,31.74,-89.84,-43.70
670,9.89,-21.55,-0.57,16.17,-98.63,-24.11
680,11.20,-21.86,0.75,1.40,-108.58,19.84
690,12.15,-21.38,3.71,-20.94,-123.41,45.78
700,11.35,-20.23,5.87,-27.16,-125.98,75.01
710,10.23,-18.97,8.36,-30.21,-128.91,105.35
720,8.91,-16.80,11.51,-30.82,-125.37,128.23
730,6.90,-15.20,14.28,-21.91,-126.10,147.77
740,3.11,-10.86,18.90,9.16,-106.45,169.43
750,1.85,-8.56,19.76,34.55,-82.52,169.56
760,0.80,-6.58,19.93,61.22,-50.84,162.66
770,0.36,-4.40,19.56,77.21,-17.09,150.45
780,0.18,-1.57,18.49,68.97,9.03,136.29
790,-0.15,2.40,16.83,15.99,26.79,110.47
800,-2.23,10.46,12.51,-3.66,35.22,88.50
810,-2.96,12.66,9.70,-8.42,50.90,51.15
820,-3.30,12.96,6.80,2.93,70.01,0.67
830,-3.39,11.44,3.89,23.01,85.02,-55.48
840,-2.99,8.77,1.21,57.68,90.70,-163.76
850,-1.72,1.11,-2.99,53.34,80.20,-205.08
860,-0.37,-2.89,-3.93,45.10,65.86,-234.62
870,0.80,-6.69,-4.85,33.57,47.61,-246.52
880,1.75,-9.59,-5.65,18.55,28.99,-240.11
890,2.28,-11.37,-6.22,4.09,12.57,-207.03
900,2.75,-13.90,-7.09,-10.74,-18.37,-184.27
910,3.34,-14.52,-7.23,-11.66,-27.16,-165.95
920,4.15,-14.89,-6.99,-12.94,-37.84,-148.32
930,4.44,-15.04,-6.66,-18.86,-53.71,-128.36
940,4.62,-14.86,-6.25,-24.90,-69.82,-107.06
950,4.96,-14.71,-4.81,-27.59,-99.49,-70.50
960,4.86,-14.08,-3.73,-27.34,-115.11,-52.19
970,4.49,-13.27,-2.46,-25.02,-129.09,-32.17
980,3.81,-12.31,-1.17,-19.96,-139.77,-13.00
990,3.12,-11.35,0.25,-11.47,-146.00,0.37
