timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.90,0.07,16.74,76.42,-113.95,15.38
10,-3.92,-0.40,16.33,61.89,-114.56,-0.92
20,-3.69,-1.08,18.02,47.24,-113.65,-15.26
30,-3.74,-2.30,19.31,36.99,-108.89,-23.74
40,-4.00,-3.03,20.48,22.58,-95.95,-24.84
50,-4.35,-3.98,22.75,9.22,-60.85,-16.60
60,-4.92,-5.74,24.12,10.25,-37.60,-11.96
70,-4.92,-6.49,24.65,11.23,-11.78,-6.59
80,-4.81,-6.93,24.61,9.52,15.01,1.71
90,-4.70,-7.28,24.12,6.35,40.83,11.47
100,-4.59,-7.69,23.50,-0.61,80.75,26.25
110,-4.19,-9.05,22.04,-3.11,97.53,30.27
120,-3.49,-9.73,21.86,-6.59,115.60,34.18
130,-3.09,-10.00,21.27,-12.02,128.11,42.18
140,-2.88,-9.90,20.34,-17.15,136.96,55.42
150,-2.77,-9.17,19.25,-21.73,143.62,85.63
160,-2.55,-7.27,16.64,-23.19,149.84,98.39
170,-3.38,-6.55,15.78,-19.78,155.27,105.16
180,-3.86,-5.34,14.87,-20.57,159.85,114.62
190,-3.94,-3.79,13.97,-22.40,163.64,117.86
200,-4.07,-2.26,13.24,-22.71,166.32,114.32
210,-3.74,-0.20,12.20,-18.31,171.45,98.63
220,-3.62,0.77,11.65,-19.23,172.24,91.74
230,-3.62,1.60,10.88,-20.51,171.94,86.67
240,-3.49,2.64,10.01,-21.73,170.90,81.91
250,-3.24,3.56,9.25,-19.59,169.37,75.07
260,-3.01,4.09,8.79,-2.14,164.55,53.34
270,-2.43,4.01,8.77,8.91,161.56,40.89
280,-2.08,3.45,8.88,18.19,159.18,27.89
290,-1.57,3.13,8.78,22.58,158.14,15.93
300,-1.28,2.86,8.45,23.25,157.78,7.26
310,-1.18,2.40,8.16,23.13,153.56,-2.14
320,-0.90,1.64,7.58,24.84,151.55,-5.37
330,-0.56,1.45,7.28,23.86,151.55,-7.63
340,-0.28,1.36,6.84,20.69,151.79,-8.18
350,-0.10,1.53,6.32,16.78,150.94,-8.06
360,-0.14,1.70,5.93,12.51,152.77,-7.81
370,-0.28,2.13,4.81,5.68,150.27,-10.99
380,-0.50,2.26,4.20,3.23,147.34,-15.32
390,-0.71,2.17,3.47,2.69,145.02,-21.61
400,-0.75,2.11,2.89,3.60,143.98,-29.30
410,-0.77,1.92,2.24,6.90,141.97,-37.54
420,-0.61,1.60,1.49,15.50,135.80,-51.03
430,-0.19,1.04,1.16,14.53,131.96,-55.60
440,0.08,0.99,0.62,10.07,128.11,-60.12
450,0.19,0.95,-0.07,5.92,123.66,-64.82
