timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-5.99,1.07,21.88,-67.14,-48.65,133.73
10,-3.28,1.64,23.86,-71.53,-19.53,129.52
20,-3.44,1.04,24.09,-86.36,-5.31,111.51
30,-4.46,2.67,25.14,-112.98,19.96,87.34
40,-4.45,3.42,25.17,-121.09,61.77,69.89
50,-4.70,4.26,24.00,-118.10,97.23,39.79
60,-4.64,5.73,22.17,-99.43,143.49,25.70
70,-4.45,6.44,20.98,-78.67,164.98,10.86
80,-4.29,6.84,19.04,-49.26,187.26,-4.52
90,-4.82,6.56,15.31,-16.36,208.25,-22.28
100,-3.97,5.89,13.81,16.97,238.46,-42.60
110,-4.03,6.05,11.46,42.36,272.16,-70.98
120,-4.86,7.03,9.42,40.95,268.43,-71.96
130,-4.58,7.62,6.33,34.73,249.27,-65.00
140,-3.58,8.01,4.40,37.48,237.55,-70.37
150,-2.98,8.10,3.61,47.30,239.56,-90.94
160,-2.71,7.98,2.21,58.41,267.52,-143.31
170,-2.93,5.87,-0.11,48.89,273.25,-169.56
180,-5.53,6.93,-3.08,23.07,270.20,-201.17
190,-6.36,7.70,-2.27,-6.16,270.02,-217.53
200,-4.35,5.36,-2.22,-8.42,255.19,-219.91
210,-3.28,4.00,-2.57,0.49,216.49,-223.02
220,-1.93,1.96,-6.10,41.44,202.09,-227.42
230,-1.00,0.47,-7.61,52.80,173.22,-232.12
240,-0.28,-1.24,-7.63,47.67,126.53,-241.39
250,0.26,-3.15,-6.71,40.41,80.69,-253.78
260,0.43,-5.25,-6.03,39.55,50.05,-263.85
270,0.25,-10.24,-6.35,49.44,14.40,-279.97
280,-0.18,-13.07,-6.34,46.81,-6.47,-284.73
290,-1.12,-15.81,-5.24,33.87,-33.63,-283.51
300,-2.21,-18.57,-2.80,25.70,-64.21,-271.73
310,-4.37,-21.48,-0.69,28.14,-96.98,-242.68
320,-6.86,-23.98,1.93,42.66,-157.35,-125.37
330,-9.53,-26.54,3.65,28.63,-187.07,-36.74
340,-9.51,-24.35,6.08,3.48,-213.44,61.22
350,-9.53,-20.64,9.59,-16.85,-231.45,160.28
360,-9.76,-15.83,12.89,-25.33,-246.09,246.77
370,-9.34,-10.76,16.30,-23.68,-250.55,352.29
380,-3.57,2.06,22.15,-22.34,-215.45,358.22
390,-0.43,7.37,23.99,-20.20,-158.02,330.14
400,4.13,11.44,23.20,-17.52,-89.36,271.48
410,6.11,12.39,20.68,-11.84,-16.30,196.47
420,5.58,12.86,18.60,-14.34,52.12,42.42
430,5.11,12.96,14.93,-38.64,146.00,-3.23
440,5.56,12.07,12.07,-32.59,175.17,-35.64
450,5.85,10.96,8.01,-18.62,188.72,-66.89
460,5.52,9.33,3.68,-3.05,188.42,-98.14
470,5.38,7.14,1.02,3.54,172.30,-129.70
480,4.83,2.26,-2.50,6.23,120.73,-181.70
490,4.40,-0.37,-3.62,8.73,89.23,-199.71
500,4.85,-2.65,-3.94,18.37,57.62,-214.90
510,4.07,-4.37,-3.82,31.74,25.09,-228.33
520,2.79,-5.93,-3.74,49.99,-7.02,-239.44
530,1.80,-8.03,-3.50,97.53,-72.81,-249.69
540,-0.57,-11.75,-2.58,120.12,-108.52,-250.92
550,-2.55,-14.12,-2.87,141.30,-141.66,-252.99
560,-4.65,-16.74,-2.99,144.35,-167.91,-251.89
570,-6.86,-19.26,-1.80,120.12,-185.12,-242.49
580,-9.11,-21.25,0.57,32.47,-196.66,-175.29
590,-11.72,-24.13,5.08,11.11,-191.59,-115.78
600,-11.70,-24.84,5.39,-5.55,-186.46,-42.66
610,-11.34,-24.36,4.87,-21.85,-187.38,36.74
620,-10.87,-22.36,4.80,-46.63,-197.51,115.17
630,-10.49,-19.62,6.13,-74.58,-217.16,249.15
640,-9.09,-10.52,12.98,-99.00,-258.61,291.93
650,-6.37,-4.50,16.85,-86.67,-260.80,312.68
660,-2.94,0.46,18.70,-58.23,-241.09,297.30
670,-0.07,2.54,18.96,-28.81,-201.11,248.23
680,1.24,2.87,18.69,-15.87,-149.17,173.52
690,1.20,0.86,17.63,-42.24,-35.58,38.70
700,-0.12,-0.03,16.23,-58.17,8.36,9.03
710,-0.40,-0.55,14.23,-71.84,35.34,-3.48
720,0.11,-1.51,13.27,-80.26,52.12,-7.26
730,0.28,-1.85,12.31,-82.34,59.81,-5.80
740,0.24,-2.18,11.70,-63.48,48.03,-1.10
750,-0.17,-3.66,9.29,-41.56,33.08,3.17
760,-0.54,-4.47,8.55,-23.93,15.08,8.00
770,-1.13,-4.93,8.58,-12.27,-3.30,13.55
780,-1.42,-5.21,8.84,-2.87,-17.21,21.06
790,-1.46,-5.09,9.12,3.48,-24.78,32.35
800,-0.85,-4.29,9.05,2.32,-19.29,32.29
810,-0.53,-3.81,9.01,-3.97,-11.66,27.16
820,-0.19,-3.63,9.11,-9.58,-1.46,18.37
830,-0.25,-3.68,8.73,-10.99,8.00,7.39
840,-0.30,-4.17,8.12,-10.99,14.53,-2.14
850,-0.35,-4.57,8.44,-18.19,18.31,-12.63
860,-0.32,-4.82,8.36,-14.83,19.17,-14.77
870,-0.32,-5.05,7.74,-7.45,18.49,-14.34
880,-0.22,-5.34,7.09,-1.40,14.59,-12.33
890,-0.04,-5.42,7.12,-0.61,7.51,-9.95
900,-0.05,-5.36,7.36,4.03,-2.99,-6.10
910,-0.16,-5.48,7.34,6.84,-5.25,-4.70
920,-0.28,-5.46,7.46,6.10,-6.41,-3.78
930,-0.34,-5.32,7.70,2.93,-6.29,-2.87
940,-0.35,-5.26,7.92,0.06,-5.00,-2.38
950,-0.37,-5.10,8.06,-1.53,-3.54,-2.75
960,-0.40,-5.04,8.13,-1.04,-3.91,-3.48
970,-0.45,-5.03,8.19,-1.53,-4.15,-4.27
980,-0.51,-5.05,8.32,-2.81,-4.39,-5.00
990,-0.59,-5.12,8.46,-3.42,-4.46,-5.37
