timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.17,-5.23,13.44,-12.08,-128.05,71.53
10,-3.11,-5.46,13.59,-18.07,-122.50,75.38
20,-2.41,-4.01,14.85,-20.32,-109.25,89.48
30,-4.01,-4.02,16.67,-14.28,-99.91,101.20
40,-4.52,-3.64,18.13,-12.33,-89.29,106.81
50,-4.87,-3.00,19.51,-15.69,-78.86,110.05
60,-5.34,-2.19,20.31,-25.27,-68.12,114.32
70,-5.90,-1.09,20.48,-36.80,-40.28,120.42
80,-7.19,1.46,20.72,-48.40,-23.07,121.52
90,-7.63,2.66,21.16,-48.22,-2.93,119.20
100,-7.52,3.79,21.74,-49.50,17.58,112.73
110,-7.62,4.78,21.87,-58.72,33.75,105.16
120,-7.94,5.64,21.41,-72.69,44.31,96.25
130,-7.74,7.14,20.36,-92.96,62.62,66.71
140,-7.43,7.73,19.73,-96.07,69.70,49.50
150,-7.40,8.27,18.94,-94.67,75.38,34.12
160,-7.46,8.00,18.65,-90.27,82.15,20.63
170,-7.42,9.04,18.94,-86.85,89.97,9.34
180,-7.36,8.15,17.79,-73.00,116.21,-19.59
190,-6.79,8.16,16.81,-67.50,126.34,-34.61
200,-6.70,7.96,16.15,-63.84,135.56,-47.36
210,-6.37,7.81,15.37,-60.73,146.06,-60.00
220,-6.00,7.55,14.57,-56.76,156.01,-71.41
230,-5.61,7.24,13.77,-36.38,174.26,-89.05
240,-4.93,6.08,12.24,-38.64,183.11,-97.17
250,-4.41,5.49,11.29,-32.23,191.65,-104.49
260,-3.71,4.96,10.33,-23.80,198.49,-110.29
270,-2.99,4.45,9.64,-14.65,203.37,-112.98
280,-2.38,3.96,9.04,-7.81,206.24,-112.85
290,-1.45,3.25,7.67,-6.71,204.10,-106.87
300,-1.06,2.85,7.08,-8.42,197.75,-102.97
310,-0.67,2.60,6.66,-11.96,189.76,-100.04
320,-0.16,2.33,6.51,-16.72,183.04,-98.33
330,0.33,2.02,6.17,-22.71,175.72,-96.92
340,0.82,1.92,4.89,-37.11,163.33,-91.37
350,1.43,2.21,4.12,-42.79,159.30,-86.00
360,1.50,2.54,3.38,-46.63,156.31,-80.02
370,1.52,2.88,2.77,-49.74,152.04,-75.07
380,1.41,3.07,2.40,-51.03,145.26,-72.45
390,1.30,3.08,2.18,-50.42,122.25,-75.32
400,1.38,3.11,1.90,-50.54,111.82,-79.28
410,1.32,2.96,1.87,-52.61,102.84,-82.58
420,1.34,2.95,1.73,-57.31,93.75,-85.75
430,1.33,2.89,1.43,-61.71,84.05,-89.05
440,1.34,2.79,0.97,-65.80,69.46,-90.27
450,1.12,2.46,0.10,-70.13,64.88,-88.26
460,1.14,2.41,-0.31,-65.55,60.67,-84.84
470,1.03,2.31,-0.57,-56.76,55.54,-80.32
480,0.83,2.24,-0.79,-43.95,49.01,-75.68
490,0.59,2.01,-0.51,-29.79,42.24,-72.75
500,0.43,0.97,0.51,-11.41,20.45,-73.91
510,0.51,0.62,0.82,-10.50,7.20,-75.50
520,0.32,0.13,0.99,-12.21,-4.21,-76.84
530,0.18,-0.27,1.10,-12.63,-13.31,-78.00
540,0.36,-0.80,1.22,-12.45,-18.80,-77.03
550,0.71,-1.00,1.22,-6.65,-20.75,-71.72
560,0.55,-1.24,0.97,0.12,-21.61,-69.34
570,0.57,-1.49,0.84,5.68,-25.33,-68.42
580,0.45,-1.70,0.76,7.69,-32.23,-68.12
590,0.42,-2.13,0.58,4.88,-40.65,-69.27
600,0.48,-2.33,0.78,-3.42,-64.21,-72.88
610,0.96,-3.38,1.01,-4.58,-77.15,-72.39
620,1.41,-3.82,1.75,0.79,-90.45,-70.68
630,1.88,-4.23,2.42,8.24,-102.60,-66.47
640,2.17,-4.82,3.41,13.12,-109.74,-58.35
650,2.31,-5.41,4.52,15.87,-115.36,-43.09
660,2.88,-6.62,6.91,14.16,-125.67,-35.52
670,3.13,-7.38,8.23,9.03,-129.09,-26.49
680,3.69,-7.95,9.56,3.54,-132.75,-16.36
690,4.30,-8.26,11.21,-0.55,-136.11,-5.19
700,4.83,-8.47,12.87,-2.62,-139.65,6.16
710,5.33,-7.69,17.33,0.18,-134.95,27.95
720,6.42,-9.40,18.72,3.60,-138.31,43.21
730,5.66,-8.20,19.20,-2.38,-136.35,50.60
740,6.25,-6.73,19.93,-13.67,-104.92,57.62
750,7.51,-5.02,22.04,-11.96,-64.33,72.75
760,7.67,-3.58,23.12,9.95,-30.33,111.33
770,5.88,0.13,22.48,15.93,-19.59,122.38
780,4.91,2.29,22.40,15.63,-3.48,127.69
790,3.85,4.30,22.27,7.08,11.60,127.99
800,2.65,6.10,21.61,-9.89,19.35,123.05
810,1.52,7.86,20.17,-28.99,18.98,95.28
820,0.10,10.54,16.12,-48.34,24.48,74.10
830,-0.12,11.08,14.45,-45.72,33.63,50.42
840,-0.22,11.00,12.80,-36.87,43.09,26.73
850,-0.20,10.68,11.06,-24.54,51.27,4.15
860,-0.04,10.06,9.53,-10.07,57.98,-15.99
870,0.35,7.98,6.79,15.44,64.33,-50.29
880,0.69,6.75,5.58,22.16,63.23,-63.48
890,0.92,5.59,4.35,25.39,60.00,-72.51
900,1.06,4.55,3.00,26.61,55.48,-77.21
910,0.99,3.65,1.61,27.10,49.74,-78.92
920,0.94,2.92,-0.58,33.45,31.92,-78.74
930,0.77,1.83,-1.12,38.21,20.39,-78.55
940,0.60,1.23,-1.46,43.76,7.02,-79.65
950,0.34,0.42,-1.53,48.65,-6.10,-82.34
960,0.22,-0.64,-1.03,52.73,-20.26,-86.85
970,0.28,-1.86,-0.28,55.73,-56.09,-94.48
980,0.79,-4.12,1.42,52.98,-69.89,-92.29
990,0.90,-5.08,2.25,47.49,-79.65,-87.40
