timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.92,-3.25,11.97,-221.19,-153.99,-4.88
10,-3.11,-3.16,10.14,-202.64,-120.30,-27.47
20,-4.44,-3.73,10.57,-185.85,-95.64,-48.16
30,-6.49,-3.83,12.20,-177.55,-84.11,-60.42
40,-7.35,-4.64,14.07,-154.72,-75.93,-59.02
50,-7.91,-5.52,15.43,-95.83,-58.23,-35.95
60,-8.47,-4.76,15.73,-78.98,-42.72,-24.23
70,-8.36,-4.21,16.76,-72.45,-28.38,-17.64
80,-8.53,-3.62,18.41,-69.64,-15.14,-16.97
90,-8.69,-3.32,19.98,-64.03,-0.55,-20.26
100,-8.89,-3.38,20.71,-42.79,44.25,-28.75
110,-8.92,-3.56,21.03,-31.49,70.43,-31.13
120,-8.96,-3.47,21.04,-19.53,97.35,-31.31
130,-9.18,-3.30,20.44,-8.06,122.62,-30.52
140,-9.36,-3.45,19.57,4.33,147.40,-26.67
150,-9.16,-3.22,16.57,12.82,200.99,-15.44
160,-8.02,-3.49,18.21,37.41,234.99,-12.27
170,-9.70,-3.07,19.19,47.06,254.27,-14.10
180,-10.76,-2.80,20.24,46.51,257.39,-6.29
190,-10.98,-3.07,20.54,21.30,235.23,18.68
200,-9.54,-2.27,20.31,-3.17,211.98,44.25
210,-8.63,-0.68,17.99,0.98,233.52,67.81
220,-8.35,0.13,16.28,16.17,269.96,64.70
230,-8.50,0.56,13.92,30.76,304.38,57.01
240,-8.69,1.34,11.66,38.51,331.36,47.12
250,-8.55,1.95,9.12,41.02,349.73,37.60
260,-8.40,2.42,3.78,27.22,359.07,14.16
270,-7.74,3.67,1.70,10.13,358.64,0.06
280,-7.51,4.22,0.76,-9.52,353.58,-16.24
290,-7.05,4.45,-0.79,-25.15,347.90,-34.61
300,-6.47,4.88,-2.46,-36.62,351.07,-52.25
310,-6.17,5.55,-4.47,-54.87,348.57,-90.64
320,-4.72,6.82,-7.41,-54.26,328.74,-106.45
330,-4.06,7.36,-8.96,-43.82,296.69,-123.47
340,-3.46,7.50,-9.93,-21.67,257.75,-142.76
350,-2.71,6.91,-11.12,6.16,216.37,-160.83
360,-1.64,6.08,-12.08,37.96,179.14,-188.29
370,0.74,2.85,-14.13,101.20,112.37,-201.23
380,2.12,0.30,-15.34,124.51,81.12,-216.06
390,3.18,-3.04,-16.88,140.87,54.08,-233.95
400,3.82,-6.88,-18.05,143.68,35.10,-254.70
410,3.83,-10.85,-18.54,128.54,20.69,-274.78
420,2.95,-18.45,-16.71,71.17,-5.00,-294.68
430,-0.49,-22.12,-15.02,45.96,-20.02,-284.24
440,-1.90,-25.97,-12.76,27.16,-44.07,-253.36
450,-4.42,-28.21,-10.14,12.02,-84.47,-197.63
460,-8.40,-28.59,-5.27,-0.92,-137.21,-114.56
