timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.74,-1.23,12.66,-48.22,-49.74,60.24
10,3.24,-0.09,12.55,-49.07,-38.76,51.82
20,3.13,0.34,11.89,-40.47,-30.33,41.87
30,3.03,-0.29,11.06,-32.23,-32.96,32.90
40,2.63,-0.20,11.45,-24.41,-49.44,30.40
50,3.05,-0.84,12.53,-16.24,-52.86,31.74
60,2.91,-1.13,12.34,-9.95,-51.82,33.02
70,2.75,-1.26,12.38,-11.23,-50.11,35.22
80,2.91,-1.21,12.82,-20.20,-50.11,38.33
90,3.09,-0.97,13.66,-33.45,-42.11,36.19
100,3.02,-0.57,15.29,-63.17,-35.16,32.65
110,2.91,-0.34,16.26,-77.58,-26.86,30.52
120,2.81,0.09,17.35,-87.59,-16.05,29.42
130,2.58,0.37,17.96,-91.06,-5.37,28.44
140,2.46,0.49,18.15,-92.47,2.01,28.20
150,2.50,0.88,18.40,-99.43,13.55,31.19
160,2.42,1.24,18.16,-103.45,24.72,30.82
170,2.64,-0.80,19.65,-106.14,38.02,28.50
180,1.71,1.31,17.80,-118.35,50.78,29.36
190,1.13,1.30,17.93,-126.22,70.01,25.94
200,1.59,1.08,16.34,-129.64,95.09,18.86
210,1.21,1.72,16.45,-131.96,101.38,21.00
220,0.63,2.19,16.28,-129.15,101.07,23.80
230,-1.03,3.29,14.94,-119.81,98.82,27.16
240,-1.88,4.16,13.22,-105.83,107.79,32.41
250,-1.02,4.87,12.52,-96.62,138.43,37.35
260,-0.05,7.72,12.60,-88.99,149.84,23.86
270,-0.99,9.13,10.98,-70.43,157.71,1.53
280,-0.95,8.51,9.28,-45.10,155.88,-23.86
290,-0.40,8.10,7.58,-33.69,138.06,-51.27
300,-0.86,7.95,6.52,-31.19,116.27,-109.13
310,-4.25,6.68,4.41,-43.64,116.82,-133.73
320,-4.63,6.64,3.91,-54.81,161.56,-147.22
330,-3.69,6.17,2.84,-61.16,205.20,-152.04
340,-3.47,6.51,1.33,-67.81,229.49,-154.72
350,-3.72,6.61,-0.25,-78.25,237.98,-162.78
360,-3.16,7.22,-1.88,-103.70,243.47,-185.18
370,-2.62,7.10,-2.88,-106.93,232.67,-201.17
380,-2.55,6.72,-3.95,-108.64,209.78,-222.41
390,-2.66,6.01,-4.63,-113.53,181.21,-246.40
400,-2.84,4.92,-5.14,-119.63,151.18,-268.13
410,-2.44,3.56,-5.13,-135.74,96.37,-299.26
420,-1.56,0.46,-3.68,-135.86,76.72,-310.61
430,-1.11,-1.34,-2.42,-126.28,57.56,-316.59
440,-0.58,-3.30,-1.24,-100.40,33.63,-313.96
450,0.10,-5.37,-0.70,-58.53,2.75,-304.50
460,0.85,-7.58,-0.45,-10.19,-75.13,-270.39
470,2.20,-11.82,0.15,64.76,-111.88,-249.45
480,2.38,-13.69,1.00,84.78,-139.28,-226.01
490,2.14,-15.15,2.59,92.71,-157.96,-198.00
500,1.39,-16.53,4.44,95.03,-169.25,-165.04
510,1.00,-18.06,5.86,95.95,-177.00,-127.01
520,0.73,-20.12,8.38,70.01,-179.57,-41.26
530,0.82,-20.03,9.91,44.43,-170.10,3.85
540,0.73,-18.97,11.23,17.88,-158.08,51.57
550,0.23,-16.99,11.88,-5.74,-145.69,104.31
560,0.46,-14.06,13.01,-27.95,-129.64,157.10
570,0.80,-10.30,15.69,-53.28,-111.88,244.32
580,1.24,0.17,17.44,-51.33,-101.99,270.57
590,2.02,6.59,19.42,-34.91,-84.29,282.04
600,3.65,12.94,20.77,0.73,-63.84,275.94
610,5.90,17.04,19.98,55.05,-42.66,248.60
620,7.98,18.03,17.23,128.97,-5.55,148.25
630,8.77,16.62,11.84,118.96,12.33,89.84
640,8.07,16.40,9.99,87.71,37.54,38.70
650,7.92,15.97,9.01,52.37,60.18,-1.22
660,7.96,15.50,8.37,25.57,80.81,-37.96
670,7.23,13.97,6.67,10.44,105.90,-114.32
680,6.21,9.39,3.09,-0.55,113.59,-149.05
690,5.66,6.86,1.55,-3.85,121.03,-178.65
700,5.11,4.43,0.07,-6.84,120.73,-202.39
710,4.77,2.08,-1.18,-8.54,111.88,-220.15
720,4.38,-0.05,-1.89,-7.93,94.42,-233.58
730,3.85,-3.88,-1.72,9.52,40.89,-247.62
740,3.28,-5.76,-1.73,29.72,8.12,-249.15
750,2.83,-7.60,-1.20,50.29,-29.97,-249.82
760,2.06,-9.88,-0.23,70.74,-71.84,-250.98
770,0.94,-12.39,0.95,91.13,-109.92,-254.27
780,-0.54,-14.86,2.16,111.33,-165.16,-247.74
790,-4.26,-19.91,4.79,106.63,-183.23,-223.08
