timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-6.39,-15.58,14.67,-76.42,-93.75,-14.65
10,-6.20,-14.96,15.04,-35.22,-92.53,1.71
20,-6.09,-14.88,15.52,-10.80,-95.46,18.49
30,-5.83,-14.70,15.79,9.09,-89.36,33.69
40,-5.47,-14.34,16.16,22.09,-80.44,50.72
50,-5.38,-13.87,16.77,27.89,-71.84,67.38
60,-5.55,-13.15,17.53,10.99,-51.03,94.67
70,-6.82,-11.75,17.71,-4.52,-38.51,101.07
80,-7.44,-11.04,17.98,-19.04,-26.25,102.54
90,-7.67,-10.55,18.45,-28.93,-14.40,101.38
100,-7.75,-10.51,19.07,-35.22,-4.64,100.28
110,-7.75,-10.74,19.77,-28.99,15.20,111.39
120,-7.79,-10.79,19.88,-21.12,32.71,122.74
130,-7.23,-10.28,21.04,-18.37,57.19,134.77
140,-7.21,-9.53,21.20,-18.01,75.81,145.02
150,-7.48,-8.74,20.68,-20.20,85.69,152.89
160,-8.38,-8.29,20.20,-19.17,107.06,157.41
170,-7.81,-6.14,20.47,-27.10,130.07,154.97
180,-7.51,-5.23,20.29,-26.61,145.87,151.31
190,-6.82,-4.29,20.37,-29.11,163.02,147.95
200,-6.64,-3.34,19.06,-28.69,169.86,144.84
210,-6.42,-1.80,17.58,-25.21,173.58,140.38
220,-5.87,0.23,15.10,4.82,189.27,134.70
230,-5.83,0.95,14.21,27.71,197.08,134.46
240,-5.66,1.49,13.38,52.19,203.80,134.34
250,-5.33,2.12,12.65,70.56,208.56,132.57
260,-4.94,2.69,11.97,80.99,211.61,128.42
270,-4.84,3.01,11.13,80.99,215.45,116.15
280,-4.53,3.52,9.86,73.06,215.82,108.76
290,-4.30,3.75,9.08,61.28,214.11,99.43
300,-4.09,4.14,8.07,49.19,211.91,88.26
310,-3.99,4.09,7.15,38.09,210.94,76.84
320,-3.72,4.02,6.34,28.50,212.52,56.03
330,-3.17,3.97,4.44,8.91,212.04,50.54
340,-3.17,4.06,3.27,-0.61,210.02,47.91
350,-3.20,4.18,2.14,-7.26,206.97,45.90
360,-3.27,4.42,1.20,-10.62,204.04,43.15
370,-3.15,4.65,0.34,-11.11,201.23,40.10
380,-3.35,5.05,-1.11,-4.82,197.39,32.23
390,-3.67,5.25,-1.73,-2.62,195.43,24.29
400,-4.13,5.09,-2.16,-2.99,193.30,10.68
410,-4.67,4.69,-2.97,-9.52,187.56,-10.07
420,-4.97,4.41,-4.01,-21.55,176.03,-39.73
430,-4.71,3.16,-5.44,-47.49,140.01,-110.96
440,-3.12,2.55,-6.05,-59.45,119.02,-141.11
450,-2.33,1.62,-6.52,-68.12,98.63,-163.57
460,-1.96,0.33,-7.10,-71.96,81.73,-178.65
470,-1.68,-1.11,-7.55,-69.34,68.12,-189.09
480,-1.38,-2.45,-7.94,-39.92,40.65,-202.94
490,-0.56,-5.61,-7.47,-22.58,25.09,-204.90
500,0.13,-7.46,-7.04,-8.48,9.22,-203.67
510,0.63,-9.41,-6.48,1.10,-4.88,-198.91
520,0.86,-11.26,-6.00,6.41,-18.49,-189.64
530,1.09,-13.22,-5.54,12.88,-31.62,-167.18
540,1.90,-17.54,-4.43,43.82,-51.70,-152.95
550,2.61,-19.81,-3.64,63.60,-58.23,-134.70
560,3.73,-21.75,-2.71,81.97,-61.58,-112.18
