timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-4.10,-9.41,15.49,-8.54,-163.33,-31.56
10,-3.73,-10.38,17.31,-0.31,-150.09,-28.99
20,-4.22,-11.39,19.24,8.42,-137.82,-14.10
30,-4.01,-12.10,21.13,17.58,-114.32,5.00
40,-3.98,-12.02,22.55,22.46,-88.62,34.73
50,-4.16,-11.28,24.47,13.55,-49.56,42.11
60,-4.52,-10.43,25.06,-1.53,-31.56,49.74
70,-5.09,-9.68,25.46,-18.92,-10.25,55.11
80,-4.80,-8.70,25.60,-37.54,10.38,55.36
90,-5.15,-7.78,24.84,-57.74,28.32,53.28
100,-4.94,-5.95,23.44,-92.96,63.60,45.35
110,-4.36,-5.54,22.62,-102.23,78.12,42.60
120,-4.20,-5.12,21.45,-105.16,92.04,41.56
130,-3.80,-4.76,20.45,-100.59,107.06,42.42
140,-3.39,-4.25,19.67,-90.03,120.91,45.35
150,-3.12,-3.79,19.12,-61.83,141.17,54.69
160,-3.10,-2.99,18.62,-53.65,147.16,57.43
170,-3.03,-2.68,18.24,-52.25,151.43,57.56
180,-3.58,-1.83,18.92,-53.41,152.28,54.20
190,-3.61,-2.61,18.01,-53.22,157.17,47.73
200,-3.08,-2.12,17.83,-60.85,167.05,28.32
210,-2.74,-2.28,16.20,-60.36,177.49,19.47
220,-2.31,-2.06,15.05,-54.08,188.72,12.39
230,-1.63,-1.59,14.04,-43.33,199.52,9.95
240,-1.36,-1.05,12.81,-30.21,208.80,14.71
250,-1.34,-0.43,11.85,-19.23,216.80,22.71
260,-1.87,0.95,9.46,-9.83,223.02,33.39
270,-2.14,1.61,8.13,-8.79,221.31,32.10
280,-1.90,2.18,7.09,-7.75,217.96,26.25
290,-1.61,2.71,6.19,-6.71,213.38,17.15
300,-1.38,3.21,5.31,-6.41,206.73,8.48
310,-1.38,3.57,3.54,-3.85,193.12,-5.37
320,-1.04,4.23,2.77,-0.24,185.00,-12.57
330,-1.10,4.33,1.96,4.52,177.61,-19.35
340,-0.79,4.37,1.30,9.95,170.96,-26.49
350,-0.46,4.31,0.96,13.85,164.55,-33.94
360,-0.38,4.01,0.53,11.90,148.56,-50.11
370,-0.25,3.26,-0.23,6.35,140.01,-59.69
380,-0.12,2.84,-0.56,-0.85,130.86,-68.60
390,-0.01,2.58,-1.00,-7.08,121.09,-75.81
400,0.01,2.24,-1.34,-9.95,111.33,-80.87
410,0.00,1.87,-1.55,-10.50,101.81,-84.35
420,-0.25,1.46,-1.91,-8.06,84.72,-86.85
430,-0.37,1.37,-1.89,-4.88,78.92,-86.43
440,-0.66,1.16,-1.86,-2.62,73.61,-86.67
450,-0.96,0.79,-1.95,-1.89,67.20,-89.29
460,-1.16,0.25,-2.09,-1.83,58.53,-94.54
470,-1.14,-0.89,-2.57,1.59,39.18,-107.12
480,-0.93,-1.46,-2.74,5.74,29.24,-112.06
490,-0.71,-2.08,-2.83,10.68,21.30,-115.23
500,-0.47,-2.78,-2.93,13.85,15.08,-117.07
510,-0.05,-3.44,-3.04,15.26,8.73,-118.16
520,0.29,-4.03,-3.03,15.26,-7.63,-112.79
530,0.50,-4.98,-2.79,15.44,-16.54,-107.24
540,0.43,-5.49,-2.57,14.77,-25.15,-102.23
550,0.40,-6.02,-2.35,12.82,-33.87,-99.37
560,0.40,-6.60,-2.15,9.77,-42.79,-98.08
570,0.62,-7.14,-1.69,5.37,-62.38,-98.63
580,1.19,-8.57,-0.72,-6.71,-72.63,-99.12
