timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.20,-2.26,9.65,-53.16,-35.16,35.46
10,0.63,-2.92,7.40,-46.75,-44.07,32.71
20,-0.49,-2.52,6.57,-53.71,-53.34,25.39
30,0.68,-3.48,6.92,-77.94,-68.24,19.84
40,0.66,-3.01,7.96,-139.47,-80.93,14.65
50,0.63,-2.63,10.25,-162.41,-70.43,9.22
60,0.39,-2.77,10.84,-184.08,-50.96,1.89
70,-0.22,-2.67,10.71,-208.80,-27.83,-3.54
80,-0.79,-2.48,10.73,-243.96,-10.07,-5.19
90,-1.32,-1.53,12.05,-336.18,17.21,2.20
100,-1.75,2.22,16.93,-345.34,23.74,13.18
110,-1.84,3.53,18.94,-331.30,22.09,25.70
120,-2.41,4.31,19.98,-294.86,16.11,39.49
130,-2.72,4.90,19.87,-247.86,11.05,53.34
140,-2.34,6.17,19.84,-207.34,8.00,65.86
150,-0.29,10.76,20.49,-148.44,27.83,74.58
160,0.33,11.63,19.30,-114.20,44.68,56.09
170,-0.06,11.51,17.88,-87.40,61.65,24.96
180,-0.27,10.89,15.17,-73.06,84.84,-5.31
190,-0.68,10.99,13.60,-67.32,120.18,-29.91
200,-0.88,11.30,10.85,-73.06,146.24,-68.12
210,-0.72,11.22,10.18,-74.34,142.64,-90.15
220,-0.91,10.79,9.15,-68.05,137.51,-112.00
230,-1.15,10.07,8.13,-56.34,133.48,-127.38
240,-1.25,9.55,7.17,-43.58,133.00,-134.89
250,-1.39,9.26,6.01,-15.08,139.10,-144.53
260,-0.32,7.97,2.47,-0.24,153.26,-156.74
270,-0.08,8.53,0.97,8.54,152.53,-164.37
280,0.25,8.73,-0.23,15.75,141.24,-170.78
290,0.75,7.78,-1.65,24.66,117.61,-169.56
300,1.81,6.51,-3.16,37.48,74.16,-184.94
310,2.32,4.27,-4.27,50.78,62.26,-201.23
320,2.26,3.19,-4.20,50.60,50.54,-217.16
330,1.70,2.01,-4.12,52.49,37.29,-229.68
340,0.97,0.39,-3.92,56.34,21.73,-237.18
350,0.25,-1.30,-3.75,58.23,2.26,-237.98
360,-0.49,-5.39,-2.67,46.14,-41.50,-226.14
