timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.48,-0.70,14.50,-50.48,-131.77,47.36
10,-0.72,0.01,12.91,-36.44,-140.87,43.15
20,-1.41,-0.36,12.90,-11.11,-139.34,37.90
30,-0.41,-1.26,14.45,17.27,-123.60,34.12
40,-0.32,-2.01,16.10,35.77,-110.35,35.77
50,-0.50,-3.08,17.97,43.76,-94.18,57.62
60,-1.05,-3.34,21.34,34.97,-84.66,73.06
70,-1.75,-3.04,22.71,23.74,-70.62,87.04
80,-2.63,-2.63,23.84,12.57,-52.55,98.88
90,-3.76,-1.72,24.88,-1.04,-33.51,110.05
100,-4.90,-0.41,25.84,-14.40,-14.65,123.29
110,-6.76,2.21,27.07,-35.16,22.58,123.41
120,-7.54,3.15,26.98,-43.40,43.58,120.36
130,-8.02,4.01,26.44,-49.19,64.45,114.50
140,-8.21,4.72,25.66,-51.45,85.51,103.76
150,-8.29,4.92,24.66,-49.74,106.45,88.07
160,-9.14,5.12,22.71,-46.57,144.96,48.10
170,-7.23,3.82,21.33,-43.58,162.17,26.12
180,-6.08,3.65,20.12,-47.79,181.34,14.40
190,-5.72,3.53,18.13,-51.94,194.52,2.99
200,-5.19,3.76,16.39,-52.86,205.32,-4.94
210,-4.88,3.98,14.76,-38.76,222.78,-18.86
220,-3.72,4.18,12.76,-29.66,229.86,-25.82
230,-3.64,4.05,11.62,-23.32,234.25,-30.64
240,-3.27,4.29,10.46,-20.14,236.82,-33.39
250,-2.74,4.77,9.31,-17.15,234.80,-35.71
260,-2.29,5.26,8.24,-13.24,222.84,-35.10
270,-2.06,5.92,6.36,-1.59,215.58,-34.36
280,-2.06,5.88,5.66,3.54,208.01,-37.23
290,-1.90,5.82,5.07,7.08,200.99,-42.85
300,-1.70,5.60,4.55,8.73,193.73,-49.93
310,-1.47,5.31,4.08,6.41,186.40,-56.58
320,-0.86,4.75,2.90,-7.02,167.48,-70.07
330,-0.52,4.47,2.35,-13.43,158.02,-76.42
340,-0.44,4.09,1.92,-16.24,149.90,-82.40
350,-0.30,3.44,1.58,-14.77,142.09,-87.71
