timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.25,1.80,11.49,-44.07,-63.35,25.21
10,-0.35,2.14,11.36,-54.08,-57.31,20.02
20,-0.37,2.94,13.07,-57.86,-54.63,14.28
30,-0.18,2.44,11.91,-50.54,-51.70,9.95
40,-1.38,2.18,12.63,-44.49,-53.71,6.77
50,-1.75,1.96,12.55,-47.73,-50.78,14.16
60,-1.81,1.68,13.60,-52.25,-44.43,19.47
70,-2.22,1.50,13.40,-56.34,-38.82,24.72
80,-2.83,1.51,13.44,-63.66,-33.81,29.91
90,-2.92,2.41,14.19,-77.15,-29.72,36.62
100,-2.90,3.97,15.25,-92.47,-16.48,47.73
110,-2.84,7.81,17.75,-101.01,-8.85,47.24
120,-2.82,8.86,18.42,-85.02,-0.18,41.32
130,-2.68,9.20,19.04,-61.04,9.52,33.02
140,-2.63,9.37,19.37,-28.14,19.59,24.35
150,-2.86,9.46,18.67,8.00,28.63,14.95
160,-3.02,7.76,18.14,60.67,47.91,-2.75
170,-3.33,6.64,17.14,75.44,59.51,-15.99
180,-3.83,4.00,16.48,77.09,73.06,-26.43
190,-3.30,3.28,16.14,68.42,84.35,-36.07
200,-3.39,2.27,14.94,64.27,100.28,-43.09
210,-3.56,0.96,14.22,62.44,126.16,-59.51
220,-5.32,0.66,12.80,64.51,135.50,-62.01
230,-4.48,0.04,12.37,61.28,143.92,-60.55
240,-4.11,-0.15,11.55,60.24,148.50,-59.02
250,-4.05,-0.09,10.67,58.11,154.85,-57.01
260,-3.67,-0.95,8.99,50.84,195.31,-63.84
270,-3.90,0.14,9.17,40.41,206.54,-71.29
280,-4.52,0.32,8.90,37.78,206.48,-63.90
290,-4.59,0.46,9.28,38.76,203.00,-45.23
300,-3.32,-0.40,9.61,46.63,183.72,-22.83
310,-0.22,-5.09,5.76,62.19,151.12,-66.77
320,-5.56,4.67,5.48,106.69,132.51,-43.52
330,-2.01,2.69,5.42,112.98,144.35,-15.08
340,-0.69,2.77,4.99,103.70,176.03,-37.90
350,-1.97,3.45,4.21,97.11,201.90,-63.72
360,-2.49,3.73,3.19,86.73,218.32,-81.48
370,-2.77,3.43,1.44,48.40,205.20,-94.67
380,-2.15,2.86,1.28,25.76,187.93,-92.16
390,-1.27,2.85,1.20,10.31,177.43,-94.54
400,-1.05,3.73,1.39,2.50,173.40,-102.91
410,-0.77,4.39,1.01,0.92,167.79,-110.72
420,-0.36,4.66,0.31,9.28,141.05,-131.96
430,0.02,4.80,-0.48,15.99,124.02,-144.04
440,0.19,4.54,-0.74,24.41,107.97,-156.37
450,0.37,4.14,-0.76,31.37,95.46,-166.26
460,0.56,3.66,-1.03,38.09,86.98,-174.38
470,0.79,3.12,-1.82,52.86,74.77,-192.69
480,1.22,1.63,-4.46,55.97,61.83,-203.67
490,1.33,0.64,-4.97,53.22,42.05,-214.90
500,1.60,-0.45,-4.98,47.12,22.28,-223.82
510,1.87,-1.78,-5.04,41.26,5.86,-229.68
520,1.96,-3.06,-5.22,36.44,-7.87,-233.34
530,2.46,-5.32,-4.07,23.38,-39.12,-229.74
540,3.72,-7.38,-4.12,24.17,-58.90,-222.11
550,4.40,-8.43,-3.45,31.92,-71.84,-222.47
560,4.20,-9.64,-2.82,42.60,-93.20,-224.85
570,3.95,-11.54,-2.07,57.74,-111.15,-222.96
580,2.90,-15.54,-1.30,99.55,-149.72,-226.26
590,-1.90,-18.95,-0.75,108.52,-172.18,-223.82
600,-2.93,-22.28,0.75,96.01,-195.01,-207.03
610,-7.39,-26.02,2.49,65.00,-212.34,-173.03
620,-8.78,-27.58,5.71,18.62,-215.15,-127.08
630,-9.35,-28.11,8.81,-49.01,-211.36,3.30
640,-10.94,-26.20,12.38,-63.72,-220.34,74.83
650,-9.87,-23.00,13.63,-62.07,-225.83,134.09
660,-9.54,-20.83,15.28,-58.47,-213.20,185.85
670,-9.83,-17.23,17.29,-64.64,-211.55,234.92
680,-8.77,-12.45,20.11,-75.26,-194.03,309.88
690,-4.14,-1.79,24.91,-82.34,-164.55,317.93
700,-1.82,2.43,25.32,-72.88,-121.58,302.55
710,-0.07,6.01,25.35,-60.61,-68.05,266.97
720,1.18,8.40,24.45,-44.37,-12.70,218.38
730,1.28,9.74,22.57,-25.15,41.32,162.23
740,0.92,10.73,17.59,-1.77,129.21,66.83
750,1.25,10.26,14.70,2.20,152.40,32.35
760,1.05,10.19,12.36,-0.18,165.77,1.65
770,1.75,9.32,9.96,-4.70,167.36,-20.32
780,2.47,8.57,8.30,-10.13,162.54,-38.45
790,3.42,7.89,5.36,-15.32,143.43,-74.40
800,4.67,5.80,3.62,-9.28,133.18,-95.70
810,4.73,4.54,2.08,-2.99,121.64,-116.88
820,4.76,2.97,0.85,1.59,108.28,-135.25
830,4.48,1.45,0.14,5.86,94.85,-152.59
840,4.15,-0.20,-0.48,20.26,63.42,-187.01
850,2.48,-3.48,-2.20,28.99,33.20,-201.60
860,1.40,-5.01,-1.82,30.82,2.75,-218.81
870,-0.35,-6.56,-0.48,26.49,-30.76,-236.63
880,-2.25,-8.32,1.34,26.73,-66.83,-252.50
890,-4.11,-10.41,2.96,32.65,-96.50,-267.33
900,-6.32,-15.57,4.07,44.01,-121.34,-261.96
910,-4.58,-16.92,5.26,34.48,-114.32,-245.54
920,-7.20,-19.56,5.22,19.65,-102.84,-219.30
930,-8.85,-21.02,4.97,5.37,-78.25,-194.21
940,-8.67,-22.22,4.69,-19.90,-47.30,-154.36
950,-8.08,-22.40,3.55,-80.69,-42.24,-34.55
960,-7.75,-21.01,4.21,-110.90,-55.91,27.53
970,-7.35,-19.08,5.53,-129.21,-70.62,86.98
980,-6.61,-17.30,6.65,-128.30,-89.97,141.85
990,-6.57,-15.28,7.78,-113.77,-115.30,191.04
