timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.52,-2.13,10.01,-77.76,-38.09,12.63
10,-0.29,-2.89,9.50,-99.85,-49.01,12.76
20,0.76,-1.67,9.08,-124.51,-63.96,12.63
30,0.44,-2.22,8.67,-133.30,-91.19,26.12
40,0.15,-2.06,10.63,-132.14,-89.42,33.75
50,0.15,-1.37,11.79,-129.33,-82.95,44.74
60,-0.40,-0.73,12.68,-126.10,-73.43,55.73
70,-0.68,0.19,13.72,-121.46,-61.58,61.89
80,-1.01,1.03,14.89,-115.60,-50.48,63.05
90,-1.54,2.42,18.11,-108.64,-25.94,57.86
100,-1.36,2.83,20.27,-112.43,-10.44,50.05
110,-1.13,3.20,21.96,-129.39,1.65,42.48
120,-1.05,3.81,22.47,-154.24,9.52,36.99
130,-1.08,4.57,22.18,-175.66,18.01,32.53
140,-1.09,6.40,20.96,-186.65,49.80,23.25
150,-1.45,7.47,20.03,-178.53,67.44,22.22
160,-2.03,8.43,18.91,-167.60,85.82,21.73
170,-3.12,10.00,18.69,-156.01,100.77,19.47
180,-3.90,9.61,16.53,-143.68,114.50,10.19
190,-3.79,10.03,15.77,-129.03,135.56,-26.06
200,-3.41,10.91,13.23,-123.17,138.24,-39.67
210,-2.72,11.52,11.84,-117.74,139.77,-49.99
220,-3.68,10.42,11.06,-118.71,144.90,-58.23
230,-3.81,11.97,9.41,-118.41,149.48,-64.09
240,-3.63,11.76,8.23,-92.47,147.03,-78.55
250,-3.82,10.87,7.10,-43.33,149.11,-90.09
260,-3.26,10.48,6.47,-28.75,148.13,-101.56
270,-3.17,9.83,5.61,-19.78,146.48,-109.80
280,-3.14,9.27,4.77,-15.14,145.51,-117.31
290,-2.76,8.68,3.91,-9.46,142.15,-124.33
300,-2.67,7.32,2.64,3.48,131.59,-132.26
310,-2.60,6.52,2.26,6.77,125.37,-135.25
320,-2.52,5.53,2.01,3.85,117.43,-138.85
330,-2.55,4.72,1.20,-4.94,107.91,-142.27
340,-2.51,4.01,0.03,-11.90,98.88,-145.45
350,-2.36,3.35,-2.43,-1.22,86.06,-148.38
360,-2.16,1.89,-3.13,13.37,79.77,-146.42
370,-2.16,1.17,-3.78,28.81,71.17,-142.46
380,-2.24,0.52,-4.16,40.53,61.40,-138.00
390,-2.29,-0.16,-4.45,47.00,51.33,-134.70
400,-2.05,-0.85,-4.86,49.01,21.61,-125.18
410,-1.73,-1.92,-5.21,50.23,4.27,-117.13
420,-1.80,-3.04,-4.45,52.55,-12.15,-108.95
430,-1.57,-4.26,-3.45,54.57,-28.02,-101.81
440,-1.36,-5.30,-2.40,54.26,-40.95,-94.85
450,-0.99,-6.43,-1.08,53.22,-50.54,-80.32
460,0.25,-8.33,1.55,47.79,-67.75,-70.56
470,1.04,-9.15,3.01,44.07,-75.07,-58.90
480,2.10,-9.34,4.78,39.98,-80.75,-50.23
490,3.60,-9.31,6.51,36.99,-85.33,-41.50
500,4.91,-9.36,7.93,35.64,-86.67,-29.48
510,7.82,-9.31,11.84,43.46,-75.81,-3.54
520,9.05,-8.83,13.48,51.27,-70.43,13.18
530,9.88,-7.60,15.08,57.62,-59.39,36.62
540,10.14,-5.59,16.78,59.63,-41.44,64.82
550,9.32,-3.01,18.18,58.84,-24.05,93.44
560,8.30,-0.12,19.33,55.73,-2.50,131.23
570,5.82,6.18,21.37,53.16,6.65,133.48
580,4.24,8.70,21.85,50.96,15.69,123.66
590,2.96,10.32,21.65,44.01,24.78,101.93
600,2.17,11.15,20.94,27.71,33.94,68.73
610,2.05,11.29,19.53,10.38,45.96,-3.66
620,2.79,10.54,14.98,-2.14,52.98,-31.19
630,3.18,9.51,12.86,2.32,58.90,-51.57
640,3.60,8.61,10.77,10.74,61.95,-65.80
650,3.79,7.75,8.87,21.97,64.70,-73.97
660,3.41,6.90,7.20,32.47,67.20,-92.77
670,2.26,4.67,4.06,40.10,68.54,-81.05
680,1.70,3.66,2.40,38.76,63.54,-84.53
690,1.37,2.64,1.15,40.04,54.44,-88.01
700,1.21,1.62,0.30,40.77,43.58,-91.49
710,1.04,0.68,-0.50,35.46,32.04,-94.42
720,1.06,-1.07,-1.66,7.93,8.91,-97.11
730,1.31,-1.87,-2.38,-7.93,-7.02,-93.51
740,1.35,-2.41,-2.97,-18.55,-24.84,-86.43
750,1.35,-3.11,-2.99,-21.42,-41.81,-78.00
760,1.12,-4.10,-2.49,-18.49,-56.88,-70.86
770,1.24,-5.05,-1.43,-11.05,-75.44,-55.54
780,1.46,-7.11,-0.32,-16.24,-79.83,-45.59
790,1.57,-7.52,0.16,-26.12,-80.75,-34.61
800,1.94,-7.85,0.98,-38.27,-82.09,-21.36
810,2.18,-8.40,1.58,-54.81,-88.07,-7.57
820,2.82,-8.67,2.17,-74.65,-114.26,18.92
830,4.03,-8.98,3.67,-103.58,-121.40,35.95
840,4.72,-8.85,4.52,-107.79,-131.59,53.04
850,6.04,-8.73,5.70,-103.33,-139.40,68.60
860,7.24,-8.24,7.14,-92.96,-144.17,86.79
870,7.68,-7.92,8.44,-84.59,-146.24,111.76
