timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.72,-4.06,11.92,34.91,-80.08,26.67
10,0.78,-5.34,12.21,27.65,-66.77,36.74
20,1.99,-3.93,14.73,17.09,-74.46,43.70
30,1.14,-4.29,16.30,11.41,-80.38,54.32
40,0.95,-3.79,18.16,-3.23,-76.35,58.53
50,0.66,-3.00,20.08,-18.98,-70.37,59.39
60,0.04,-2.37,22.10,-35.77,-61.65,62.56
70,-1.11,-0.74,24.88,-68.18,-30.82,62.99
80,-1.59,0.45,25.20,-76.97,-6.04,63.48
90,-2.06,1.47,25.36,-73.18,25.70,63.23
100,-2.22,2.17,25.20,-61.04,59.63,60.85
110,-2.13,2.70,24.56,-48.89,90.58,57.01
120,-1.53,3.31,22.54,-39.98,136.23,48.34
130,-1.06,3.48,20.81,-46.08,149.48,42.05
140,-0.93,3.63,18.67,-54.20,157.17,35.16
150,0.57,2.51,15.30,-57.68,160.83,28.87
160,-0.87,3.68,14.98,-57.62,158.20,26.67
170,-0.79,3.17,14.22,-49.68,169.74,12.88
180,-0.91,3.09,12.57,-45.35,169.62,4.70
190,-0.80,3.25,11.90,-45.59,169.86,-4.33
200,-0.55,3.51,11.10,-45.41,169.56,-14.28
210,-0.36,3.77,10.31,-44.98,168.58,-23.93
220,-0.39,3.99,9.63,-44.31,165.41,-37.29
230,-0.85,3.94,8.02,-39.61,165.77,-43.27
240,-0.87,3.87,7.13,-35.52,167.05,-50.11
250,-0.74,3.81,6.31,-29.30,166.81,-55.54
260,-0.51,3.81,5.81,-21.18,165.41,-59.14
270,-0.42,3.70,5.35,-15.26,163.45,-76.78
280,-0.48,3.63,4.30,-12.70,158.20,-66.28
290,-0.64,3.87,3.53,-13.18,153.69,-68.24
300,-1.02,4.22,2.59,-13.98,148.80,-69.40
310,-1.35,4.85,1.63,-14.53,143.80,-70.50
320,-1.90,5.26,0.83,-13.06,136.66,-72.63
330,-2.64,5.36,-0.00,-6.96,117.55,-85.33
340,-4.36,4.70,-0.29,-3.97,106.81,-99.06
350,-4.98,3.77,-0.50,-0.31,98.02,-116.82
360,-5.25,2.74,-0.74,4.88,90.64,-136.84
370,-5.11,1.81,-0.92,10.50,83.68,-157.23
380,-4.71,0.85,-1.04,21.00,66.59,-185.30
390,-3.29,-1.83,-1.50,22.22,54.14,-188.54
400,-2.72,-3.45,-1.89,20.08,40.83,-182.13
410,-1.93,-5.10,-2.52,20.57,29.42,-168.88
420,-1.17,-6.59,-3.04,22.28,16.42,-152.22
430,-0.33,-7.65,-3.80,25.45,-13.92,-115.11
440,1.45,-10.07,-4.85,40.89,-27.71,-99.55
450,2.54,-11.50,-5.05,50.17,-39.98,-88.01
460,4.06,-12.73,-4.70,55.05,-50.90,-78.55
470,5.83,-13.86,-3.69,54.57,-63.60,-68.66
480,7.68,-14.98,-2.21,49.74,-79.35,-57.37
490,11.17,-16.03,1.68,17.88,-106.38,-21.85
500,12.11,-15.38,4.06,-8.91,-116.03,6.90
510,12.63,-13.38,6.89,-39.86,-124.76,45.59
520,11.63,-10.58,10.21,-67.50,-135.93,88.50
530,9.25,-6.80,13.85,-80.32,-152.22,129.21
540,6.70,-2.44,21.22,-37.41,-149.35,180.11
550,2.02,6.13,24.65,2.87,-116.82,180.97
560,0.16,8.17,26.79,39.86,-72.51,161.93
570,-0.71,9.33,27.45,59.27,-26.31,123.84
580,-0.18,10.02,26.34,57.07,14.28,74.83
590,0.76,10.21,23.53,10.99,68.85,-17.15
600,1.76,8.68,15.29,-13.43,80.93,-56.03
610,1.92,7.67,11.07,-30.58,85.51,-89.17
620,1.47,6.13,7.42,-33.02,83.98,-113.77
