timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.66,-1.94,14.06,-8.30,-44.74,78.61
10,-2.51,-1.88,14.32,10.01,-34.48,78.67
20,-2.08,-1.92,15.14,34.00,-14.83,78.19
30,-2.86,-2.49,17.25,28.69,-6.71,83.86
40,-3.46,-2.48,18.36,13.37,-3.97,90.64
50,-3.70,-2.34,19.49,-6.53,-1.71,95.34
60,-3.86,-1.90,20.30,-27.77,1.71,96.74
70,-4.50,-0.80,20.69,-49.26,7.26,97.11
80,-5.12,0.37,20.42,-82.95,30.88,95.95
90,-5.16,0.89,20.72,-87.10,47.79,90.09
100,-5.22,1.37,20.60,-80.38,62.87,81.12
110,-4.55,1.02,21.47,-68.85,83.25,74.04
120,-4.34,1.09,21.71,-57.62,102.84,69.03
130,-4.14,1.36,20.86,-59.45,134.40,70.31
140,-4.08,1.81,19.94,-66.59,145.14,71.78
150,-4.09,2.33,19.14,-72.33,153.14,71.47
160,-4.15,2.60,18.42,-75.13,159.97,69.34
170,-4.22,3.05,17.32,-77.39,167.30,64.03
180,-4.84,4.58,17.23,-82.64,178.34,54.99
190,-4.54,4.85,13.57,-87.46,191.16,46.81
200,-4.45,5.94,12.15,-88.50,197.39,35.16
210,-4.32,6.55,10.92,-84.29,201.29,25.02
220,-4.05,6.94,9.88,-76.54,203.55,13.24
230,-3.64,7.44,9.08,-67.87,201.72,-10.19
240,-2.70,7.86,7.22,-47.36,200.44,-19.59
250,-2.52,7.93,6.49,-37.72,196.29,-28.50
260,-2.10,8.06,5.95,-29.42,190.31,-37.66
270,-1.77,7.95,5.47,-20.94,182.50,-47.06
280,-1.50,7.86,5.12,-15.87,175.05,-56.40
290,-1.08,7.44,4.48,-11.23,160.40,-73.30
300,-1.01,7.00,4.42,-10.99,154.91,-79.90
310,-0.90,6.67,4.27,-12.27,147.89,-85.02
320,-0.67,6.45,4.38,-14.04,140.01,-89.97
330,-0.51,6.07,4.01,-13.24,131.71,-94.73
340,-0.30,5.75,3.95,-9.22,125.61,-102.78
350,0.18,5.01,3.60,-6.41,125.79,-105.83
360,0.37,4.73,3.16,-3.17,127.81,-108.34
370,0.51,4.45,2.72,1.71,130.37,-110.11
380,0.50,4.06,2.07,6.90,130.80,-110.41
390,0.55,3.89,1.16,13.43,132.02,-108.83
400,0.41,3.68,0.41,16.72,130.49,-107.91
410,0.28,3.49,0.08,19.23,122.38,-107.97
420,0.09,3.29,0.01,19.53,112.06,-110.29
430,-0.02,3.03,0.05,16.30,100.52,-114.69
440,-0.12,2.66,0.11,9.83,87.77,-129.94
450,-0.12,1.75,0.01,-0.55,64.45,-139.59
460,0.04,1.24,-0.01,-0.98,55.54,-148.50
470,0.29,0.73,-0.12,0.92,49.19,-155.46
480,0.54,0.18,-0.31,4.70,45.72,-159.18
490,0.78,-0.30,-0.56,9.77,43.09,-159.30
500,0.80,-1.24,-1.23,28.08,36.99,-154.42
510,0.73,-1.64,-1.02,32.23,35.40,-152.04
520,0.44,-2.18,-0.96,32.04,33.39,-150.94
530,0.21,-2.68,-0.90,28.02,25.94,-151.73
540,0.06,-3.30,-0.67,20.94,13.37,-154.60
550,0.13,-3.87,-0.37,-1.59,-16.42,-161.13
560,0.20,-5.19,0.00,-14.59,-30.70,-162.96
570,0.30,-6.04,0.03,-25.09,-42.42,-165.16
580,0.71,-6.96,0.14,-30.82,-52.80,-166.14
590,1.22,-7.70,0.28,-31.98,-62.38,-162.48
600,1.44,-8.37,0.54,-30.03,-74.28,-139.16
610,1.52,-9.28,1.34,-23.19,-77.64,-127.81
620,1.50,-9.64,1.85,-22.40,-80.81,-117.43
630,1.43,-9.98,2.24,-23.38,-84.84,-108.52
640,1.67,-10.28,2.77,-26.00,-91.49,-101.07
650,2.03,-10.54,3.30,-30.33,-99.55,-92.96
660,2.25,-11.15,3.99,-39.37,-115.91,-71.84
670,2.54,-11.69,4.76,-37.72,-124.94,-61.52
680,2.67,-12.34,5.45,-33.08,-132.81,-51.94
690,3.01,-13.25,6.53,-25.57,-138.67,-42.48
700,3.51,-14.32,7.78,-15.56,-142.70,-32.29
710,4.46,-16.24,10.69,3.72,-140.56,-5.13
720,6.19,-17.04,12.20,7.51,-135.01,16.05
730,6.93,-17.22,13.16,4.70,-128.23,42.05
740,7.49,-16.65,13.99,-0.73,-120.12,67.93
750,7.71,-15.68,14.65,-2.75,-112.37,93.38
760,7.63,-14.44,15.47,0.31,-101.99,141.11
770,6.18,-10.69,18.57,-5.92,-97.72,161.32
780,4.84,-8.14,20.42,-17.40,-96.44,178.53
790,2.77,-5.01,22.36,-30.27,-97.17,190.31
800,0.88,-1.36,23.94,-39.06,-91.92,195.92
810,-0.89,2.29,24.74,-37.23,-44.49,179.63
820,-3.36,7.73,24.48,-11.84,-7.32,153.99
830,-3.69,9.13,23.17,-1.46,31.74,118.65
840,-3.13,9.79,21.18,-0.98,65.55,76.84
850,-2.25,9.79,18.37,-9.03,87.34,33.75
860,-1.24,9.44,15.08,-17.88,98.21,-5.62
870,-0.22,7.08,7.97,-27.83,103.21,-66.89
880,0.15,5.70,4.59,-23.25,96.62,-90.52
890,0.78,4.44,1.53,-8.24,81.36,-105.35
900,0.98,3.19,-0.58,14.22,62.56,-111.45
910,1.09,1.87,-2.09,43.03,44.56,-114.93
920,0.87,0.53,-3.62,97.29,18.31,-123.72
930,0.02,-2.95,-3.89,110.53,5.80,-133.67
940,0.04,-5.06,-4.56,114.20,-12.51,-150.02
950,0.51,-7.32,-4.93,108.83,-38.39,-167.42
960,0.75,-9.83,-5.09,99.85,-67.57,-180.79
970,1.43,-12.24,-4.61,82.58,-119.38,-190.98
980,2.47,-16.83,-2.39,74.65,-139.95,-182.98
990,3.60,-18.98,-0.31,67.57,-158.45,-157.53
