timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.85,8.54,9.55,-30.03,-6.29,0.92
10,4.38,7.70,8.68,4.33,0.61,-10.56
20,3.87,7.52,7.92,10.13,-2.62,-23.38
30,3.49,7.19,7.53,12.15,-1.46,-36.25
40,3.47,6.80,7.25,11.47,1.53,-45.96
50,3.41,6.38,6.87,9.95,3.05,-55.60
60,3.21,6.01,6.13,5.31,4.39,-73.73
70,2.83,5.21,5.80,1.95,3.48,-80.69
80,2.67,4.79,5.47,-2.26,1.89,-85.88
90,2.43,4.38,5.00,-6.23,0.00,-89.72
100,2.26,4.12,4.63,-10.44,-3.17,-91.98
110,2.38,3.90,4.51,-11.90,-17.64,-91.86
120,2.57,3.16,4.45,-7.87,-26.86,-92.65
130,2.39,2.60,4.19,-2.14,-34.61,-93.87
140,2.06,2.31,3.95,3.17,-41.02,-93.57
150,2.19,1.41,4.48,8.30,-47.79,-92.10
160,2.37,1.10,3.44,10.93,-56.70,-87.46
170,1.91,0.52,3.45,11.17,-69.89,-86.24
180,1.57,0.02,3.54,11.66,-78.55,-84.35
190,1.32,-0.32,3.79,11.35,-86.12,-82.46
200,1.03,-0.76,3.97,11.17,-93.20,-79.65
210,0.92,-1.28,4.15,10.74,-100.28,-75.81
220,0.63,-2.42,5.00,8.54,-115.66,-67.93
230,0.42,-2.96,5.65,7.51,-121.64,-63.78
240,0.33,-3.56,6.33,7.57,-126.34,-58.90
250,0.23,-4.17,6.83,8.36,-129.88,-54.32
260,0.13,-4.72,7.26,7.93,-132.57,-48.95
270,-0.06,-5.22,7.69,-0.55,-136.05,-36.74
280,-0.56,-6.10,9.57,-5.25,-137.02,-30.88
290,-0.97,-6.45,10.76,-7.20,-137.70,-24.60
300,-1.08,-6.53,12.15,-7.39,-136.47,-16.72
310,-1.13,-6.76,13.15,-3.97,-131.65,-7.63
320,-0.98,-6.93,13.99,1.83,-118.84,9.89
330,-0.59,-7.32,15.09,14.28,-114.07,18.49
340,-0.39,-7.39,15.81,17.33,-110.66,26.61
350,-0.30,-7.48,16.62,19.47,-106.99,33.87
360,-0.09,-7.63,17.39,23.25,-102.29,40.83
370,0.07,-8.00,17.81,30.33,-94.79,62.38
380,-0.05,-8.74,17.30,43.40,-74.22,57.50
390,-0.19,-8.73,17.04,42.48,-63.54,66.77
400,-0.43,-8.08,17.03,36.44,-54.38,81.12
410,-0.22,-6.97,17.34,28.69,-46.08,100.40
420,0.14,-5.50,17.50,23.99,-38.57,119.63
430,0.50,-1.87,17.63,25.21,-24.23,142.82
440,0.62,-0.23,17.64,27.89,-18.74,147.58
450,0.56,1.40,17.86,29.91,-13.12,149.78
460,0.55,2.87,18.30,31.25,-7.26,149.66
470,0.52,4.47,18.90,32.35,-0.92,146.91
480,0.65,5.85,19.54,36.87,20.20,132.45
490,0.40,7.49,20.00,37.72,33.39,121.64
500,-0.29,7.93,19.73,34.97,45.53,111.33
510,-0.22,7.89,20.00,32.35,58.35,102.60
520,-0.56,8.27,19.91,29.36,68.97,94.24
530,-0.53,8.41,19.43,27.59,78.55,78.86
540,0.07,8.52,17.22,24.23,102.78,67.26
550,0.38,8.38,15.71,21.73,111.76,51.45
560,0.29,8.01,14.11,16.78,117.92,32.04
570,0.30,7.37,12.67,7.63,123.78,12.02
580,0.05,6.70,11.61,-4.76,130.92,-7.39
590,-0.66,5.53,9.89,-24.17,146.00,-38.57
600,-0.86,5.11,9.11,-27.34,147.95,-48.58
610,-1.41,4.72,8.08,-26.98,144.71,-57.19
620,-1.07,4.38,7.59,-26.67,144.35,-66.47
630,-1.05,4.19,7.10,-25.21,141.72,-74.52
640,-1.10,4.06,5.47,-19.10,130.80,-88.07
650,-0.53,3.78,4.92,-17.33,126.16,-90.76
660,-0.39,3.26,3.86,-18.92,116.76,-92.22
670,-0.48,3.15,3.50,-25.63,105.04,-97.29
680,0.03,3.46,3.60,-27.77,105.29,-105.77
690,0.31,3.37,3.38,-4.09,102.72,-114.44
700,0.43,2.72,2.35,1.10,98.69,-118.35
710,0.42,2.33,2.23,0.37,95.76,-123.17
720,0.65,1.77,2.25,-0.67,89.78,-127.38
730,0.82,1.14,2.42,-3.42,77.70,-128.54
740,1.39,0.70,2.89,-8.73,60.67,-122.25
750,1.93,0.27,3.85,-11.05,23.25,-118.23
760,2.10,-0.25,4.03,-5.68,8.61,-115.30
770,2.09,-0.99,4.23,4.03,-3.23,-112.98
780,2.38,-1.86,4.56,14.59,-10.86,-110.72
790,2.80,-2.77,4.97,23.44,-16.72,-109.07
800,2.76,-3.60,5.49,34.00,-26.67,-108.58
810,2.29,-3.96,5.78,38.76,-31.56,-105.59
820,2.82,-5.52,5.77,38.82,-38.02,-106.87
830,3.16,-6.64,6.38,36.13,-44.31,-103.52
840,3.02,-6.97,6.95,34.00,-51.21,-93.99
850,2.75,-7.41,7.70,31.31,-61.89,-69.64
860,2.48,-7.84,8.87,31.31,-62.87,-57.80
870,2.48,-7.83,9.38,33.45,-59.94,-45.90
880,2.45,-7.83,9.46,37.17,-53.65,-35.46
890,2.49,-7.94,9.22,37.72,-44.98,-26.92
900,2.58,-7.88,9.05,31.19,-27.83,-15.63
910,2.67,-7.23,9.27,6.59,-23.74,-10.44
920,2.83,-6.82,9.67,-6.96,-21.06,-5.86
930,2.93,-6.16,10.02,-16.24,-18.62,-3.23
940,2.91,-5.54,10.01,-20.26,-17.03,-1.71
950,2.95,-4.98,9.90,-22.09,-14.59,0.67
960,3.21,-3.64,9.71,-21.55,-8.00,6.47
970,3.59,-2.87,9.32,-18.80,-5.19,7.02
980,3.82,-2.59,9.33,-14.77,-3.72,7.32
990,3.69,-2.18,9.22,-10.50,-4.39,6.90
