timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.37,12.36,11.12,-25.33,-20.32,93.51
10,3.80,12.83,9.49,-4.70,-13.92,72.20
20,3.95,12.00,8.35,13.43,-6.53,31.31
30,3.33,12.09,8.28,10.68,-2.38,13.24
40,3.61,11.96,8.14,7.26,3.17,-1.89
50,3.53,11.59,7.81,5.68,8.06,-19.65
60,3.29,11.05,7.38,5.37,12.51,-39.67
70,3.08,10.39,6.85,5.86,15.14,-75.68
80,2.60,8.79,5.98,6.65,14.40,-90.33
90,2.35,7.93,5.71,8.97,12.70,-102.97
100,2.00,6.95,5.27,13.73,9.70,-113.34
110,1.68,6.00,4.89,18.19,6.35,-121.03
120,1.42,5.08,4.54,21.67,-3.97,-129.94
130,0.76,3.29,3.89,26.49,-11.84,-133.00
140,0.41,2.49,3.69,25.63,-21.18,-134.52
150,0.07,1.73,3.59,22.09,-30.15,-133.73
160,0.37,0.83,2.78,16.42,-38.15,-131.53
170,-1.31,0.73,4.08,9.09,-52.37,-129.46
180,-0.53,-0.61,4.14,4.52,-60.12,-119.02
190,-0.28,-1.17,4.40,2.50,-68.30,-111.51
200,-0.05,-1.84,4.71,4.27,-77.21,-104.25
210,0.05,-2.39,4.90,8.97,-85.57,-96.25
220,0.25,-3.01,5.00,15.32,-94.06,-87.59
230,0.27,-3.54,5.59,29.54,-110.05,-74.22
240,-0.15,-4.70,5.74,35.22,-117.55,-70.43
250,-0.38,-5.34,5.57,37.90,-123.60,-65.49
260,-0.32,-5.95,5.57,34.48,-128.60,-59.27
270,-0.25,-6.49,5.86,26.06,-132.63,-53.34
280,-0.24,-7.06,6.40,9.28,-138.06,-44.68
290,-0.51,-8.27,8.03,3.78,-140.38,-40.34
300,-0.71,-8.94,8.71,0.73,-142.64,-33.87
310,-0.93,-9.39,9.22,-0.98,-143.31,-24.17
320,-1.01,-9.64,9.55,-2.44,-142.40,-10.68
330,-1.14,-9.74,9.73,-4.15,-141.36,18.13
340,-1.64,-9.56,10.70,-12.08,-140.99,31.86
350,-1.81,-9.35,11.55,-13.61,-140.93,44.31
360,-2.01,-9.31,12.30,-10.80,-140.32,55.36
370,-2.20,-9.22,13.11,-6.71,-139.34,65.73
380,-2.25,-9.15,13.88,-2.50,-137.57,76.72
390,-1.95,-8.69,15.42,6.96,-131.04,98.51
400,-1.84,-8.43,16.26,13.06,-128.72,109.31
410,-2.18,-7.95,16.97,20.14,-128.05,120.24
420,-2.46,-7.09,17.82,26.12,-126.46,132.45
430,-2.62,-5.61,18.83,28.69,-121.70,146.97
