timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.05,1.05,8.94,-8.24,-22.03,46.81
10,3.45,0.65,7.50,10.99,-25.82,42.48
20,3.50,0.77,7.77,33.20,-36.38,37.48
30,3.51,0.00,8.10,59.81,-41.63,36.50
40,3.52,-0.69,8.32,77.39,-38.64,36.80
50,3.80,-1.02,8.65,85.75,-14.53,43.21
60,3.77,-0.95,9.40,80.38,-5.07,52.37
70,3.12,-0.75,9.38,73.06,0.79,60.24
80,2.48,-0.43,9.32,64.70,7.02,63.05
90,2.11,0.03,9.44,55.05,13.92,60.00
100,1.93,0.20,9.64,45.59,21.18,45.78
110,1.95,0.30,9.92,25.57,20.94,37.11
120,2.04,0.25,9.91,13.73,21.55,28.32
130,2.16,0.34,9.85,0.00,24.60,19.35
140,2.26,0.65,9.66,-14.89,28.56,10.74
150,2.38,0.89,9.28,-28.20,32.23,-12.94
160,5.44,0.72,6.83,-44.49,33.69,-12.82
170,1.44,1.30,8.05,-43.33,23.50,-17.40
180,2.34,1.44,7.57,-41.63,28.20,-22.89
190,2.52,1.65,7.22,-39.31,31.86,-32.53
200,2.56,1.71,7.36,-28.14,35.22,-41.38
210,2.71,1.37,7.25,-11.90,34.36,-52.67
220,2.45,1.12,7.38,-5.80,34.00,-57.80
230,2.43,0.84,7.54,0.85,33.63,-62.50
240,2.37,0.56,7.55,5.19,33.75,-66.65
250,2.35,0.24,7.64,7.63,34.55,-69.89
260,2.40,0.01,7.51,9.16,32.29,-76.23
270,2.36,-0.24,7.28,8.85,29.85,-78.49
280,2.32,-0.22,7.09,7.63,27.95,-80.32
290,2.27,-0.29,6.84,6.29,27.10,-81.91
300,2.16,-0.37,6.48,5.31,26.25,-84.53
310,2.00,-0.38,6.16,4.15,24.11,-92.53
320,1.56,-0.84,5.83,5.37,16.30,-97.72
330,1.10,-1.54,5.46,7.87,10.86,-104.31
340,0.82,-2.40,5.18,12.39,5.80,-113.22
350,0.89,-3.33,4.97,19.59,1.77,-123.41
360,1.05,-4.21,4.77,26.79,-1.16,-132.63
370,1.70,-5.83,4.61,36.19,-9.03,-140.44
380,2.21,-6.44,4.57,38.02,-13.24,-138.00
390,2.82,-6.82,4.67,38.09,-16.54,-130.55
400,3.26,-6.79,4.56,31.49,-19.35,-117.49
410,3.00,-6.76,4.08,20.02,-22.89,-100.71
420,2.21,-7.04,3.29,15.08,-33.87,-77.45
430,1.32,-7.66,2.97,19.04,-39.43,-75.62
440,1.34,-7.95,3.00,22.71,-45.23,-76.17
450,1.22,-8.33,3.03,26.73,-52.49,-76.48
460,1.14,-8.75,3.25,29.97,-60.00,-76.29
470,1.08,-9.07,3.61,29.60,-71.72,-71.29
480,0.52,-9.90,4.42,29.30,-75.74,-66.22
490,0.19,-10.56,4.83,30.03,-79.04,-61.28
500,0.01,-11.16,5.46,30.15,-83.07,-56.03
510,-0.04,-11.66,6.32,29.97,-88.20,-49.38
520,0.14,-12.14,7.11,32.65,-93.32,-36.74
530,0.84,-12.38,8.67,36.13,-96.19,-29.54
540,1.12,-12.29,9.34,33.57,-95.70,-19.71
550,1.11,-12.15,9.90,32.35,-94.48,-9.58
560,0.95,-11.87,10.77,32.78,-91.92,-1.65
570,0.75,-11.57,11.81,34.18,-88.75,4.88
580,0.53,-11.16,14.08,37.72,-79.90,10.80
590,0.28,-11.12,15.31,37.90,-72.69,10.44
600,0.30,-11.07,16.48,33.87,-63.48,9.64
610,0.23,-10.93,17.40,25.02,-52.92,9.34
620,0.08,-10.73,18.01,14.83,-41.81,9.77
630,-0.00,-10.53,18.17,-0.61,-14.71,10.56
640,0.34,-9.79,17.63,-5.80,-0.55,10.74
650,0.72,-9.12,17.11,-9.28,13.12,12.51
660,0.88,-8.54,16.34,-11.60,25.33,16.48
670,0.77,-7.97,15.37,-13.31,36.13,21.06
680,0.75,-7.64,14.44,-13.43,52.73,26.79
