timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.70,5.43,9.82,78.55,24.17,1.59
10,3.08,4.51,9.31,84.23,27.28,-3.60
20,3.71,4.32,10.83,72.75,25.45,-6.16
30,3.69,3.13,10.82,63.29,27.16,-4.94
40,3.63,2.90,10.41,48.40,27.89,-5.00
50,3.92,3.20,10.00,35.58,27.83,-5.86
60,3.98,3.25,9.59,28.26,28.26,-4.70
70,3.85,3.17,9.33,23.01,36.07,-4.94
80,3.66,3.49,9.07,19.41,40.47,-6.10
90,3.47,3.61,8.96,16.91,43.46,-7.63
100,3.35,3.69,8.83,15.87,45.59,-10.44
110,3.15,3.63,8.79,14.59,47.55,-13.85
120,3.04,3.54,8.73,12.70,49.44,-21.00
130,2.83,3.75,8.38,1.71,52.43,-25.21
140,2.70,3.86,7.96,-3.72,51.82,-30.76
150,2.46,3.93,7.39,-8.54,48.65,-37.41
160,2.44,4.03,6.90,-12.94,45.04,-44.98
170,3.00,5.16,7.87,-14.40,38.09,-52.92
180,1.85,3.45,5.93,-13.79,30.33,-66.41
190,2.18,3.51,5.37,-14.53,27.89,-77.39
200,2.46,3.21,5.20,-15.01,28.20,-85.27
210,2.51,2.94,4.91,-13.12,24.05,-90.58
220,2.48,2.58,4.70,-8.79,17.76,-94.48
230,2.63,2.22,4.27,-0.92,5.00,-97.47
240,2.36,1.47,3.92,3.23,-0.31,-97.05
250,2.01,0.73,4.03,9.28,-5.49,-98.45
260,1.86,0.01,4.18,13.98,-11.11,-101.68
270,1.83,-0.61,4.35,15.50,-16.42,-105.29
280,1.87,-1.33,4.56,13.92,-25.63,-106.57
290,2.04,-2.66,4.86,2.38,-30.46,-101.87
300,2.09,-3.77,4.90,-6.84,-34.61,-96.92
310,2.32,-3.79,4.93,-16.78,-39.00,-94.18
320,2.58,-3.63,4.62,-24.54,-46.51,-87.16
330,2.55,-3.89,4.33,-28.81,-54.69,-76.60
340,1.85,-4.58,4.49,-24.29,-64.58,-60.49
350,1.74,-4.91,4.96,-18.68,-67.02,-55.66
360,1.79,-5.15,5.48,-13.79,-69.21,-51.39
370,1.94,-5.25,5.91,-10.07,-71.04,-46.51
380,2.05,-5.21,6.30,-9.58,-73.06,-39.61
390,2.12,-4.91,6.69,-21.79,-79.83,-20.02
400,1.71,-3.72,6.67,-31.49,-84.66,-9.09
410,1.16,-3.26,6.74,-37.72,-91.61,-0.31
420,0.62,-2.96,6.99,-37.96,-99.61,5.19
430,0.19,-2.88,7.41,-33.69,-105.59,6.35
440,-0.09,-3.14,8.08,-14.83,-114.07,0.00
450,0.04,-3.83,10.30,-5.43,-114.56,-4.21
460,0.40,-4.41,11.52,2.38,-113.10,-5.43
470,0.71,-5.13,12.43,7.45,-110.05,-2.75
480,1.32,-5.73,13.49,7.75,-103.94,2.26
490,1.74,-5.82,14.30,3.17,-99.49,18.13
500,1.98,-5.44,14.53,-10.62,-98.45,26.86
510,1.81,-5.18,14.68,-12.57,-95.95,34.00
520,1.24,-5.11,14.65,-10.01,-92.53,40.16
530,1.84,-4.70,16.18,-6.59,-85.33,44.49
540,1.71,-4.37,16.93,1.83,-83.19,46.51
550,1.23,-3.02,18.47,5.00,-75.87,55.48
560,1.29,-1.99,19.30,2.81,-70.07,60.00
570,0.97,-0.91,19.69,-0.12,-64.76,63.60
580,0.40,0.49,20.00,-0.49,-57.37,64.82
590,-0.15,1.90,20.34,3.05,-46.69,65.06
600,-0.83,2.96,20.79,15.93,-17.46,61.28
610,-1.83,4.47,21.01,19.53,0.73,53.71
620,-2.06,4.69,21.17,19.17,19.78,42.66
630,-2.38,5.02,20.71,16.54,34.85,27.40
640,-2.28,5.20,19.84,6.35,47.42,10.01
650,-2.04,4.95,18.60,-8.73,66.65,-23.74
660,-1.00,4.85,15.38,-25.27,73.79,-40.83
670,-0.43,4.60,13.99,-25.51,79.22,-55.42
680,-0.12,4.18,12.91,-20.39,82.89,-66.89
690,0.04,3.71,12.31,-13.49,85.63,-75.26
700,0.26,3.16,12.02,-4.82,88.26,-81.67
710,0.74,2.49,11.27,13.98,97.35,-85.33
720,0.76,2.00,10.98,24.23,105.41,-83.68
730,0.81,1.34,10.56,31.19,114.01,-80.20
740,0.71,0.88,9.91,31.80,121.40,-76.66
750,0.47,0.40,9.16,31.07,128.11,-74.77
760,0.39,-0.33,7.98,32.04,133.79,-73.30
770,0.73,-0.95,7.32,31.19,131.96,-72.75
780,0.97,-0.88,6.86,25.94,128.48,-73.18
790,1.13,-0.69,6.31,20.57,122.62,-73.61
800,1.16,-0.95,5.72,19.17,114.56,-71.72
810,1.05,-1.11,4.87,13.98,101.50,-65.86
820,1.05,-1.13,3.85,15.32,97.78,-63.48
830,1.05,-1.17,3.51,18.25,92.10,-61.58
840,0.98,-1.28,3.16,21.30,84.23,-60.24
850,0.97,-1.62,2.89,23.74,75.20,-59.33
860,1.01,-1.90,2.74,24.66,50.23,-60.49
870,1.33,-2.44,2.76,26.37,47.67,-59.75
