timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.83,8.59,4.96,8.42,-67.93,-58.11
10,3.07,7.74,3.36,20.02,-26.86,-51.57
20,1.70,7.04,3.47,20.14,-3.66,-47.24
30,2.52,6.03,3.64,44.37,8.91,-37.84
40,1.89,5.34,4.44,53.47,19.29,-22.89
50,2.33,5.74,5.02,46.02,21.61,-17.52
60,2.07,5.84,4.75,37.48,21.79,-10.07
70,1.88,6.34,4.45,31.43,19.71,-3.54
80,1.52,7.00,4.19,28.14,19.59,0.18
90,0.93,7.46,4.05,27.89,23.56,-5.55
100,-0.59,7.99,3.85,32.10,35.77,-15.99
110,-0.83,8.38,3.88,36.01,43.88,-31.37
120,-0.96,8.41,3.94,39.31,53.71,-47.06
130,-0.75,8.28,4.30,37.66,61.22,-61.16
140,-0.29,8.16,4.02,24.96,61.22,-73.97
150,-0.19,8.35,3.76,-17.70,28.81,-94.67
160,-0.25,8.40,3.32,-38.39,-1.10,-104.13
170,-0.34,8.96,1.28,-52.25,-32.10,-115.23
180,0.04,8.22,2.81,-43.88,-51.33,-122.56
190,-1.30,6.99,1.98,-32.84,-61.22,-127.69
200,-2.78,6.55,2.20,-42.24,-90.45,-158.33
210,-1.04,6.41,1.84,-57.80,-101.14,-174.32
220,-0.83,5.59,1.03,-63.29,-110.96,-175.84
230,-1.92,4.28,0.78,-49.07,-126.40,-172.12
240,-2.03,2.64,1.95,-28.99,-140.32,-166.32
250,-1.72,1.42,4.26,-19.04,-168.40,-156.74
260,-1.73,-0.57,5.74,-35.83,-178.04,-148.74
270,-1.37,-1.37,5.89,-44.62,-186.77,-141.24
280,-0.85,-2.04,6.64,-45.23,-193.91,-133.00
290,-0.45,-2.85,7.37,-42.66,-199.52,-122.07
300,-0.35,-3.82,7.99,-34.79,-203.25,-94.60
310,0.86,-7.69,14.47,-24.54,-211.00,-95.09
320,2.21,-7.37,12.59,-33.39,-226.07,-94.12
330,3.65,-7.78,14.26,-24.29,-216.37,-88.87
340,3.79,-9.42,16.34,1.83,-215.39,-74.34
350,4.45,-10.83,16.94,25.02,-234.19,-56.88
360,3.70,-12.46,16.97,23.68,-210.08,-28.50
370,4.44,-12.55,19.66,21.79,-162.78,-6.35
380,4.43,-12.70,21.07,29.66,-128.48,19.71
390,4.46,-12.56,22.25,31.86,-107.54,49.07
400,4.36,-11.62,22.96,25.21,-91.00,80.57
410,4.26,-9.85,23.34,-10.86,-60.85,143.92
420,2.99,-5.44,23.96,-27.10,-50.05,169.68
430,2.14,-2.54,24.00,-31.37,-38.94,189.33
440,1.23,0.62,24.03,-18.31,-24.41,202.51
450,-0.03,3.37,24.20,9.77,-4.64,209.23
460,-1.20,5.64,24.39,47.06,55.79,197.81
470,-2.82,7.54,25.14,116.33,89.17,181.58
480,-2.85,7.83,25.46,121.46,118.77,160.89
490,-2.57,8.24,25.36,100.46,139.53,138.12
500,-2.93,8.83,23.49,63.84,149.11,115.36
510,-2.66,9.59,22.64,15.69,166.87,91.55
520,-2.18,10.07,17.20,-51.64,200.56,33.57
530,-0.32,11.06,14.46,-66.28,213.07,9.22
540,0.24,11.19,12.02,-55.42,203.55,-8.79
550,0.14,10.45,9.75,-25.57,185.24,-19.90
560,-0.68,9.29,8.13,7.26,170.78,-30.40
570,-0.04,8.19,6.76,54.08,159.06,-51.39
580,1.29,6.29,6.53,57.50,153.26,-53.89
590,1.31,5.48,6.47,50.17,154.24,-51.82
600,1.09,4.69,6.18,34.55,149.84,-49.44
610,0.93,4.13,5.55,15.87,136.41,-48.77
620,0.79,3.63,4.92,-12.02,109.01,-54.38
630,1.12,2.64,3.91,-17.40,105.47,-57.74
640,1.18,2.06,3.43,-18.13,107.91,-59.08
650,1.32,1.44,3.06,-16.42,111.15,-59.02
660,1.14,0.99,2.64,-14.77,109.31,-59.14
670,0.88,0.69,2.31,-13.67,102.42,-59.63
680,0.63,0.59,1.91,-11.47,83.92,-61.52
690,0.58,0.40,1.92,-10.68,72.69,-65.12
700,0.55,0.20,1.88,-12.57,59.69,-70.31
710,0.43,-0.02,1.43,-14.83,46.51,-76.66
720,0.70,-0.22,1.42,-14.53,34.91,-82.58
