timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.07,6.97,5.50,-23.74,4.64,16.24
10,5.69,6.41,5.41,-24.05,-2.75,-13.24
20,3.74,7.22,5.68,-18.13,2.50,-33.08
30,3.54,6.68,5.28,-7.69,4.52,-41.87
40,3.55,6.63,4.87,0.12,2.01,-47.85
50,3.68,6.42,4.38,8.61,-0.92,-52.67
60,3.67,6.12,3.77,16.48,-4.64,-62.50
70,3.33,5.13,2.30,21.30,-13.98,-67.20
80,3.26,4.50,1.59,16.66,-20.39,-70.25
90,2.96,4.00,0.95,8.36,-30.70,-72.14
100,2.85,3.71,1.08,-2.93,-45.04,-73.85
110,2.78,3.46,1.67,-12.51,-60.18,-75.68
120,2.25,1.83,3.06,-7.93,-83.50,-86.18
130,1.62,0.59,3.68,3.91,-94.48,-89.66
140,1.16,-0.81,3.83,21.55,-105.59,-87.71
150,0.95,-2.47,3.53,38.94,-116.70,-79.53
160,-0.00,-3.56,4.78,47.42,-130.19,-66.71
170,1.19,-5.38,3.54,43.52,-148.68,-33.94
180,1.11,-5.87,4.88,38.15,-154.79,-21.85
190,1.11,-5.97,5.68,33.63,-158.63,-13.43
200,1.09,-5.83,6.83,30.27,-159.30,-9.03
210,1.25,-5.72,7.67,28.56,-155.94,-9.22
220,1.16,-5.65,8.16,26.67,-146.61,-11.96
230,1.00,-4.87,10.08,25.76,-143.74,-9.40
240,1.01,-4.31,11.41,26.79,-143.62,-5.31
250,1.07,-3.48,12.88,28.38,-144.41,1.16
260,1.34,-2.55,14.52,29.42,-142.58,11.35
270,1.71,-1.52,15.78,32.90,-138.06,38.09
280,2.49,0.98,18.53,37.48,-131.96,38.02
290,2.60,2.00,20.16,36.50,-128.42,40.28
300,2.96,3.32,21.71,34.36,-117.19,39.12
310,3.68,3.92,22.82,31.13,-99.43,33.14
320,3.87,4.52,23.78,22.52,-80.32,21.97
330,3.80,5.43,26.25,-3.30,-38.02,-3.91
340,4.01,5.51,27.08,-11.41,-17.76,-14.47
350,4.04,5.23,27.63,-13.49,2.50,-23.19
360,3.85,4.74,27.60,-11.23,23.68,-29.42
370,3.52,4.26,26.79,-8.42,45.41,-32.35
380,3.33,3.55,25.67,-10.25,87.95,-30.94
390,2.71,2.58,22.50,-15.50,105.53,-30.58
400,2.56,2.05,20.79,-21.91,120.42,-31.49
410,2.34,1.28,19.09,-29.05,134.52,-34.36
420,1.60,1.30,16.94,-37.41,149.23,-37.66
430,1.32,0.82,14.91,-45.47,168.88,-42.85
440,0.83,0.86,11.99,-60.42,170.10,-45.17
450,0.73,0.79,10.70,-60.30,170.10,-47.85
460,0.71,0.76,9.30,-56.40,168.52,-50.29
470,0.72,0.43,7.88,-51.03,165.95,-52.12
480,0.36,0.82,6.27,-44.74,163.33,-52.31
490,-0.35,1.75,3.16,-27.65,152.10,-50.42
500,-0.59,2.45,1.86,-17.88,139.65,-48.03
510,-0.63,2.99,0.38,-8.85,124.51,-46.51
520,-0.59,3.56,-0.32,-3.17,110.35,-45.78
530,-0.39,4.06,-1.10,4.70,99.49,-46.39
540,-0.20,4.49,-2.19,21.73,80.44,-49.93
550,-0.02,5.23,-2.97,29.11,69.95,-53.34
560,0.02,5.19,-3.45,35.58,57.07,-58.84
570,0.29,4.81,-3.42,37.48,38.51,-67.02
580,0.45,4.14,-2.87,34.36,18.62,-76.84
590,0.62,3.18,-2.06,19.35,-7.57,-94.91
600,1.21,0.08,0.44,11.35,-16.91,-103.70
610,1.20,-1.80,2.14,5.31,-27.40,-112.30
620,1.22,-3.78,3.84,0.73,-36.38,-117.98
630,1.15,-5.41,5.80,-3.72,-41.75,-118.16
640,1.18,-6.87,7.89,-4.64,-43.40,-101.50
650,1.66,-9.19,10.18,10.56,-40.77,-87.16
660,2.18,-9.77,10.23,17.88,-36.93,-69.82
670,2.95,-9.82,9.96,19.35,-31.13,-50.78
680,3.81,-9.42,9.82,16.48,-25.82,-33.81
690,4.56,-8.64,9.76,11.11,-22.83,-19.78
700,5.73,-6.52,9.66,0.61,-16.72,0.79
710,5.92,-5.26,9.88,-3.54,-14.59,8.42
720,6.17,-4.01,10.17,-6.04,-13.12,14.77
730,6.11,-2.83,9.92,-6.59,-12.51,20.39
740,6.34,-1.81,10.07,-6.41,-12.39,23.68
750,6.30,-0.96,10.20,-4.46,-11.54,23.19
760,5.96,0.23,10.24,-3.78,-8.18,21.73
770,5.72,0.64,10.07,-3.72,-5.13,19.65
780,5.54,0.91,9.82,-4.21,-2.56,17.15
790,5.40,1.04,9.62,-4.82,-0.31,13.61
