timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.88,-0.19,11.82,0.24,-4.21,79.96
10,3.10,-0.20,10.56,14.10,0.55,73.55
20,3.12,-0.50,10.76,38.64,2.38,63.96
30,3.16,-1.05,10.39,45.17,5.07,61.89
40,3.35,-1.10,10.24,47.30,8.36,58.17
50,3.66,-1.06,10.20,47.85,13.79,56.34
60,3.56,-0.89,10.08,44.19,20.08,57.07
70,3.20,-0.63,9.81,27.71,34.30,53.83
80,2.40,0.57,9.27,18.37,41.63,47.30
90,2.25,1.15,8.93,10.07,50.23,36.68
100,2.08,1.51,8.63,1.40,57.98,23.56
110,2.17,1.73,8.48,-9.70,60.61,9.70
120,2.49,1.85,8.21,-33.69,53.16,-14.71
130,3.12,2.32,6.60,-40.47,49.62,-25.94
140,2.53,2.24,5.95,-36.80,41.63,-34.73
150,2.91,1.99,6.24,-37.41,42.42,-40.22
160,3.11,1.97,5.51,-40.16,44.43,-48.77
170,2.84,2.15,5.43,-37.17,43.64,-63.35
180,2.16,2.00,5.61,-30.58,39.67,-73.30
190,1.94,2.02,5.61,-35.89,37.66,-86.73
200,1.91,1.87,5.28,-43.76,34.42,-102.05
210,1.90,1.70,4.77,-55.24,30.46,-117.61
220,1.88,1.29,3.96,-69.95,24.66,-131.59
230,1.84,0.52,2.17,-97.29,1.34,-154.72
240,1.61,-0.12,1.36,-99.73,-15.32,-162.66
250,1.07,-1.20,1.01,-90.33,-35.64,-168.40
260,0.60,-2.52,0.95,-67.14,-59.33,-174.32
270,0.42,-3.85,1.30,-30.58,-82.03,-181.03
280,0.43,-5.24,2.32,49.87,-109.19,-186.34
290,0.65,-10.01,4.99,70.98,-112.79,-184.39
300,1.55,-12.47,6.16,67.57,-112.67,-177.55
310,2.94,-13.14,7.38,41.14,-112.61,-164.67
320,3.70,-13.66,7.79,16.36,-117.68,-144.17
330,3.73,-14.66,7.95,2.32,-121.77,-87.46
340,3.37,-15.90,8.83,-1.95,-119.20,-61.28
350,3.50,-15.70,9.99,7.93,-115.91,-37.66
360,3.46,-15.19,11.44,22.40,-112.43,-13.92
370,3.33,-14.39,13.36,37.84,-109.01,11.23
380,2.81,-13.12,15.51,51.70,-106.02,38.57
390,0.20,-10.28,21.31,78.98,-96.86,94.67
400,-1.35,-9.24,24.69,87.71,-81.18,114.75
410,-2.95,-8.27,26.96,79.10,-54.93,123.47
420,-3.96,-7.15,27.85,49.87,-18.92,119.63
430,-4.25,-5.75,27.12,9.95,17.94,104.06
440,-3.58,-3.72,22.85,-58.72,85.75,58.23
450,-1.63,-1.06,20.16,-68.73,113.77,39.79
460,-0.67,-0.92,17.02,-64.27,136.23,23.25
470,0.06,-1.45,14.17,-54.57,151.37,8.97
480,1.17,-0.84,12.00,-42.85,157.53,-3.72
490,2.33,-0.74,9.98,-5.07,148.25,-7.32
500,2.99,-1.41,6.85,14.65,143.86,-5.86
510,3.14,-1.53,6.02,33.39,138.73,-4.58
520,3.17,-1.56,5.38,49.44,132.87,-3.17
530,3.07,-1.58,4.86,61.95,127.93,-2.99
540,2.91,-1.71,4.25,69.76,123.60,-7.02
550,2.38,-2.15,2.71,67.44,111.21,-11.84
560,2.22,-2.53,1.95,62.74,101.62,-19.47
570,2.21,-2.95,1.28,57.25,90.45,-27.83
580,2.30,-3.45,0.80,52.55,77.82,-35.46
590,2.44,-4.13,0.42,50.05,65.25,-41.08
600,3.01,-5.30,0.12,46.51,47.06,-41.75
610,3.04,-5.82,0.19,43.58,40.77,-36.50
620,3.04,-6.26,0.36,40.16,35.40,-29.79
630,2.84,-6.50,0.52,35.10,30.27,-22.40
640,2.62,-6.63,0.70,28.14,24.72,-16.05
650,2.42,-6.69,0.97,17.76,11.29,-10.74
660,2.31,-6.58,2.11,14.10,4.76,-10.44
670,2.33,-6.53,2.91,10.25,-0.18,-11.29
680,2.41,-6.50,3.76,4.64,-3.11,-12.63
690,2.62,-6.43,4.56,-2.50,-4.27,-14.22
700,2.94,-6.43,5.26,-8.79,-2.75,-16.05
710,3.53,-6.43,6.24,-18.25,-0.79,-14.22
720,3.61,-6.46,6.48,-21.00,0.61,-11.17
730,3.48,-6.53,6.68,-21.24,0.06,-7.32
740,3.57,-6.52,6.92,-18.98,-2.81,-4.21
750,3.69,-6.31,7.08,-14.10,-6.59,-2.01
760,3.79,-6.18,7.59,2.14,-8.48,1.53
770,3.81,-6.34,7.87,7.75,-5.68,2.26
780,3.85,-6.43,8.09,9.52,-3.17,2.56
790,4.08,-6.30,8.28,8.79,-3.23,3.17
800,4.13,-6.22,8.20,6.96,-5.31,4.33
810,4.01,-6.15,7.78,4.15,-4.64,3.72
820,3.87,-5.96,7.59,3.66,-2.14,1.95
830,3.81,-6.03,7.47,4.39,-0.43,-0.43
840,3.76,-6.13,7.37,4.94,0.00,-2.32
850,3.78,-6.12,7.37,3.91,-1.16,-3.91
860,3.82,-6.08,7.34,1.77,-2.38,-4.58
870,3.64,-5.99,7.22,1.28,-1.22,-4.39
880,3.72,-5.93,7.21,1.04,-0.12,-3.72
890,3.79,-5.81,7.18,0.61,0.49,-2.50
900,3.72,-5.77,7.04,0.12,0.49,-1.40
910,3.56,-5.71,6.86,0.12,-15.56,-0.18
920,3.48,-5.48,6.79,2.26,0.12,-0.18
930,3.42,-5.51,6.77,3.97,0.79,-0.37
940,3.43,-5.59,6.75,5.55,1.83,-1.34
950,3.46,-5.55,6.73,5.55,2.81,-2.20
960,3.52,-5.55,6.70,5.00,2.81,-2.99
970,3.89,-5.63,6.59,2.75,2.20,-3.85
980,3.80,-5.62,6.45,0.98,1.95,-3.54
990,3.80,-5.64,6.34,0.31,2.20,-3.23
