timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.07,13.49,8.28,-56.40,39.86,67.44
10,3.05,13.35,7.56,-47.18,45.29,56.58
20,2.73,13.44,8.34,-30.82,43.27,50.54
30,1.71,14.26,7.61,-7.75,30.82,42.85
40,1.66,14.57,6.83,50.90,29.30,27.59
50,1.90,14.37,4.04,70.62,31.56,12.45
60,1.96,13.90,2.57,78.37,31.86,-5.37
70,1.89,13.18,1.33,73.97,31.07,-25.02
80,1.69,12.30,0.48,60.91,29.24,-46.20
90,1.38,11.62,0.00,42.18,20.14,-83.13
100,0.74,10.29,-0.18,5.68,12.76,-99.61
110,0.35,9.70,0.03,-6.96,6.71,-115.17
120,-0.03,9.02,0.21,-12.88,2.08,-129.09
130,-0.37,8.11,0.15,-11.35,-2.93,-140.32
140,-0.76,7.12,-0.16,-4.52,-8.79,-148.80
150,-1.96,4.97,-0.35,10.50,-28.87,-153.99
160,-1.20,4.58,-1.29,16.24,-38.45,-151.12
170,-1.38,3.89,-0.98,19.04,-48.71,-146.55
180,-1.14,2.91,-1.02,21.55,-57.74,-143.86
190,-1.34,2.03,-0.56,22.71,-68.85,-140.38
200,-1.13,1.02,0.54,26.12,-94.24,-125.12
210,-0.65,-1.19,1.03,29.30,-108.22,-114.32
220,-0.33,-2.39,1.69,31.74,-121.70,-102.91
230,-0.14,-3.65,2.49,33.75,-134.16,-92.90
240,-0.25,-4.79,2.98,34.79,-145.20,-84.47
250,-0.37,-5.69,3.44,25.33,-159.55,-64.94
260,-0.01,-7.19,5.75,18.80,-167.05,-55.11
270,0.39,-8.14,7.46,17.33,-174.50,-46.69
280,0.74,-9.43,8.99,22.83,-181.76,-39.00
290,0.81,-10.66,10.13,31.01,-187.81,-29.42
300,0.71,-11.61,11.15,36.25,-189.58,-1.46
310,0.21,-12.05,13.19,27.71,-181.03,16.48
320,-0.22,-11.16,14.63,15.75,-174.07,39.06
330,-0.23,-9.77,16.74,3.78,-168.58,67.63
340,0.25,-7.80,19.44,-2.14,-163.15,97.90
350,1.07,-5.74,22.14,2.08,-154.97,125.49
360,3.28,-2.32,26.25,36.80,-129.03,160.64
370,4.04,-0.90,27.72,59.02,-112.92,163.33
380,4.10,0.22,28.13,74.89,-94.60,157.17
390,3.58,1.40,27.88,75.62,-73.24,147.22
400,2.88,3.12,27.88,57.19,-48.58,137.88
410,2.05,5.60,28.00,-5.80,2.81,124.15
420,1.18,11.72,28.49,-32.04,28.63,118.53
430,1.25,14.50,27.97,-48.65,53.59,110.53
440,1.53,16.68,26.96,-53.71,76.05,97.47
450,1.77,18.13,25.25,-50.66,94.30,78.98
460,2.08,18.76,23.14,-42.72,122.31,25.63
470,2.11,17.55,18.61,-28.56,132.32,-8.06
480,1.66,16.16,16.77,-26.12,141.17,-43.46
490,1.02,14.38,15.06,-25.88,149.35,-76.78
500,0.14,12.48,13.50,-26.67,156.56,-105.77
510,-0.60,10.57,12.01,-27.59,162.84,-143.92
520,-1.79,7.28,8.73,-26.49,170.84,-156.31
530,-2.21,5.97,6.93,-26.92,171.02,-161.74
540,-2.29,4.98,5.40,-29.66,167.18,-162.35
550,-2.18,4.30,4.23,-32.53,159.85,-159.79
560,-1.94,3.77,3.12,-34.30,150.76,-156.43
570,-1.52,2.98,1.36,-32.41,129.88,-151.61
580,-0.89,2.09,0.38,-26.79,115.72,-150.94
590,-0.78,1.31,-0.11,-19.65,98.94,-149.96
600,-0.62,0.46,-0.49,-11.66,82.58,-147.46
610,-0.50,-0.47,-1.10,-1.89,68.85,-142.40
620,-0.44,-1.47,-1.75,11.72,36.93,-123.60
630,-0.26,-3.40,-2.04,10.56,17.46,-108.46
640,-0.00,-4.02,-1.16,6.77,-1.46,-89.23
650,0.46,-4.37,0.15,5.98,-16.66,-68.60
660,1.05,-4.43,1.67,9.58,-29.24,-49.93
670,1.71,-4.12,3.19,17.21,-37.41,-31.19
680,2.40,-3.99,5.30,36.56,-41.99,-30.64
690,2.54,-4.19,6.13,39.92,-40.71,-32.35
700,2.53,-4.38,6.90,37.11,-37.72,-33.75
710,2.55,-4.64,7.63,29.60,-33.14,-33.69
720,2.62,-4.78,8.36,19.71,-27.77,-32.10
730,2.81,-4.48,9.77,0.85,-15.44,-22.09
740,3.01,-4.01,10.07,-4.76,-8.54,-14.22
750,3.26,-3.38,10.09,-5.86,-3.66,-5.68
760,3.64,-2.63,9.91,-5.25,-1.53,3.17
770,4.26,-1.85,9.70,-3.60,-1.53,11.23
780,4.87,-1.07,9.21,0.37,-1.95,18.19
790,5.54,0.22,8.97,2.14,-0.61,17.76
800,5.70,0.70,8.70,2.08,1.22,16.36
810,5.77,1.10,8.63,0.18,1.89,14.83
820,5.88,1.41,8.65,-0.85,1.40,13.49
830,5.96,1.60,8.71,2.01,-0.49,10.56
840,5.83,1.79,8.88,4.27,-1.16,8.73
850,5.73,1.78,8.83,7.02,-0.98,7.32
860,5.54,1.71,8.79,9.16,-1.40,5.49
870,5.35,1.61,8.74,9.77,-1.59,3.97
880,5.21,1.46,8.61,9.40,-0.85,2.69
890,4.95,1.23,8.54,7.69,0.43,0.43
900,4.86,1.21,8.51,7.26,-0.18,0.24
910,4.88,1.14,8.51,7.51,-0.61,0.85
920,4.91,1.07,8.54,7.93,-1.40,1.28
930,4.91,1.01,8.54,8.42,-1.71,1.04
940,4.83,0.89,8.48,9.22,0.00,-0.73
950,4.76,0.87,8.55,9.09,0.31,-0.67
960,4.83,0.90,8.60,9.52,0.18,-0.79
970,4.89,0.82,8.55,9.95,0.06,-1.10
980,4.88,0.74,8.50,9.83,0.49,-1.59
990,4.87,0.66,8.46,6.35,2.50,-2.01
