timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.95,7.64,0.86,-27.95,-4.39,-8.42
10,1.48,8.32,0.17,-35.16,-12.15,-3.30
20,1.71,8.43,0.43,-33.69,-20.32,-1.28
30,1.32,9.24,-0.12,-32.23,-30.58,-2.44
40,1.23,9.86,-0.14,-16.36,-40.16,-9.28
50,1.63,10.96,-0.34,-8.24,-48.28,-17.52
60,1.70,11.15,-0.45,0.31,-54.87,-29.48
70,1.72,11.06,-0.61,6.90,-60.49,-43.40
80,1.60,10.72,-0.76,11.72,-66.10,-58.65
90,1.26,10.09,-0.87,14.83,-73.00,-89.11
100,0.78,8.69,-0.31,15.99,-90.94,-96.07
110,0.52,7.93,0.25,16.54,-100.34,-104.43
120,0.28,7.16,0.88,18.01,-108.76,-110.72
130,-0.03,6.38,1.44,20.39,-115.60,-115.36
140,-0.31,5.60,1.88,23.38,-121.58,-118.23
150,-0.86,3.97,2.62,29.42,-133.06,-114.62
160,-1.74,2.30,3.64,34.85,-141.66,-108.22
170,-1.22,2.01,3.54,36.38,-149.35,-97.11
180,-1.42,1.44,4.65,35.64,-157.04,-83.31
190,-0.86,0.45,5.26,38.70,-162.96,-69.58
200,-0.70,-0.16,6.11,41.08,-172.85,-42.72
210,-0.21,-1.32,7.26,39.43,-176.21,-30.09
220,-0.21,-1.75,7.79,33.94,-177.49,-19.53
230,-0.45,-2.01,8.50,24.41,-177.67,-11.47
240,-0.74,-2.05,9.47,12.39,-176.64,-5.00
250,-0.85,-1.98,10.68,0.73,-166.87,9.46
260,-0.96,-1.63,13.44,-8.30,-159.85,19.47
270,-0.92,-1.25,14.74,-2.38,-150.45,30.76
280,-0.88,-0.92,15.56,9.95,-138.24,43.03
290,-0.84,-0.67,15.94,25.33,-125.79,54.99
300,-0.85,-0.45,15.90,40.28,-114.14,65.61
310,-0.63,-0.02,15.61,55.85,-97.84,81.05
320,-0.44,0.17,15.44,54.26,-91.49,85.21
330,-0.26,0.36,15.34,46.88,-84.05,86.85
340,-0.30,0.68,15.48,36.13,-76.17,87.10
350,-0.52,1.35,15.91,24.41,-69.03,88.56
360,-0.62,2.35,17.07,9.83,-52.12,101.44
370,-0.37,4.93,17.22,11.41,-43.03,109.37
380,-0.22,6.44,17.48,16.66,-34.12,115.54
390,0.18,7.82,17.79,24.17,-23.99,119.32
400,0.56,9.04,17.92,34.24,-12.76,119.14
410,0.73,10.06,17.80,51.09,13.67,104.80
420,0.70,11.52,16.75,54.38,27.65,93.81
430,0.77,11.95,16.01,52.80,39.98,81.85
440,0.66,12.19,15.26,45.47,48.77,69.89
450,0.60,12.29,14.70,32.35,55.11,58.35
460,0.41,12.45,14.34,15.26,61.04,37.29
470,-0.44,12.95,13.84,-16.42,71.47,28.44
480,-0.40,13.24,14.05,-27.04,78.06,18.37
490,-0.80,13.58,13.79,-34.67,84.17,5.74
500,-0.89,13.46,13.50,-37.23,92.77,-5.98
510,-0.93,13.17,13.08,-36.80,102.66,-17.33
520,-1.10,12.14,11.58,-28.50,113.77,-39.79
530,-1.12,11.36,10.67,-21.73,114.87,-49.74
540,-1.08,10.58,9.78,-16.72,113.65,-59.51
550,-0.98,9.76,8.92,-14.77,113.46,-68.54
560,-0.89,9.10,7.97,-15.14,114.75,-76.84
570,-0.82,8.40,7.02,-22.46,113.22,-92.47
580,-0.63,7.13,5.50,-28.63,109.68,-99.85
590,-0.56,6.64,5.00,-35.46,104.92,-106.75
600,-0.39,6.14,4.70,-41.02,99.85,-112.18
610,-0.19,5.63,4.39,-44.37,94.60,-116.70
620,0.02,5.06,4.06,-44.86,81.79,-124.69
630,0.21,3.93,3.45,-40.28,75.01,-127.01
640,0.21,3.42,3.10,-35.22,68.66,-126.71
650,0.14,3.07,2.66,-28.56,61.95,-123.60
660,0.14,2.89,2.27,-22.22,54.08,-116.88
670,0.25,2.80,1.93,-16.48,44.31,-107.67
680,0.68,2.48,1.80,-8.85,22.03,-86.73
690,1.05,2.31,1.98,-6.77,11.35,-77.27
700,1.53,2.17,2.38,-5.37,2.44,-69.52
710,1.99,2.07,2.93,-4.82,-4.46,-64.94
720,2.17,2.06,3.47,-5.00,-9.64,-63.66
730,2.41,2.02,4.67,-5.62,-16.54,-63.54
740,2.69,1.72,5.28,-4.88,-20.26,-63.17
750,2.76,1.52,5.98,-3.78,-23.80,-61.89
760,2.98,1.27,6.71,-2.56,-26.31,-59.27
770,3.22,0.99,7.54,-1.65,-28.44,-54.99
780,3.35,0.83,8.36,2.26,-29.30,-44.31
790,3.10,0.82,9.70,5.80,-27.47,-38.45
800,2.96,1.00,10.12,9.22,-24.54,-31.86
810,2.90,1.26,10.38,12.08,-20.87,-25.21
820,2.94,1.53,10.51,14.16,-16.60,-18.62
830,3.16,1.80,10.54,16.05,-11.96,-9.89
840,3.60,2.26,10.06,20.08,-2.69,-8.06
850,3.80,2.43,9.67,21.97,1.40,-7.26
860,4.02,2.52,9.09,23.74,4.70,-6.65
870,4.13,2.66,8.49,23.74,7.02,-5.80
880,4.26,2.83,7.99,22.28,8.30,-4.09
890,4.57,3.14,7.46,16.66,6.77,0.24
900,4.63,3.29,7.32,13.73,5.37,1.77
910,4.69,3.43,7.23,10.93,4.58,2.75
920,4.71,3.51,7.16,8.48,4.09,3.23
930,4.66,3.58,7.11,6.47,3.54,3.17
940,4.56,3.64,7.10,2.44,2.44,4.09
950,4.40,3.93,7.17,0.79,2.01,5.00
960,4.28,4.11,7.20,0.37,1.59,5.55
970,4.21,4.31,7.27,-0.18,0.73,5.98
980,4.17,4.47,7.37,-0.06,-0.24,5.98
990,4.09,4.61,7.44,0.79,-0.67,5.07
