timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.41,10.71,0.66,-60.67,4.70,11.35
10,3.19,11.28,0.41,-67.14,4.88,6.23
20,2.77,11.22,1.07,-62.87,5.19,-5.13
30,1.94,11.33,0.89,-49.26,1.10,-23.68
40,1.43,10.81,0.80,-26.18,-1.22,-39.86
50,0.61,9.31,0.21,13.24,-12.94,-69.52
60,0.14,8.33,-0.02,22.03,-16.48,-84.96
70,-0.47,7.15,-0.09,23.56,-19.29,-100.16
80,-1.19,5.79,-0.09,16.72,-23.62,-113.65
90,-1.91,4.74,0.23,2.14,-27.40,-122.31
100,-2.20,4.12,2.04,-29.60,-39.37,-126.71
110,-2.30,3.48,2.92,-35.40,-47.61,-129.58
120,-2.40,3.13,3.46,-34.24,-55.54,-133.91
130,-2.42,2.24,3.82,-28.69,-62.56,-138.73
140,-2.67,1.68,3.98,-19.17,-70.01,-140.62
150,-2.73,0.93,4.15,3.48,-80.81,-139.16
160,-1.57,-0.66,5.23,17.58,-94.67,-131.47
170,-2.04,-1.34,6.21,31.31,-107.91,-123.47
180,-1.61,-2.36,6.56,46.39,-119.75,-117.07
190,-1.46,-3.27,7.16,53.83,-129.82,-110.41
200,-1.00,-4.21,7.92,54.81,-136.17,-98.02
210,-0.59,-5.94,9.22,44.74,-139.28,-91.92
220,-0.17,-6.75,9.82,38.39,-136.66,-84.41
230,0.12,-7.69,10.20,35.16,-134.40,-74.95
240,0.45,-8.62,10.82,32.78,-133.79,-63.66
250,1.09,-9.52,11.86,31.74,-136.35,-51.21
260,1.71,-11.74,13.77,46.39,-148.99,-27.34
270,2.07,-12.81,14.79,54.81,-153.38,-17.58
280,1.61,-13.59,15.42,60.24,-153.14,-7.20
290,1.17,-13.90,15.81,58.78,-147.58,6.71
300,0.99,-13.52,16.33,49.07,-138.73,25.57
310,1.13,-12.51,17.15,19.59,-122.80,72.51
320,2.39,-9.47,18.85,9.64,-114.56,95.46
330,3.18,-7.69,19.63,4.82,-106.32,114.69
340,3.86,-5.72,20.70,3.78,-98.33,128.11
350,4.37,-4.08,21.42,7.51,-89.84,136.29
360,4.70,-2.95,21.73,13.43,-68.30,137.82
370,3.85,-0.49,22.70,14.10,-58.23,133.97
380,3.07,0.94,23.48,9.03,-46.20,131.84
390,2.18,2.46,24.11,4.09,-29.24,132.81
400,1.45,4.30,24.71,1.22,-10.01,133.79
410,0.90,6.42,25.44,0.00,7.02,136.11
420,1.02,9.77,26.35,2.32,38.57,139.65
430,1.02,11.09,26.36,4.52,55.73,132.63
440,0.92,12.05,25.69,6.84,77.09,117.43
450,0.76,12.18,24.15,6.65,100.83,93.93
460,0.32,12.12,22.41,-0.43,123.41,66.28
470,-0.13,11.66,18.60,-26.18,157.41,10.50
480,-1.06,10.21,16.88,-38.88,169.07,-13.67
490,-1.52,9.19,14.94,-47.12,178.65,-35.22
500,-1.94,8.10,12.82,-50.66,187.81,-52.86
510,-2.38,7.13,10.78,-51.21,193.42,-65.73
520,-2.61,6.30,8.94,-44.92,185.85,-76.78
530,-2.11,4.95,6.49,-36.32,174.07,-77.45
540,-1.77,4.31,5.32,-23.44,160.71,-78.37
550,-1.16,3.49,3.86,-12.57,148.68,-79.35
560,-0.56,2.66,2.32,-9.28,137.76,-79.77
570,0.03,1.86,0.87,-15.63,127.99,-83.19
580,0.81,0.78,-0.67,-47.06,110.66,-85.94
590,1.18,0.19,-0.87,-61.95,100.10,-88.32
600,1.31,-0.44,-0.94,-70.31,88.56,-90.09
610,1.22,-1.19,-1.15,-72.69,75.81,-90.52
620,1.02,-1.91,-1.23,-70.92,63.84,-87.83
630,0.57,-2.89,-0.33,-56.46,32.35,-71.96
640,0.59,-3.72,0.27,-45.04,13.98,-60.24
650,0.74,-4.00,1.17,-33.94,2.44,-51.88
660,0.74,-4.06,2.24,-25.70,-4.21,-45.35
670,0.87,-4.24,3.40,-19.17,-8.91,-39.18
680,1.00,-4.74,4.25,-11.05,-15.20,-33.02
