timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.10,0.77,10.55,62.87,-19.04,46.63
10,1.38,0.13,9.71,66.89,-12.15,37.23
20,1.43,0.72,10.79,67.50,-8.24,23.56
30,1.90,0.97,11.96,64.51,2.81,5.74
40,2.21,1.18,12.56,52.80,12.94,-8.73
50,2.41,1.09,13.02,38.51,20.39,-18.68
60,2.35,1.23,12.61,8.36,35.40,-29.42
70,2.37,1.34,12.13,-0.43,46.20,-33.81
80,2.42,1.53,11.49,-5.00,57.56,-38.33
90,2.41,1.45,10.91,-5.74,68.18,-43.40
100,2.56,1.18,10.51,-3.97,76.23,-48.89
110,2.83,0.95,9.93,-3.78,81.05,-56.58
120,3.10,0.71,9.68,-6.84,80.75,-58.11
130,3.12,0.68,9.14,-10.07,80.02,-59.94
140,3.16,0.66,8.60,-13.43,80.02,-62.50
150,3.25,0.76,8.08,-17.88,80.02,-66.22
160,3.34,0.88,7.34,-29.60,75.87,-75.68
170,3.05,0.52,5.21,-35.10,71.84,-82.21
180,1.93,-0.06,4.65,-33.69,60.00,-90.52
190,1.88,-0.51,4.15,-35.10,54.32,-99.18
200,1.86,-1.28,3.08,-41.02,51.09,-113.16
210,1.94,-1.87,2.51,-41.44,42.05,-143.62
220,2.13,-3.25,2.01,-37.23,21.12,-155.15
230,2.52,-4.37,1.43,-33.33,6.90,-164.31
240,2.88,-5.25,1.43,-27.10,-2.87,-171.63
250,3.37,-5.77,1.60,-23.68,-8.73,-174.56
260,3.65,-6.17,1.79,-24.17,-13.92,-173.34
270,3.73,-7.04,1.94,-29.42,-23.01,-162.23
280,3.71,-7.21,1.94,-32.53,-28.02,-155.94
290,3.60,-7.45,1.84,-34.97,-34.30,-149.29
300,3.27,-7.88,1.73,-32.84,-42.18,-142.88
310,3.16,-8.36,1.95,-25.45,-50.48,-137.76
320,3.40,-9.02,2.46,-4.58,-64.88,-127.44
330,3.88,-10.45,3.38,6.96,-72.88,-118.41
340,4.16,-11.36,4.21,23.25,-82.28,-105.53
350,4.43,-12.47,5.39,43.70,-90.70,-88.07
360,4.94,-13.54,6.76,65.12,-95.46,-66.96
370,4.47,-14.51,8.03,84.66,-89.48,-13.61
380,5.19,-17.60,10.12,115.48,-78.06,13.49
390,5.37,-17.96,11.77,114.87,-75.68,41.69
400,5.33,-17.44,13.76,108.95,-82.82,73.30
410,4.75,-16.51,15.57,101.32,-93.20,101.87
420,3.52,-15.52,17.32,90.03,-99.24,122.44
430,1.75,-12.77,21.06,42.42,-87.40,142.82
440,1.57,-10.95,22.94,11.35,-72.63,146.48
450,1.45,-8.72,23.95,-17.70,-58.72,148.44
460,1.23,-5.99,23.77,-40.28,-45.78,149.66
470,0.82,-3.36,22.53,-51.33,-27.28,151.25
480,0.65,-1.50,18.53,-25.88,23.38,143.86
490,0.45,0.72,16.64,4.27,54.87,129.64
500,0.29,0.95,15.25,35.95,85.33,110.47
510,0.56,1.72,14.01,56.15,109.44,86.73
520,0.97,1.76,12.66,65.00,124.21,65.06
530,1.24,1.51,11.22,55.18,131.84,23.38
540,1.36,1.33,7.73,42.72,129.58,3.11
550,1.57,1.15,6.08,31.25,124.57,-15.69
560,1.78,0.77,4.48,22.28,118.47,-34.00
570,2.06,0.32,2.97,15.08,112.00,-51.27
580,2.42,-0.21,1.65,9.03,104.55,-76.72
590,3.20,-1.29,-0.32,4.70,85.14,-83.01
600,3.55,-1.84,-0.99,7.57,75.87,-84.66
610,3.33,-2.67,-1.50,13.61,68.85,-82.64
620,2.89,-3.81,-1.89,21.00,63.29,-78.86
630,2.71,-4.82,-1.81,26.79,57.25,-73.73
640,2.16,-6.20,-1.34,26.00,41.93,-64.33
650,1.99,-6.71,-0.99,20.39,36.25,-62.26
660,1.98,-7.18,-0.45,13.12,30.21,-61.71
670,1.99,-7.69,-0.00,4.15,22.83,-62.19
680,2.10,-8.15,0.61,-5.92,15.20,-62.19
690,2.59,-8.43,1.48,-24.60,1.83,-59.14
700,3.49,-8.49,3.26,-31.25,-2.26,-55.54
710,3.66,-8.37,3.98,-34.42,-5.37,-50.35
720,3.68,-8.31,4.69,-34.91,-7.57,-42.91
730,3.74,-8.28,5.34,-33.14,-9.40,-34.61
740,3.70,-8.15,5.92,-30.40,-8.79,-18.74
750,3.69,-7.78,6.80,-21.12,-8.06,-11.17
760,3.75,-7.48,7.15,-15.81,-8.67,-4.52
770,3.67,-7.17,7.24,-9.83,-8.85,1.04
780,3.83,-6.87,7.66,-4.52,-6.35,5.49
790,3.83,-6.80,8.01,0.00,-3.85,8.48
800,3.68,-6.37,7.86,1.53,-3.91,9.83
810,3.69,-6.27,7.86,0.49,-2.38,8.79
820,3.61,-6.25,7.84,-0.43,-0.92,6.90
830,3.59,-6.29,7.85,-2.69,0.55,4.27
840,3.63,-6.29,7.79,-5.80,1.53,1.95
850,3.74,-5.88,7.28,-11.11,3.30,-2.26
860,3.78,-6.02,6.98,-11.35,4.52,-3.78
870,3.72,-6.11,6.77,-9.95,5.86,-5.31
880,3.75,-6.18,6.67,-8.36,5.55,-6.29
890,3.85,-6.17,6.60,-6.35,4.39,-7.14
900,3.88,-6.11,6.43,-1.65,3.36,-7.69
910,3.74,-6.18,6.32,0.98,4.58,-7.69
920,3.70,-6.39,6.49,3.85,5.37,-7.93
930,3.70,-6.45,6.67,4.39,4.94,-8.12
940,3.71,-6.49,6.79,3.11,3.91,-8.06
950,3.73,-6.45,6.81,0.98,3.60,-6.04
960,3.69,-6.14,6.76,-3.72,8.79,-5.19
970,3.63,-5.99,6.71,-4.58,12.57,-4.33
980,3.56,-5.84,6.69,-4.70,16.91,-3.91
990,3.49,-5.72,6.67,-4.52,21.91,-4.27
